Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.03580403384854468,0.10250596615145532
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.16291879730220837,0.06430824314974418
Settles,False Negatives,Values,0.6,0
Settles,False Negatives,Probabilities,0.10803873709333071,0.11123216435695221
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.07484446247409136,0.1492214377970764
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.09485944546245255,0.04981148923531198
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.009873027499319486,0.012882000348576747
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.010043106134136502,0.013657089146799589
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.10250596615145532,0.03580403384854468
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.06430824314974418,0.16291879730220837
Settles,False Positives,Values,0.7000000000000001,0
Settles,False Positives,Probabilities,0.11123216435695221,0.10803873709333071
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.1492214377970764,0.07484446247409136
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.04981148923531198,0.09485944546245255
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.012882000348576747,0.009873027499319486
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.010043106134136502,0.013657089146799589
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.10250596615145532,0.03580403384854468
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.06430824314974418,0.16291879730220837
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
Settles,Total Expenditures,Probabilities,0.11123216435695221,0.10803873709333071
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.1492214377970764,0.07484446247409136
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.04981148923531198,0.09485944546245255
P Loses,Total Expenditures,Values,0.6,0.6
P Loses,Total Expenditures,Probabilities,0.012882000348576747,0.009873027499319486
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.010043106134136502,0.013657089146799589
