"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","All",1,0,1,0.5,0.3999,0.0199688,1,1,0.267188,0.25,,,0.0183318,,,,,6.9455E-05,0.000814889,4.382E-5,1,10.1457,9.60229,19.748,0.251974,1000.04,999.526,0.251974,0.0704996,0.354264,0.424763,0.020787,0.169116,0,0.251974,0,0.0183318,0.25,0.000423854,0.00116929,0.000708797,1,0,0,0.3999,0.0199688,0.6001,0.379931,0.0183318,6.9455E-05,0.000814889,0,4.3821E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","DisputeArises",1,0,1,0.5,0.3999,0.0199688,1,1,0.267188,0.25,,,0.0183318,,,,,6.9455E-05,0.000814889,4.382E-5,1,10.1457,9.60229,19.748,0.251974,1000.04,999.526,0.251974,0.0704996,0.354264,0.424763,0.020787,0.169116,0,0.251974,0,0.0183318,0.25,0.000423854,0.00116929,0.000708797,1,0,0,0.3999,0.0199688,0.6001,0.379931,0.0183318,6.9455E-05,0.000814889,0,4.3821E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","PFiles",0.3999,0,0.3999,0.5,1,0.0499344,1,1,0.267188,0.25,,,0.045841,,,,,0.000173681,0.00203773,0.00011,1,10.3644,9.00547,19.3699,0.630092,1000.09,998.815,0.630092,0.176293,0.453848,0.630141,0.0519805,0.234524,0,0.630092,0,0.045841,0.25,0.0010599,0.00292395,0.00177244,1,0,0,1,0.0499344,0,0.950066,0.045841,0.000173681,0.00203773,0,0.0001096
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","DAnswers",0.02,0,0.0199688,0.5,1,1,1,1,0.267188,0.25,,,0.918024,,,,,0.00347818,0.0408082,0.002194,1,9.68791,9.10945,18.7974,1.20263,999.818,998.952,1.20263,0.335745,0.867723,1.20347,0.147508,0.787414,0,1.20263,0,0.918024,0.25,0.0212258,0.0585558,0.0354953,1,0,0,1,1,0,0,0.918024,0.00347818,0.0408082,0,0.0021945
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","Litigated",0.02,0,0.0199688,0.5,1,1,1,1,0.267188,0.25,,,0.918024,,,,,0.00347818,0.0408082,0.002194,1,9.68791,9.10945,18.7974,1.20263,999.818,998.952,1.20263,0.335745,0.867723,1.20347,0.147508,0.787414,0,1.20263,0,0.918024,0.25,0.0212258,0.0585558,0.0354953,1,0,0,1,1,0,0,0.918024,0.00347818,0.0408082,0,0.0021945
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","Not Litigated",0.98,0,0.980031,0.5,0.387673,0,1,1,,,,,0,,,,,0,0,0,,10.1551,9.61233,19.7674,0.232604,1000.04,999.538,0.232604,0.065095,0.343802,0.408897,0.018205,0.156517,0,0.232604,0,0,,0,0,0,1,0,0,0.387673,0,0.612327,0.387673,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","Settles",0.0183,0,0.0183318,0.5,1,1,1,1,0.25,0.25,,,1,,,,,0,0,0,,9.65,9.15,18.8,1.2,999.811,999.165,1.2,0.301467,0.898547,1.20001,0.0991515,0.815666,0,1.2,0,1,0.25,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","Tried",4.4E-5,0,4.38205E-05,0.5,1,1,1,1,0.464054,0.25,,,0,,,,,0,0,1,1,9.33217,8.26783,17.6,2.4,997.551,992.959,2.4,1.16238,1.27428,2.43666,1.42922,1.82023,0,2.4,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0","3","PWins",4.4E-5,0,4.38205E-05,0.5,1,1,1,1,0.464054,0.25,,,0,,,,,0,0,1,1,9.33217,8.26783,17.6,2.4,997.551,992.959,2.4,1.16238,1.27428,2.43666,1.42922,1.82023,0,2.4,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
