"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","All",1,0,1,0.500001,0.5847,0.169433,1,1,0.512132,0.487856,,,0.146853,,,,,0,0,0.02258,0.5,10.4544,9.48562,19.9401,0.059947,1000.08,999.393,0.059947,0.0864664,0.112395,0.198861,0.0786249,0.0805655,0,0.059947,0,0.146853,0.499993,0,0,0,0.500001,0,-1.63134E-05,0.5847,0.169433,0.4153,0.415267,0.146853,0,0,0.01129,0.01129
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","DisputeArises",1,0,1,0.500001,0.5847,0.169433,1,1,0.512132,0.487856,,,0.146853,,,,,0,0,0.02258,0.5,10.4544,9.48562,19.9401,0.059947,1000.08,999.393,0.059947,0.0864664,0.112395,0.198861,0.0786249,0.0805655,0,0.059947,0,0.146853,0.499993,0,0,0,0.500001,0,-1.63134E-05,0.5847,0.169433,0.4153,0.415267,0.146853,0,0,0.01129,0.01129
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","PFiles",0.5847,0,0.5847,0.718509,1,0.289778,1,1,0.512132,0.487856,,,0.25116,,,,,0,0,0.038618,0.5,10.7772,9.12026,19.8975,0.102526,1000.13,998.962,0.102526,0.147882,0.118044,0.265925,0.13447,0.0636063,0,0.102526,0,0.25116,0.499993,0,0,0,0.780958,0,0.0483674,1,0.289778,0,0.710222,0.25116,0,0,0.0193091,0.0193091
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","DAnswers",0.1694,0,0.169433,0.499999,1,1,1,1,0.512132,0.487856,,,0.866732,,,,,0,0,0.133268,0.5,10.415,9.41501,19.83,0.16999,1000.07,999.341,0.16999,0.254435,0.242732,0.497167,0.208155,0.207153,0,0.16999,0,0.866732,0.499993,0,0,0,0.499997,0,0.333236,1,1,0,0,0.866732,0,0,0.0666339,0.066634
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","Litigated",0.1694,0,0.169433,0.499999,1,1,1,1,0.512132,0.487856,,,0.866732,,,,,0,0,0.133268,0.5,10.415,9.41501,19.83,0.16999,1000.07,999.341,0.16999,0.254435,0.242732,0.497167,0.208155,0.207153,0,0.16999,0,0.866732,0.499993,0,0,0,0.499997,0,0.333236,1,1,0,0,0.866732,0,0,0.0666339,0.066634
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","Not Litigated",0.8306,0,0.830567,0.500001,0.49998,0,1,1,,,,,0,,,,,0,0,0,,10.4625,9.50002,19.9625,0.0374985,1000.08,999.404,0.0374985,0.0522012,0.0858066,0.138008,0.0522012,0.054742,0,0.0374985,0,0,,0,0,0,0.500002,0,-0.0679987,0.49998,0,0.50002,0.49998,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","Settles",0.1469,0,0.146853,0.499998,1,1,1,1,0.444806,0.55518,,,1,,,,,0,0,0,,10.425,9.42501,19.85,0.15,1000.08,999.373,0.15,0.242422,0.235497,0.477919,0.194511,0.194343,0,0.15,0,1,0.499993,0,0,0,0.499997,0,0.198846,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","Tried",0.0226,0,0.02258,0.5,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.5,10.35,9.35,19.7,0.3,1000.04,999.13,0.3,0.332566,0.289783,0.622349,0.296886,0.290468,0,0.3,0,0,,0,0,0,0.5,0,1.20726,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.25,0.25","-5.684E-14","1","2","PWins",0.0113,0,0.01129,0.535375,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,10.85,8.85,19.7,0.3,1000.15,998.326,0.3,0.579567,0.085565,0.665132,0.580937,0.0128347,0,0.3,0,0,,0,0,0,0.570433,0,1.20725,1,1,0,0,0,0,0,0,1
