"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","All",1,0,1,0.499992,0.70495,0.310015,1,1,0.559844,0.05,,,0.121368,,,,,0,0,0.188647,0.526015,10.3319,9.41145,19.7433,0.256664,10.3319,9.41145,0.256664,0.190931,0.199588,0.390519,0.198895,0.186714,0,0.256664,0,0.121368,0.05,0,0,0,0.499991,0,-1.85688E-05,0.70495,0.310015,0.29505,0.394935,0.121368,0,0,0.0894157,0.0992311
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","DisputeArises",1,0,1,0.499992,0.70495,0.310015,1,1,0.559844,0.05,,,0.121368,,,,,0,0,0.188647,0.526015,10.3319,9.41145,19.7433,0.256664,10.3319,9.41145,0.256664,0.190931,0.199588,0.390519,0.198895,0.186714,0,0.256664,0,0.121368,0.05,0,0,0,0.499991,0,-1.85688E-05,0.70495,0.310015,0.29505,0.394935,0.121368,0,0,0.0894157,0.0992311
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","PFiles",0.705,0,0.70495,0.625529,1,0.439769,1,1,0.559844,0.05,,,0.172165,,,,,0,0,0.267603,0.526015,10.4708,9.16511,19.6359,0.364088,10.4708,9.16511,0.364088,0.270843,0.229223,0.500065,0.28214,0.21096,0,0.364088,0,0.172165,0.05,0,0,0,0.655356,0,0.486198,1,0.439769,0,0.560231,0.172165,0,0,0.12684,0.140763
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","DAnswers",0.31,0,0.310015,0.435432,1,1,1,1,0.559844,0.05,,,0.391491,,,,,0,0,0.608509,0.526015,10.0833,9.37545,19.4587,0.541276,10.0833,9.37545,0.541276,0.418906,0.27892,0.697826,0.444596,0.425187,0,0.541276,0,0.391491,0.05,0,0,0,0.413275,0,1.91565,1,1,0,0,0.391491,0,0,0.288424,0.320085
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Litigated",0.31,0,0.310015,0.435432,1,1,1,1,0.559844,0.05,,,0.391491,,,,,0,0,0.608509,0.526015,10.0833,9.37545,19.4587,0.541276,10.0833,9.37545,0.541276,0.418906,0.27892,0.697826,0.444596,0.425187,0,0.541276,0,0.391491,0.05,0,0,0,0.413275,0,1.91565,1,1,0,0,0.391491,0,0,0.288424,0.320085
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Not Litigated",0.69,0,0.689985,0.529,0.572382,0,1,1,,,,,0,,,,,0,0,0,,10.4436,9.42762,19.8712,0.128786,10.4436,9.42762,0.128786,0.0884997,0.163944,0.252443,0.0884997,0.0795667,0,0.128786,0,0,,0,0,0,0.538953,0,-0.860741,0.572382,0,0.427618,0.572382,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Settles",0.1214,0,0.121368,0.305852,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.825,9.725,19.55,0.45,9.825,9.725,0.45,0.209579,0.279525,0.489104,0.0576343,0.328442,0,0.45,0,1,0.05,0,0,0,0.237894,0,0.842199,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Tried",0.1886,0,0.188647,0.518798,1,1,1,1,0.887858,0.05,,,0,,,,,0,0,1,0.526015,10.2494,9.15057,19.4,0.6,10.2494,9.15057,0.6,0.553579,0.27853,0.832109,0.693552,0.487428,0,0.6,0,0,,0,0,0,0.526108,0,2.60627,1,1,0,0,0,0,0,0.473985,0.526015
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","PWins",0.0992,0,0.0992311,0.639712,1,1,1,1,0.908042,0.05,,,0,,,,,0,0,1,1,11.15,8.25,19.4,0.6,11.15,8.25,0.6,1.0524,0,1.0524,1.3185,0,0,0.6,0,0,,0,0,0,0.6976,0,2.58956,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","DWins",0.0894,0,0.0894157,0.384611,1,1,1,1,0.865459,0.05,,,0,,,,,0,0,1,0,9.25,10.15,19.4,0.6,9.25,10.15,0.6,0,0.587636,0.587636,0,1.02836,0,0.6,0,0,,0,0,0,0.335792,0,2.62481,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Timing 0.75","-1.776E-15","-1.892E-09","2","Rounds1",0.31,0,0.310015,0.435432,1,1,1,1,0.559844,0.05,,,0.391491,,,,,0,0,0.608509,0.526015,10.0833,9.37545,19.4587,0.541276,10.0833,9.37545,0.541276,0.418906,0.27892,0.697826,0.444596,0.425187,0,0.541276,0,0.391491,0.05,0,0,0,0.413275,0,1.91565,1,1,0,0,0.391491,0,0,0.288424,0.320085
