"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","All",1,0,1,0.499992,0.81171,0.624765,1,1,0.71431,0.520188,,,0.323624,,,,,0.133685,0.129859,0.037597,0.337368,10.4394,9.38348,19.8229,0.177073,1000.07,999.259,0.177073,0.182131,0.149837,0.331969,0.149601,0.0897642,0,0.177073,0,0.323624,0.73312,0.133685,0.129859,0,0.499991,0,-1.85688E-05,0.81171,0.624765,0.18829,0.186945,0.323624,0.133685,0.129859,0.0249133,0.0126842
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","DisputeArises",1,0,1,0.499992,0.81171,0.624765,1,1,0.71431,0.520188,,,0.323624,,,,,0.133685,0.129859,0.037597,0.337368,10.4394,9.38348,19.8229,0.177073,1000.07,999.259,0.177073,0.182131,0.149837,0.331969,0.149601,0.0897642,0,0.177073,0,0.323624,0.73312,0.133685,0.129859,0,0.499991,0,-1.85688E-05,0.81171,0.624765,0.18829,0.186945,0.323624,0.133685,0.129859,0.0249133,0.0126842
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","PFiles",0.8117,0,0.81171,0.576172,1,0.76969,1,1,0.71431,0.520188,,,0.398694,,,,,0.164696,0.159982,0.046319,0.337368,10.5414,9.24046,19.7819,0.218149,1000.09,999.087,0.218149,0.22438,0.161304,0.385684,0.184304,0.0872962,0,0.218149,0,0.398694,0.73312,0.164696,0.159982,0,0.592682,0,0.34586,1,0.76969,0,0.23031,0.398694,0.164696,0.159982,0.0306924,0.0156265
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","DAnswers",0.6248,0,0.624765,0.499994,1,1,1,1,0.71431,0.520188,,,0.517992,,,,,0.213977,0.207852,0.060179,0.337368,10.449,9.31242,19.7615,0.23854,1000.07,999.17,0.23854,0.262329,0.169065,0.431395,0.210262,0.107342,0,0.23854,0,0.517992,0.73312,0.213977,0.207852,0,0.499993,0,0.882594,1,1,0,0,0.517992,0.213977,0.207852,0.0398763,0.0203023
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","Litigated",0.6248,0,0.624765,0.499994,1,1,1,1,0.71431,0.520188,,,0.517992,,,,,0.213977,0.207852,0.060179,0.337368,10.449,9.31242,19.7615,0.23854,1000.07,999.17,0.23854,0.262329,0.169065,0.431395,0.210262,0.107342,0,0.23854,0,0.517992,0.73312,0.213977,0.207852,0,0.499993,0,0.882594,1,1,0,0,0.517992,0.213977,0.207852,0.0398763,0.0203023
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","Not Litigated",0.3752,0,0.375235,0.499989,0.498207,0,1,1,,,,,0,,,,,0,0,0,,10.4235,9.50179,19.9253,0.0747311,1000.08,999.406,0.0747311,0.0486021,0.117823,0.166425,0.0486021,0.0604979,0,0.0747311,0,0,,0,0,0,0.499987,0,-1.46957,0.498207,0,0.501793,0.498207,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","Settles",0.3236,0,0.323624,0.58935,1,1,1,1,0.701538,0.764703,,,1,,,,,0,0,0,,10.5831,9.19188,19.775,0.225,1000.12,999.149,0.225,0.267763,0.19767,0.465434,0.186167,0.0878732,0,0.225,0,1,0.73312,0,0,0,0.611134,0,-0.448403,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","Tried",0.0376,0,0.0375975,0.385304,1,1,1,1,0.95,0.127197,,,0,,,,,0,0,1,0.337368,10.0401,9.50991,19.55,0.45,999.827,998.536,0.45,0.362945,0.243474,0.606419,0.474607,0.371298,0,0.45,0,0,,0,0,0,0.336498,0,4.54394,1,1,0,0,0,0,0,0.662632,0.337368
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","1.867E-07","2","PWins",0.0127,0,0.0126842,0.516586,1,1,1,1,0.95,0.141846,,,0,,,,,0,0,1,1,11.15,8.4,19.55,0.45,1000.17,995.609,0.45,1.07582,0,1.07582,1.40679,0,0,0.45,0,0,,0,0,0,0.524184,0,4.70948,1,1,0,0,0,0,0,0,1
