"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","All",1,0,1,0.499992,0.49999,0.0696605,1,1,0.606916,0.05,,,0.0132889,,,,,0.0265849,0.00402891,0.022494,0.534215,10.1433,9.51555,19.6589,0.341137,10.1433,9.51555,0.341137,0.107499,0.361483,0.468982,0.133173,0.306962,0,0.341137,0,0.0132889,0.05,0.0282168,0.00566081,0.0032638,0.499991,0,-1.85688E-05,0.49999,0.0696605,0.50001,0.430329,0.0132889,0.0265849,0.00402891,0.0104774,0.0120167
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","DisputeArises",1,0,1,0.499992,0.49999,0.0696605,1,1,0.606916,0.05,,,0.0132889,,,,,0.0265849,0.00402891,0.022494,0.534215,10.1433,9.51555,19.6589,0.341137,10.1433,9.51555,0.341137,0.107499,0.361483,0.468982,0.133173,0.306962,0,0.341137,0,0.0132889,0.05,0.0282168,0.00566081,0.0032638,0.499991,0,-1.85688E-05,0.49999,0.0696605,0.50001,0.430329,0.0132889,0.0265849,0.00402891,0.0104774,0.0120167
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","PFiles",0.5,0,0.49999,0.723349,1,0.139324,1,1,0.606916,0.05,,,0.0265782,,,,,0.0531708,0.00805798,0.044989,0.534215,10.2866,9.03108,19.3177,0.682287,10.2866,9.03108,0.682287,0.215002,0.504128,0.71913,0.266352,0.395084,0,0.682287,0,0.0265782,0.05,0.0564346,0.0113218,0.00652773,0.781148,0,0.736614,1,0.139324,0,0.860676,0.0265782,0.0531708,0.00805798,0.0209553,0.0240339
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","DAnswers",0.0697,0,0.0696605,0.447488,1,1,1,1,0.606916,0.05,,,0.190766,,,,,0.381634,0.0578363,0.322911,0.534215,9.58632,9.22306,18.8094,1.19062,9.58632,9.22306,1.19062,0.547449,0.509314,1.05676,0.916016,0.970276,0,1.19062,0,0.190766,0.05,0.405061,0.0812628,0.0468529,0.424914,0,3.89725,1,1,0,0,0.190766,0.381634,0.0578363,0.150407,0.172504
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","Litigated",0.0697,0,0.0696605,0.447488,1,1,1,1,0.606916,0.05,,,0.190766,,,,,0.381634,0.0578363,0.322911,0.534215,9.58632,9.22306,18.8094,1.19062,9.58632,9.22306,1.19062,0.547449,0.509314,1.05676,0.916016,0.970276,0,1.19062,0,0.190766,0.05,0.405061,0.0812628,0.0468529,0.424914,0,3.89725,1,1,0,0,0.190766,0.381634,0.0578363,0.150407,0.172504
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","Not Litigated",0.9303,0,0.930339,0.503923,0.462551,0,1,1,,,,,0,,,,,0,0,0,,10.185,9.53745,19.7225,0.277531,10.185,9.53745,0.277531,0.0745567,0.350414,0.424971,0.0745567,0.257296,0,0.277531,0,0,,0,0,0,0.505612,0,-0.291832,0.462551,0,0.537449,0.462551,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","Settles",0.0133,0,0.0132889,0.370402,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.45,9.65,19.1,0.9,9.45,9.65,0.9,0.239858,0.487771,0.727629,0.0839504,0.756045,0,0.9,0,1,0.05,0,0,0,0.314691,0,3.03542,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","Tried",0.0225,0,0.0224941,0.523572,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.534215,9.6958,8.5042,18.2,1.8,9.6958,8.5042,1.8,1.13623,0.489686,1.62591,2.53421,1.37112,0,1.8,0,0,,0,0,0,0.534461,0,5.06306,1,1,0,0,0,0,0,0.465785,0.534215
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","-2.665E-15","-5.436E-10","3","PWins",0.012,0,0.0120167,0.616461,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,11,7.2,18.2,1.8,11,7.2,1.8,2.12691,0,2.12691,4.7438,0,0,1.8,0,0,,0,0,0,0.673087,0,5.05741,1,1,0,0,0,0,0,0,1
