"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","All",1,0,1,0.500001,0.5847,0.0870028,1,1,0.267764,0.05,,,0.0616258,,,,,0.00218128,0.00664204,0.015938,0.484845,10.4253,9.46918,1000.07,999.364,0.105537,0.0961036,0.138891,0.234995,0.090307,0.0890668,0,0,0.0616258,0.05,0.00248913,0.0069499,0.000615708,0.500001,0,-1.63134E-05,0.5847,0.0870028,0.4153,0.497697,0.0616258,0.00218128,0.00664204,0.00821053,0.0077274
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","DisputeArises",1,0,1,0.500001,0.5847,0.0870028,1,1,0.267764,0.05,,,0.0616258,,,,,0.00218128,0.00664204,0.015938,0.484845,10.4253,9.46918,1000.07,999.364,0.105537,0.0961036,0.138891,0.234995,0.090307,0.0890668,0,0,0.0616258,0.05,0.00248913,0.0069499,0.000615708,0.500001,0,-1.63134E-05,0.5847,0.0870028,0.4153,0.497697,0.0616258,0.00218128,0.00664204,0.00821053,0.0077274
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","PFiles",0.5847,0,0.5847,0.718509,1,0.148799,1,1,0.267764,0.05,,,0.105397,,,,,0.0037306,0.0113597,0.027258,0.484845,10.7274,9.09214,1000.13,998.912,0.180497,0.164364,0.16336,0.327724,0.15445,0.078146,0,0,0.105397,0.05,0.00425711,0.0118863,0.00105303,0.780958,0,0.0483674,1,0.148799,0,0.851201,0.105397,0.0037306,0.0113597,0.0140423,0.0132161
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","DAnswers",0.087,0,0.0870028,0.448814,1,1,1,1,0.267764,0.05,,,0.70832,,,,,0.0250714,0.0763428,0.183189,0.484845,10.0258,9.61924,999.969,999.509,0.354957,0.230075,0.370964,0.601039,0.163449,0.416144,0,0,0.70832,0.05,0.0286098,0.0798812,0.00707688,0.402465,0,0.584656,1,1,0,0,0.70832,0.0250714,0.0763428,0.0943709,0.0888183
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","Litigated",0.087,0,0.0870028,0.448814,1,1,1,1,0.267764,0.05,,,0.70832,,,,,0.0250714,0.0763428,0.183189,0.484845,10.0258,9.61924,999.969,999.509,0.354957,0.230075,0.370964,0.601039,0.163449,0.416144,0,0,0.70832,0.05,0.0286098,0.0798812,0.00707688,0.402465,0,0.584656,1,1,0,0,0.70832,0.0250714,0.0763428,0.0943709,0.0888183
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","Not Litigated",0.913,0,0.912997,0.504879,0.545125,0,1,1,,,,,0,,,,,0,0,0,,10.4634,9.45488,1000.08,999.35,0.0817687,0.083337,0.116776,0.200113,0.083337,0.0578984,0,0,0,,0,0,0,0.509296,0,-0.0557319,0.545125,0,0.454875,0.545125,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","Settles",0.0616,0,0.0616258,0.430873,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.9,9.8,999.959,999.908,0.3,0.126344,0.405108,0.531452,0.0252688,0.445619,0,0,1,0.05,0,0,0,0.36828,0,0.366434,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","Tried",0.0159,0,0.015938,0.497618,1,1,1,1,0.851455,0.05,,,0,,,,,0,0,1,0.484845,10.1803,9.2197,999.934,998.413,0.6,0.471872,0.360097,0.831969,0.502677,0.468428,0,0,0,,0,0,0,0.495297,0,1.24627,1,1,0,0,0,0,0,0.515155,0.484845
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.25,0.25","4","PWins",0.0077,0,0.00772744,0.534215,1,1,1,1,0.858799,0.05,,,0,,,,,0,0,1,1,10.85,8.55,1000.15,996.796,0.6,0.881882,0.0852177,0.9671,1.02308,0.0127827,0,0,0,,0,0,0,0.568118,0,1.22204,1,1,0,0,0,0,0,0,1
