"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","All",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","DisputeArises",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","PFiles",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","DAnswers",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","Litigated",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","Settles",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","Tried",1,0,1,0.5,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,0.5,10.2,9.2,10.2,9.2,0.6,0.679117,0.435322,1.11444,1.04653,0.827112,0,0,0,,0,0,0,0.5,0,2.02662E-05,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 4,4","3","PWins",0.5,0,0.5,0.534137,1,1,1,1,0.85,0.15,,,0,,,,,0,0,1,1,11.3,8.1,11.3,8.1,0.6,1.35823,0,1.35823,2.09306,0,0,0,0,,0,0,0,0.541765,0,2.09171E-05,1,1,0,0,0,0,0,0,1
