"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","All",1,0,1,0.500001,0.5744,0.0403454,1,1,0.352119,0.333801,,,0.0373739,,,,,0.00217851,0.000793038,0,,10.2033,9.42786,1000.05,999.319,0.368847,0.120561,0.328679,0.44924,0.119247,0.228478,0,0,0.0373739,0.35,0.00217851,0.000793038,0,0.500001,0,-1.63134E-05,0.5744,0.0403454,0.4256,0.534055,0.0373739,0.00217851,0.000793038,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","DisputeArises",1,0,1,0.500001,0.5744,0.0403454,1,1,0.352119,0.333801,,,0.0373739,,,,,0.00217851,0.000793038,0,,10.2033,9.42786,1000.05,999.319,0.368847,0.120561,0.328679,0.44924,0.119247,0.228478,0,0,0.0373739,0.35,0.00217851,0.000793038,0,0.500001,0,-1.63134E-05,0.5744,0.0403454,0.4256,0.534055,0.0373739,0.00217851,0.000793038,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","PFiles",0.5744,0,0.5744,0.723345,1,0.0702392,1,1,0.352119,0.333801,,,0.0650659,,,,,0.00379267,0.00138064,0,,10.3539,9.00394,1000.09,998.815,0.642144,0.209891,0.489481,0.699372,0.207603,0.315037,0,0,0.0650659,0.35,0.00379267,0.00138064,0,0.787744,0,0.0490177,1,0.0702392,0,0.929761,0.0650659,0.00379267,0.00138064,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","DAnswers",0.0403,0,0.0403454,0.432738,1,1,1,1,0.352119,0.333801,,,0.926347,,,,,0.0539964,0.0196562,0,,9.74388,9.05612,999.867,998.908,1.2,0.592573,0.463927,1.0565,0.560004,0.582298,0,0,0.926347,0.35,0.0539964,0.0196562,0,0.373757,0,0.816947,1,1,0,0,0.926347,0.0539964,0.0196562,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","Litigated",0.0403,0,0.0403454,0.432738,1,1,1,1,0.352119,0.333801,,,0.926347,,,,,0.0539964,0.0196562,0,,9.74388,9.05612,999.867,998.908,1.2,0.592573,0.463927,1.0565,0.560004,0.582298,0,0,0.926347,0.35,0.0539964,0.0196562,0,0.373757,0,0.816947,1,1,0,0,0.926347,0.0539964,0.0196562,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","Not Litigated",0.9597,0,0.959655,0.502829,0.556507,0,1,1,,,,,0,,,,,0,0,0,,10.2226,9.44349,1000.06,999.337,0.333904,0.100717,0.322993,0.42371,0.100717,0.213603,0,0,0,,0,0,0,0.505309,0,-0.0343628,0.556507,0,0.443493,0.556507,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","Settles",0.0374,0,0.0373739,0.435136,1,1,1,1,0.35,0.35,,,1,,,,,0,0,0,,9.75,9.05,999.879,998.939,1.2,0.591469,0.471751,1.06322,0.561896,0.589689,0,0,1,0.35,0,0,0,0.377401,0,0.719654,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","Tried",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","3","PWins",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
