"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","All",1,0,1,0.499994,1,1,1,1,0.793076,0.206917,,,0.34718,,,,,0,0,0.65282,0.499994,10.438,9.43803,10.438,9.43803,0.123961,0.281083,0.238689,0.519772,0.276321,0.266787,0,0,0.34718,0.49999,0,0,0,0.499997,0,-5.78708E-05,1,1,0,0,0.34718,0,0,0.326414,0.326406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","DisputeArises",1,0,1,0.499994,1,1,1,1,0.793076,0.206917,,,0.34718,,,,,0,0,0.65282,0.499994,10.438,9.43803,10.438,9.43803,0.123961,0.281083,0.238689,0.519772,0.276321,0.266787,0,0,0.34718,0.49999,0,0,0,0.499997,0,-5.78708E-05,1,1,0,0,0.34718,0,0,0.326414,0.326406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","PFiles",1,0,1,0.499994,1,1,1,1,0.793076,0.206917,,,0.34718,,,,,0,0,0.65282,0.499994,10.438,9.43803,10.438,9.43803,0.123961,0.281083,0.238689,0.519772,0.276321,0.266787,0,0,0.34718,0.49999,0,0,0,0.499997,0,-5.78708E-05,1,1,0,0,0.34718,0,0,0.326414,0.326406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","DAnswers",1,0,1,0.499994,1,1,1,1,0.793076,0.206917,,,0.34718,,,,,0,0,0.65282,0.499994,10.438,9.43803,10.438,9.43803,0.123961,0.281083,0.238689,0.519772,0.276321,0.266787,0,0,0.34718,0.49999,0,0,0,0.499997,0,-5.78708E-05,1,1,0,0,0.34718,0,0,0.326414,0.326406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","Litigated",1,0,1,0.499994,1,1,1,1,0.793076,0.206917,,,0.34718,,,,,0,0,0.65282,0.499994,10.438,9.43803,10.438,9.43803,0.123961,0.281083,0.238689,0.519772,0.276321,0.266787,0,0,0.34718,0.49999,0,0,0,0.499997,0,-5.78708E-05,1,1,0,0,0.34718,0,0,0.326414,0.326406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","Settles",0.3472,0,0.34718,0.499992,1,1,1,1,0.498004,0.501977,,,1,,,,,0,0,0,,10.4625,9.46251,10.4625,9.46251,0.075,0.200695,0.200701,0.401396,0.172097,0.172103,0,0,1,0.49999,0,0,0,0.499996,0,-1.57411,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","Tried",0.6528,0,0.65282,0.499995,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.499994,10.425,9.42501,10.425,9.42501,0.15,0.323835,0.258891,0.582726,0.33175,0.317142,0,0,0,,0,0,0,0.499998,0,0.837048,1,1,0,0,0,0,0,0.500006,0.499994
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","4","PWins",0.3264,0,0.326406,0.657801,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,11.075,8.775,11.075,8.775,0.15,0.647677,0,0.647677,0.663507,0,0,0,0,,0,0,0,0.577323,0,0.837017,1,1,0,0,0,0,0,0,1
