"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","All",1,0,1,0.500008,0.64589,0.219076,1,1,0.550489,0.272956,,,0.07554,,,,,0.0943333,0.0452645,0.003938,0.49998,10.4106,9.45851,1000.07,999.365,0.130926,0.0601454,0.0971926,0.157338,0.0320255,0.0331391,0,0,0.07554,0.45,0.0943333,0.0452645,0,0.50001,0,3.61966E-05,0.64589,0.219076,0.35411,0.426814,0.07554,0.0943333,0.0452645,0.00196913,0.001969
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","DisputeArises",1,0,1,0.500008,0.64589,0.219076,1,1,0.550489,0.272956,,,0.07554,,,,,0.0943333,0.0452645,0.003938,0.49998,10.4106,9.45851,1000.07,999.365,0.130926,0.0601454,0.0971926,0.157338,0.0320255,0.0331391,0,0,0.07554,0.45,0.0943333,0.0452645,0,0.50001,0,3.61966E-05,0.64589,0.219076,0.35411,0.426814,0.07554,0.0943333,0.0452645,0.00196913,0.001969
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","PFiles",0.6459,0,0.64589,0.703782,1,0.339185,1,1,0.550489,0.272956,,,0.116955,,,,,0.146052,0.0700809,0.006097,0.49998,10.6357,9.16163,1000.11,999.017,0.202707,0.0931201,0.143171,0.236291,0.0495835,0.0439999,0,0,0.116955,0.45,0.146052,0.0700809,0,0.766833,0,0.432187,1,0.339185,0,0.660815,0.116955,0.146052,0.0700809,0.00304871,0.0030485
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","DAnswers",0.2191,0,0.219076,0.392865,1,1,1,1,0.550489,0.272956,,,0.344812,,,,,0.430596,0.206616,0.017976,0.49998,10.2181,9.47654,1000.03,999.423,0.305393,0.24166,0.134798,0.376458,0.113304,0.0866267,0,0,0.344812,0.45,0.430596,0.206616,0,0.345446,0,2.11079,1,1,0,0,0.344812,0.430596,0.206616,0.00898836,0.0089876
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","Litigated",0.2191,0,0.219076,0.392865,1,1,1,1,0.550489,0.272956,,,0.344812,,,,,0.430596,0.206616,0.017976,0.49998,10.2181,9.47654,1000.03,999.423,0.305393,0.24166,0.134798,0.376458,0.113304,0.0866267,0,0,0.344812,0.45,0.430596,0.206616,0,0.345446,0,2.11079,1,1,0,0,0.344812,0.430596,0.206616,0.00898836,0.0089876
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","Not Litigated",0.7809,0,0.780924,0.530065,0.54655,0,1,1,,,,,0,,,,,0,0,0,,10.4646,9.45345,1000.08,999.348,0.0819825,0.0092242,0.086643,0.0958672,0.00922422,0.018134,0,0,0,,0,0,0,0.54337,0,-0.592101,0.54655,0,0.45345,0.54655,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","Settles",0.0755,0,0.07554,0.420586,1,1,1,1,0.45,0.45,,,1,,,,,0,0,0,,10.3,9.4,1000.08,999.567,0.3,0.376795,0.260405,0.637201,0.226077,0.182284,0,0,1,0.45,0,0,0,0.372008,0,0.357326,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","Tried",0.0039,0,0.00393811,0.499984,1,1,1,1,0.880083,0.0588792,,,0,,,,,0,0,1,0.49998,10.2,9.20004,999.759,997.028,0.6,0.458065,0.145383,0.603448,0.488939,0.25442,0,0,0,,0,0,0,0.499976,0,6.13039,1,1,0,0,0,0,0,0.50002,0.49998
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","4","PWins",0.002,0,0.00196898,0.68742,1,1,1,1,0.890954,0.0609025,,,0,,,,,0,0,1,1,11.15,8.25,1000.17,994.008,0.6,0.916167,0,0.916167,0.977917,0,0,0,0,,0,0,0,0.833833,0,6.1304,1,1,0,0,0,0,0,0,1
