"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","All",1,0,1,0.499994,0.49999,0.0782993,1,1,0.294025,0.05,,,0.0502195,,,,,0.0130054,0.00188668,0.011536,0.610444,10.1286,9.51061,10.1286,9.51061,0.360816,0.202426,0.413933,0.616359,0.215795,0.386996,0,0,0.0502195,0.05,0.0138315,0.00271275,0.00165215,0.499997,0,-5.78708E-05,0.49999,0.0782993,0.50001,0.421691,0.0502195,0.0130054,0.00188668,0.00449376,0.0070418
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","DisputeArises",1,0,1,0.499994,0.49999,0.0782993,1,1,0.294025,0.05,,,0.0502195,,,,,0.0130054,0.00188668,0.011536,0.610444,10.1286,9.51061,10.1286,9.51061,0.360816,0.202426,0.413933,0.616359,0.215795,0.386996,0,0,0.0502195,0.05,0.0138315,0.00271275,0.00165215,0.499997,0,-5.78708E-05,0.49999,0.0782993,0.50001,0.421691,0.0502195,0.0130054,0.00188668,0.00449376,0.0070418
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","PFiles",0.5,0,0.49999,0.699406,1,0.156602,1,1,0.294025,0.05,,,0.100441,,,,,0.0260113,0.00377343,0.023072,0.610444,10.2571,9.02121,10.2571,9.02121,0.721647,0.40486,0.425025,0.829886,0.431598,0.371149,0,0,0.100441,0.05,0.0276635,0.00542561,0.00330436,0.597157,0,0.814925,1,0.156602,0,0.843398,0.100441,0.0260113,0.00377343,0.0089877,0.014084
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","DAnswers",0.0783,0,0.0782993,0.455372,1,1,1,1,0.294025,0.05,,,0.641378,,,,,0.166099,0.0240957,0.147327,0.610444,9.48778,9.13543,9.48778,9.13543,1.37679,0.53494,0.712886,1.24783,0.705677,1.16932,0,0,0.641378,0.05,0.176649,0.0346459,0.0211004,0.47794,0,3.86944,1,1,0,0,0.641378,0.166099,0.0240957,0.0573921,0.089935
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","Litigated",0.0783,0,0.0782993,0.455372,1,1,1,1,0.294025,0.05,,,0.641378,,,,,0.166099,0.0240957,0.147327,0.610444,9.48778,9.13543,9.48778,9.13543,1.37679,0.53494,0.712886,1.24783,0.705677,1.16932,0,0,0.641378,0.05,0.176649,0.0346459,0.0211004,0.47794,0,3.86944,1,1,0,0,0.641378,0.166099,0.0240957,0.0573921,0.089935
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","Not Litigated",0.9217,0,0.921701,0.503785,0.457514,0,1,1,,,,,0,,,,,0,0,0,,10.183,9.54249,10.183,9.54249,0.274508,0.174179,0.388537,0.562716,0.174179,0.320537,0,0,0,,0,0,0,0.501871,0,-0.328775,0.457514,0,0.542486,0.457514,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","Settles",0.0502,0,0.0502195,0.408552,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.45,9.35,9.45,9.35,1.2,0.354394,0.704908,1.0593,0.230356,1.09261,0,0,1,0.05,0,0,0,0.454779,0,3.26171,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","Tried",0.0115,0,0.0115356,0.574862,1,1,1,1,0.92695,0.05,,,0,,,,,0,0,1,0.610444,9.54298,8.05702,9.54298,8.05702,2.4,1.48165,0.738821,2.22047,3.25844,1.60971,0,0,0,,0,0,0,0.537074,0,5.74,1,1,0,0,0,0,0,0.389556,0.610444
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Case Strength Noise 0.7","2","PWins",0.007,0,0.00704185,0.640506,1,1,1,1,0.930565,0.05,,,0,,,,,0,0,1,1,10.4,7.2,10.4,7.2,2.4,2.23038,0.341772,2.57215,5.21975,0.205063,0,0,0,,0,0,0,0.569619,0,5.69576,1,1,0,0,0,0,0,0,1
