"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","All",1,0,1,0.499992,0.70495,0.324821,1,1,0.857714,0.0969619,,,0,,,,,0,0,0.324821,0.424287,10.3065,9.38461,10.3065,9.38461,0.308931,0.187293,0.225015,0.412308,0.158318,0.157048,0,0,0,,0,0,0,0.499991,0,-1.85688E-05,0.70495,0.324821,0.29505,0.380129,0,0,0,0.187004,0.137817
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","DisputeArises",1,0,1,0.499992,0.70495,0.324821,1,1,0.857714,0.0969619,,,0,,,,,0,0,0.324821,0.424287,10.3065,9.38461,10.3065,9.38461,0.308931,0.187293,0.225015,0.412308,0.158318,0.157048,0,0,0,,0,0,0,0.499991,0,-1.85688E-05,0.70495,0.324821,0.29505,0.380129,0,0,0,0.187004,0.137817
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","PFiles",0.705,0,0.70495,0.625529,1,0.460771,1,1,0.857714,0.0969619,,,0,,,,,0,0,0.460771,0.424287,10.4347,9.12704,10.4347,9.12704,0.438231,0.265683,0.265292,0.530975,0.224581,0.168878,0,0,0,,0,0,0,0.655356,0,0.486198,1,0.460771,0,0.539229,0,0,0,0.265272,0.195499
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","DAnswers",0.3248,0,0.324821,0.443427,1,1,1,1,0.857714,0.0969619,,,0,,,,,0,0,1,0.424287,10.1243,9.27571,10.1243,9.27571,0.6,0.404435,0.276325,0.68076,0.315231,0.276682,0,0,0,,0,0,0,0.424198,0,1.86455,1,1,0,0,0,0,0,0.575713,0.424287
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","Litigated",0.3248,0,0.324821,0.443427,1,1,1,1,0.857714,0.0969619,,,0,,,,,0,0,1,0.424287,10.1243,9.27571,10.1243,9.27571,0.6,0.404435,0.276325,0.68076,0.315231,0.276682,0,0,0,,0,0,0,0.424198,0,1.86455,1,1,0,0,0,0,0,0.575713,0.424287
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","Not Litigated",0.6752,0,0.675179,0.527205,0.563005,0,1,1,,,,,0,,,,,0,0,0,,10.3941,9.437,10.3941,9.437,0.168901,0.082829,0.200331,0.28316,0.082829,0.0994936,0,0,0,,0,0,0,0.536454,0,-0.897041,0.563005,0,0.436995,0.563005,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","Settles",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","Tried",0.3248,0,0.324821,0.443427,1,1,1,1,0.857714,0.0969619,,,0,,,,,0,0,1,0.424287,10.1243,9.27571,10.1243,9.27571,0.6,0.404435,0.276325,0.68076,0.315231,0.276682,0,0,0,,0,0,0,0.424198,0,1.86455,1,1,0,0,0,0,0,0.575713,0.424287
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 1","2","PWins",0.1378,0,0.137817,0.605769,1,1,1,1,0.889874,0.115591,,,0,,,,,0,0,1,1,10.7,8.7,10.7,8.7,0.6,0.651542,0.194538,0.846079,0.652467,0.0583613,0,0,0,,0,0,0,0.648458,0,1.99475,1,1,0,0,0,0,0,0,1
