"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","All",1,0,1,0.499992,0.81171,0.386278,1,1,0.415892,0.05,,,0.202597,,,,,0.0332452,0.0301823,0.11656,0.509075,10.3794,9.33049,10.3794,9.33049,0.290092,0.233609,0.165142,0.398751,0.199516,0.136865,0,0,0.202597,0.05,0.035092,0.032029,0.00369346,0.499991,0,-1.85688E-05,0.81171,0.386278,0.18829,0.425432,0.202597,0.0332452,0.0301823,0.0572224,0.059338
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","DisputeArises",1,0,1,0.499992,0.81171,0.386278,1,1,0.415892,0.05,,,0.202597,,,,,0.0332452,0.0301823,0.11656,0.509075,10.3794,9.33049,10.3794,9.33049,0.290092,0.233609,0.165142,0.398751,0.199516,0.136865,0,0,0.202597,0.05,0.035092,0.032029,0.00369346,0.499991,0,-1.85688E-05,0.81171,0.386278,0.18829,0.425432,0.202597,0.0332452,0.0301823,0.0572224,0.059338
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PFiles",0.8117,0,0.81171,0.576172,1,0.475882,1,1,0.415892,0.05,,,0.249593,,,,,0.040957,0.0371836,0.143599,0.509075,10.4674,9.17518,10.4674,9.17518,0.357384,0.287799,0.18016,0.467958,0.245797,0.145323,0,0,0.249593,0.05,0.0432322,0.0394587,0.00455022,0.592682,0,0.34586,1,0.475882,0,0.524118,0.249593,0.040957,0.0371836,0.0704961,0.0731025
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","DAnswers",0.3863,0,0.386278,0.375843,1,1,1,1,0.415892,0.05,,,0.524484,,,,,0.0860655,0.0781361,0.301752,0.509075,10.0461,9.36812,10.0461,9.36812,0.585789,0.411628,0.242347,0.653976,0.323369,0.284941,0,0,0.524484,0.05,0.0908463,0.0829169,0.00956165,0.337217,0,1.49813,1,1,0,0,0.524484,0.0860655,0.0781361,0.148138,0.153615
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Litigated",0.3863,0,0.386278,0.375843,1,1,1,1,0.415892,0.05,,,0.524484,,,,,0.0860655,0.0781361,0.301752,0.509075,10.0461,9.36812,10.0461,9.36812,0.585789,0.411628,0.242347,0.653976,0.323369,0.284941,0,0,0.524484,0.05,0.0908463,0.0829169,0.00956165,0.337217,0,1.49813,1,1,0,0,0.524484,0.0860655,0.0781361,0.148138,0.153615
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Not Litigated",0.6137,0,0.613722,0.578132,0.6932,0,1,1,,,,,0,,,,,0,0,0,,10.5892,9.3068,10.5892,9.3068,0.10398,0.121563,0.116549,0.238112,0.121563,0.0436657,0,0,0,,0,0,0,0.602441,0,-0.942956,0.6932,0,0.3068,0.6932,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Settles",0.2026,0,0.202597,0.261577,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.9,9.65,9.9,9.65,0.45,0.284455,0.205997,0.490453,0.0995594,0.226597,0,0,1,0.05,0,0,0,0.18727,0,0.468496,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Tried",0.1166,0,0.11656,0.506557,1,1,1,1,0.883658,0.05,,,0,,,,,0,0,1,0.509075,10.1382,8.96184,10.1382,8.96184,0.9,0.645396,0.317365,0.962761,0.731014,0.433203,0,0,0,,0,0,0,0.509108,0,3.26963,1,1,0,0,0,0,0,0.490925,0.509075
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PWins",0.0593,0,0.059338,0.620076,1,1,1,1,0.895602,0.05,,,0,,,,,0,0,1,1,10.85,8.25,10.85,8.25,0.9,1.07642,0.101037,1.17746,1.37856,0.0151555,0,0,0,,0,0,0,0.673577,0,3.25175,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","DWins",0.0572,0,0.0572224,0.388841,1,1,1,1,0.871272,0.05,,,0,,,,,0,0,1,0,9.4,9.7,9.4,9.7,0.9,0.198433,0.541692,0.740125,0.0595298,0.866707,0,0,0,,0,0,0,0.338557,0,3.28818,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Abandoned",0.0671,0,0.067121,0.493747,1,1,1,1,0.707988,0.05,,,0,,,,,0.495303,0.44967,0,,10.3272,9.22282,10.3272,9.22282,0.45,0.389532,0.22179,0.611322,0.291008,0.203575,0,0,0,,0.522817,0.477183,0.0550269,0.491316,0,1.52959,1,1,0,0,0,0.495303,0.44967,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Rounds1",0.3826,0,0.382585,0.374644,1,1,1,1,0.414598,0.05,,,0.529548,,,,,0.0868964,0.0788904,0.304665,0.509075,10.0432,9.36974,10.0432,9.36974,0.587099,0.411017,0.241549,0.652566,0.321978,0.284445,0,0,0.529548,0.05,0.0868964,0.0788904,0,0.335646,0,1.52224,1,1,0,0,0.529548,0.0868964,0.0788904,0.149568,0.155098
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Truly Liable",0.5,0,0.499991,0.722392,0.962189,0.260525,1,1,0.622513,0.05,,,0.0758822,,,,,0.0180339,0.0442291,0.118686,0.673534,10.6697,9.0544,10.6697,9.0544,0.275894,0.073777,0.330291,0.404068,0.0491125,0.273735,0,0,0.0758822,0.05,0.0198806,0.0460758,0.00369353,1,0,-4.93863E-05,0.962189,0.260525,0.0378107,0.701665,0.0758822,0.0180339,0.0442291,0.0387469,0.0799389
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Truly Not Liable",0.5,0,0.500009,0.277601,0.661236,0.512028,1,1,0.310766,0.05,,,0.329307,,,,,0.0484561,0.016136,0.114435,0.338514,10.0891,9.60657,10.0891,9.60657,0.30429,0.393435,0,0.393435,0.349914,0,0,0,0.329307,0.05,0.0503028,0.0179827,0.00369339,0,0,1.22476E-05,0.661236,0.512028,0.338764,0.149209,0.329307,0.0484561,0.016136,0.0756972,0.0387379
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","AllCount",3340,0,3340,0.499992,2711.11,1290.17,3340,3340,0.415892,0.05,,,676.674,,,,,111.039,100.809,389.312,733.068,10.3794,9.33049,10.3794,9.33049,0.290092,0.233609,0.165142,0.398751,0.199516,0.136865,0,0,676.674,0.05,117.207,106.977,12.3362,1669.97,0,-1.85688E-05,2711.11,1290.17,628.889,1420.94,676.674,111.039,100.809,191.123,198.189
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength1",0.1159,0,0.115877,0.05,0.378527,0.374404,1,1,0.129743,0.05,,,0.327461,,,,,0.0253901,0.000171287,0.021177,0.0204164,9.95509,9.86628,9.95509,9.86628,0.17863,0.130337,0.0265044,0.156841,0.0489194,0.0280192,0,0,0.327461,0.05,0.0254928,0.000273969,0.000205365,0.0253652,0,8.97708E-06,0.378527,0.374404,0.621473,0.00412322,0.327461,0.0253901,0.000171287,0.0207443,0.0004324
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength2",0.1102,0,0.110239,0.15,0.518881,0.503529,1,1,0.178941,0.05,,,0.405401,,,,,0.0449371,0.000997321,0.051321,0.0517848,9.93998,9.80803,9.93998,9.80803,0.251985,0.181484,0.0586325,0.240116,0.0794802,0.063979,0,0,0.405401,0.05,0.0453737,0.00143395,0.000873255,0.0553128,0,8.94245E-06,0.518881,0.503529,0.481119,0.0153515,0.405401,0.0449371,0.000997321,0.0486631,0.0026576
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength3",0.1002,0,0.100217,0.25,0.669398,0.620663,1,1,0.252895,0.05,,,0.43825,,,,,0.0669781,0.00457795,0.108019,0.118043,9.94612,9.71867,9.94612,9.71867,0.335217,0.249909,0.122667,0.372576,0.147872,0.139295,0,0,0.43825,0.05,0.0683973,0.00599722,0.00283855,0.116395,0,1.22897E-05,0.669398,0.620663,0.330602,0.048735,0.43825,0.0669781,0.00457795,0.095268,0.0127509
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength4",0.09,0,0.0900083,0.35,0.805529,0.678379,1,1,0.35599,0.05,,,0.390756,,,,,0.0787747,0.0155677,0.186713,0.235625,10.0245,9.56716,10.0245,9.56716,0.408364,0.34273,0.223009,0.565739,0.285166,0.261854,0,0,0.390756,0.05,0.0820586,0.0188516,0.00656793,0.228605,0,2.43395E-05,0.805529,0.678379,0.194471,0.12715,0.390756,0.0787747,0.0155677,0.142719,0.0439943
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength5",0.0837,0,0.0836696,0.45,0.905133,0.63806,1,1,0.484532,0.05,,,0.270737,,,,,0.0684837,0.0373296,0.251338,0.404463,10.2216,9.33815,10.2216,9.33815,0.44029,0.432686,0.31139,0.744076,0.446393,0.36489,0,0,0.270737,0.05,0.0735694,0.0424152,0.0101713,0.400016,0,4.07355E-05,0.905133,0.63806,0.094867,0.267073,0.270737,0.0684837,0.0373296,0.149681,0.101657
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength6",0.0837,0,0.0836692,0.55,0.96235,0.508226,1,1,0.622224,0.05,,,0.13923,,,,,0.0419645,0.0618178,0.255042,0.595537,10.4891,9.09931,10.4891,9.09931,0.411589,0.440681,0.306529,0.747211,0.480058,0.328527,0,0,0.13923,0.05,0.0470502,0.0669035,0.0101713,0.599984,0,3.58542E-05,0.96235,0.508226,0.0376496,0.454125,0.13923,0.0419645,0.0618178,0.103155,0.151887
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength7",0.09,0,0.0900068,0.65,0.987862,0.3437,1,1,0.7449,0.05,,,0.0522339,,,,,0.0178526,0.0718239,0.195221,0.764375,10.7022,8.95864,10.7022,8.95864,0.339139,0.341774,0.229702,0.571477,0.353555,0.185592,0,0,0.0522339,0.05,0.0211366,0.075108,0.00656804,0.771395,0,-8.00279E-06,0.987862,0.3437,0.0121384,0.644162,0.0522339,0.0178526,0.0718239,0.0459991,0.149222
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Relative Costs 0.5","4","Liability Strength8",0.1002,0,0.100213,0.75,0.996768,0.200833,1,1,0.834939,0.05,,,0.0145361,,,,,0.00538712,0.0614517,0.11662,0.881957,10.8067,8.93108,10.8067,8.93108,0.262244,0.209244,0.170822,0.380066,0.198217,0.0766091,0,0,0.0145361,0.05,0.00680645,0.062871,0.00283865,0.883605,0,-6.53715E-05,0.996768,0.200833,0.00323179,0.795935,0.0145361,0.00538712,0.0614517,0.0137662,0.102854
