"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","All",1,0,1,0.499995,0.0383883,0.012898,1,1,0.491697,0.300539,,,0.00527943,,,,,0,0,0.007619,0.44609,10.0016,9.95851,999.686,998.075,0.039914,0.0258719,0.494844,0.520716,0.0505233,0.501434,0,0,0.00527943,0.336079,0,0,0,0.499994,0,7.5023E-06,0.0383883,0.012898,0.961612,0.0254904,0.00527943,0,0,0.00421999,0.0033986
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","DisputeArises",1,0,1,0.499995,0.0383883,0.012898,1,1,0.491697,0.300539,,,0.00527943,,,,,0,0,0.007619,0.44609,10.0016,9.95851,999.686,998.075,0.039914,0.0258719,0.494844,0.520716,0.0505233,0.501434,0,0,0.00527943,0.336079,0,0,0,0.499994,0,7.5023E-06,0.0383883,0.012898,0.961612,0.0254904,0.00527943,0,0,0.00421999,0.0033986
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","PFiles",0.0384,0,0.0383883,0.499995,1,0.335987,1,1,0.491697,0.300539,,,0.137527,,,,,0,0,0.19846,0.44609,10.0412,8.91908,991.809,949.843,1.03974,0.673952,0.365841,1.03979,1.31611,0.537497,0,0,0.137527,0.336079,0,0,0,0.499994,0,7.5023E-06,1,0.335987,0,0.664013,0.137527,0,0,0.109929,0.0885309
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","DAnswers",0.0129,0,0.012898,0.461305,1,1,1,1,0.491697,0.300539,,,0.409322,,,,,0,0,0.590678,0.44609,9.33202,8.75917,975.418,853.072,1.90881,1.06509,0.467549,1.53264,2.97635,1.22697,0,0,0.409322,0.336079,0,0,0,0.452624,0,0.102896,1,1,0,0,0.409322,0,0,0.327183,0.263495
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","Litigated",0.0129,0,0.012898,0.461305,1,1,1,1,0.491697,0.300539,,,0.409322,,,,,0,0,0.590678,0.44609,9.33202,8.75917,975.418,853.072,1.90881,1.06509,0.467549,1.53264,2.97635,1.22697,0,0,0.409322,0.336079,0,0,0,0.452624,0,0.102896,1,1,0,0,0.409322,0,0,0.327183,0.263495
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","Not Litigated",0.9871,0,0.987102,0.500501,0.0258234,0,1,1,,,,,0,,,,,0,0,0,,10.0103,9.97418,1000,999.969,0.0154941,0.0122929,0.495201,0.507494,0.0122929,0.491953,0,0,0,,0,0,0,0.500613,0,-0.00133689,0.0258234,0,0.974177,0.0258234,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","Settles",0.0053,0,0.00527943,0.46807,1,1,1,1,0.254607,0.417552,,,1,,,,,0,0,0,,9.73608,9.06392,999.845,998.846,1.2,0.531385,0.580592,1.11198,0.501328,0.750929,0,0,1,0.336079,0,0,0,0.461133,0,0.0763918,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","Tried",0.0076,0,0.00761855,0.456617,1,1,1,1,0.655993,0.219452,,,0,,,,,0,0,1,0.44609,9.05201,8.54799,958.491,752.055,2.4,1.43494,0.389214,1.82415,4.69147,1.55685,0,0,0,,0,0,0,0.446727,0,0.121263,1,1,0,0,0,0,0,0.55391,0.44609
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1.5 Moderately Risk Averse Abandonable False","0","188","PWins",0.0034,0,0.00339855,0.727771,1,1,1,1,0.659695,0.227749,,,0,,,,,0,0,1,1,11.6,6,1000.18,444.018,2.4,3.2167,0,3.2167,10.5169,0,0,0,0,,0,0,0,0.783303,0,-0.0950837,1,1,0,0,0,0,0,0,1
