"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","All",1,0,1,0.499995,0.689274,0.25802,1,1,0.605315,0.1,,,0.0682371,,,,,0.0744609,0.0450325,0.037526,0.500001,10.3002,9.39308,10.3002,9.39308,0.306704,0.193582,0.232473,0.426055,0.199567,0.187975,0,0,0.0682371,0.1,0.0908427,0.0614143,0.0327636,0.499994,0,7.5023E-06,0.689274,0.25802,0.310726,0.431254,0.0682371,0.0744609,0.0450325,0.018763,0.018763
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","DisputeArises",1,0,1,0.499995,0.689274,0.25802,1,1,0.605315,0.1,,,0.0682371,,,,,0.0744609,0.0450325,0.037526,0.500001,10.3002,9.39308,10.3002,9.39308,0.306704,0.193582,0.232473,0.426055,0.199567,0.187975,0,0,0.0682371,0.1,0.0908427,0.0614143,0.0327636,0.499994,0,7.5023E-06,0.689274,0.25802,0.310726,0.431254,0.0682371,0.0744609,0.0450325,0.018763,0.018763
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","PFiles",0.6893,0,0.689274,0.624015,1,0.374336,1,1,0.605315,0.1,,,0.0989985,,,,,0.108028,0.0653333,0.054443,0.500001,10.4356,9.11948,10.4356,9.11948,0.444966,0.280849,0.26714,0.547989,0.289532,0.202583,0,0,0.0989985,0.1,0.131795,0.0891,0.0475334,0.65526,0,0.255883,1,0.374336,0,0.625664,0.0989985,0.108028,0.0653333,0.0272213,0.0272214
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","DAnswers",0.258,0,0.25802,0.41202,1,1,1,1,0.605315,0.1,,,0.264464,,,,,0.288586,0.174531,0.145438,0.500001,9.99356,9.31918,9.99356,9.31918,0.687263,0.444969,0.303804,0.748773,0.468165,0.41823,0,0,0.264464,0.1,0.352076,0.238021,0.126981,0.384352,0,1.05732,1,1,0,0,0.264464,0.288586,0.174531,0.072719,0.0727192
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","Litigated",0.258,0,0.25802,0.41202,1,1,1,1,0.605315,0.1,,,0.264464,,,,,0.288586,0.174531,0.145438,0.500001,9.99356,9.31918,9.99356,9.31918,0.687263,0.444969,0.303804,0.748773,0.468165,0.41823,0,0,0.264464,0.1,0.352076,0.238021,0.126981,0.384352,0,1.05732,1,1,0,0,0.264464,0.288586,0.174531,0.072719,0.0727192
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","Not Litigated",0.742,0,0.74198,0.530588,0.581221,0,1,1,,,,,0,,,,,0,0,0,,10.4069,9.41878,10.4069,9.41878,0.174366,0.106163,0.207668,0.313831,0.106163,0.107906,0,0,0,,0,0,0,0.540208,0,-0.367667,0.581221,0,0.418779,0.581221,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","Settles",0.0682,0,0.0682371,0.242544,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.8,9.6,9.8,9.6,0.6,0.33345,0.199649,0.533099,0.13338,0.239579,0,0,1,0.1,0,0,0,0.166374,0,0.233228,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","Tried",0.0375,0,0.037526,0.5,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.500001,9.9,8.9,9.9,8.9,1.2,0.926142,0.440353,1.36649,1.82957,1.10088,0,0,0,,0,0,0,0.500001,0,2.462,1,1,0,0,0,0,0,0.499999,0.500001
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral","1.776E-15","917","PWins",0.0188,0,0.018763,0.60049,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.3,7.5,11.3,7.5,1.2,1.85228,0,1.85228,3.65913,0,0,0,0,,0,0,0,0.647718,0,2.462,1,1,0,0,0,0,0,0,1
