"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","All",1,0,1,0.499995,0.875953,0.622437,1,1,0.536004,0.405076,,,0.430134,,,,,0.0496406,0.091044,0.033561,0.430769,10.4259,9.33931,1000.07,999.216,0.234827,0.22925,0.166289,0.395539,0.169538,0.110041,0,0,0.430134,0.454827,0.0586693,0.100073,0.0180574,0.499994,0,7.5023E-06,0.875953,0.622437,0.124047,0.253517,0.430134,0.0496406,0.091044,0.0191039,0.014457
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","DisputeArises",1,0,1,0.499995,0.875953,0.622437,1,1,0.536004,0.405076,,,0.430134,,,,,0.0496406,0.091044,0.033561,0.430769,10.4259,9.33931,1000.07,999.216,0.234827,0.22925,0.166289,0.395539,0.169538,0.110041,0,0,0.430134,0.454827,0.0586693,0.100073,0.0180574,0.499994,0,7.5023E-06,0.875953,0.622437,0.124047,0.253517,0.430134,0.0496406,0.091044,0.0191039,0.014457
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","PFiles",0.876,0,0.875953,0.54541,1,0.710582,1,1,0.536004,0.405076,,,0.491046,,,,,0.0566704,0.103937,0.038314,0.430769,10.4862,9.24575,1000.08,999.105,0.268081,0.261715,0.174939,0.436654,0.193547,0.110725,0,0,0.491046,0.454827,0.0669777,0.114244,0.0206146,0.555901,0,0.114201,1,0.710582,0,0.289418,0.491046,0.0566704,0.103937,0.0218093,0.0165043
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","DAnswers",0.6224,0,0.622437,0.443974,1,1,1,1,0.536004,0.405076,,,0.691048,,,,,0.0797521,0.14627,0.053919,0.430769,10.338,9.34584,1000.05,999.225,0.316176,0.314035,0.193238,0.507274,0.218102,0.14788,0,0,0.691048,0.454827,0.0942575,0.160776,0.0290108,0.429296,0,0.408251,1,1,0,0,0.691048,0.0797521,0.14627,0.0306922,0.0232265
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","Litigated",0.6224,0,0.622437,0.443974,1,1,1,1,0.536004,0.405076,,,0.691048,,,,,0.0797521,0.14627,0.053919,0.430769,10.338,9.34584,1000.05,999.225,0.316176,0.314035,0.193238,0.507274,0.218102,0.14788,0,0,0.691048,0.454827,0.0942575,0.160776,0.0290108,0.429296,0,0.408251,1,1,0,0,0.691048,0.0797521,0.14627,0.0306922,0.0232265
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","Not Litigated",0.3776,0,0.377563,0.592349,0.671455,0,1,1,,,,,0,,,,,0,0,0,,10.5707,9.32855,1000.1,999.2,0.100718,0.0894765,0.121862,0.211339,0.0894765,0.0476599,0,0,0,,0,0,0,0.616544,0,-0.673007,0.671455,0,0.328545,0.671455,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","Settles",0.4301,0,0.430134,0.418697,1,1,1,1,0.414491,0.495163,,,1,,,,,0,0,0,,10.3048,9.39517,1000.07,999.425,0.3,0.289218,0.190018,0.479236,0.160064,0.12412,0,0,1,0.454827,0,0,0,0.397371,0,-0.0396693,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","Tried",0.0336,0,0.0335609,0.449126,1,1,1,1,0.9,0.150914,,,0,,,,,0,0,1,0.430769,10.0892,9.31077,999.823,998.109,0.6,0.42316,0.264329,0.687489,0.517413,0.422927,0,0,0,,0,0,0,0.431276,0,2.44384,1,1,0,0,0,0,0,0.569231,0.430769
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse","5.684E-14","1230","PWins",0.0145,0,0.014457,0.580286,1,1,1,1,0.9,0.126954,,,0,,,,,0,0,1,1,11,8.4,1000.16,995.609,0.6,0.982336,0,0.982336,1.20114,0,0,0,0,,0,0,0,0.617664,0,2.48324,1,1,0,0,0,0,0,0,1
