Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,5.355794640904137E-05,0.0055209755511112036,0.05448952643481842,0.17347808339153828,0,0.19973285667612267
D Doesn't Answer,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Doesn't Answer,False Negatives,Probabilities,0.19985820894503764,0.18698829450656015,0.10854603472696352,0,0.003759594249812169
Settles,False Negatives,Values,1.5,1.3,1.25,1.1,1.05,1,0.85,0.8,0.75,0.6,0.55,0.5,0.35,0.3,0.09999999999999998,0
Settles,False Negatives,Probabilities,4.541601201001103E-06,4.351848572596055E-06,0.0018439934747203786,1.629585813046412E-05,0.00187965755346237,0.012591421925910189,0.0006724004886160791,0.01861310647638994,0.008656836577080383,0.0003918158062889925,0.013572263519767015,0.00010207036512004977,7.558727765544395E-07,0.00016021184712662804,1.9423376156595107E-12,0
P Abandons,False Negatives,Values,1.6,1.35,1.1,0.85,0.6,0
P Abandons,False Negatives,Probabilities,9.61894593079148E-07,0.00035461634156033143,0.0008698561615404113,0.0004022244456173106,4.735540204994046E-06,0
D Defaults,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Defaults,False Negatives,Probabilities,2.7417983438879355E-05,0.0017236501817495756,0.0013583286970303666,0,6.811959687397131E-06
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,2.8,2.55,2.3,2.05,1.95,1.7999999999999998,1.7,1.5499999999999998,1.45,1.2,0.95,0.7,0.44999999999999996,0.19999999999999996,0
P Wins,False Negatives,Probabilities,5.851365811051463E-11,4.453831562223527E-07,7.14997241038748E-05,0.00025069377016698446,1.6320980474727597E-08,2.1715538332645454E-05,2.281840953320527E-05,3.920955676380215E-09,0.0007494805781709052,0.002133337148658751,0.00099140322116659,7.30723591698636E-05,5.471611400206847E-08,7.588606355709287E-14,0
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.43327499999999963
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,3.830655849613627E-07,0.003759211184227208,0.10854603472696352,0.18698829450656015,0.19985820894503764
Settles,False Positives,Values,1.1,1.1,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.7,0.7,0.6499999999999999,0.6000000000000001,0.44999999999999996,0.3999999999999999,0.3500000000000001,0.19999999999999996,0.1499999999999999,0.10000000000000009,0
Settles,False Positives,Probabilities,0,1.9423376156595107E-12,0,0.00016021184712662804,7.558727765544395E-07,0,0.00010207036512004977,0.013572263519767015,0.0003918158062889925,0.008656836577080383,0.01861310647638994,0.0006724004886160791,0.012591421925910189,0.00187965755346237,1.629585813046412E-05,0.001852886924493976
P Abandons,False Positives,Values,0.6,0.6,0.35,0.09999999999999998,0
P Abandons,False Positives,Probabilities,0,4.735540204994046E-06,0.0004022244456173106,0.0008698561615404113,0.0003555782361534105
D Defaults,False Positives,Values,1.6,1.6,1.35,1.1,0.8500000000000001,0.6000000000000001
D Defaults,False Positives,Probabilities,0,4.5366596299292897E-10,6.811506021434137E-06,0.0013583286970303666,0.0017236501817495756,2.7417983438879355E-05
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,2.2,2.2,1.9500000000000002,1.95,1.95,1.7000000000000002,1.7,1.7,1.4500000000000002,1.45,1.45,1.2000000000000002,1.2,0.95,0.85,0.85,0.7,0.6,0.6,0.44999999999999996,0.35,0.09999999999999998,0
P Wins,False Positives,Probabilities,0,7.588606355709287E-14,5.4694925020129904E-08,0,2.1188981938567607E-11,7.021604362005255E-05,0,2.8563155498110633E-06,0.0002392965642079895,0,0.0007521066569585999,1.8914813283304677E-05,0.002114422335375446,0.0007494805781709052,0,3.920955676380215E-09,2.281840953320527E-05,0,2.1715538332645454E-05,1.6320980474727597E-08,0.00025069377016698446,7.14997241038748E-05,4.4544166988046324E-07
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0,0.43327499999999963
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0,0.4991521324283732
Settles,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2
Settles,Total Expenditures,Probabilities,0,0.0010812680277544277,0,0.057428455189350545
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0,0.0016323943835161267
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0,0.0031162088219062185
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,2.4000000000000004,2.4000000000000004,2.4,2.4
P Wins,Total Expenditures,Probabilities,0,0.00032848211611225274,0,0.003986059032986485
