"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","All",1,0,1,0.5,0.60009,0.0105359,1,1,0.296888,0.2235,,,0.00635012,,,,,0.00374581,0.00039807,4.189E-5,1,10.2317,9.40183,1000.06,999.286,0.366426,0.156303,0.271955,0.428258,0.0708137,0.122321,0,0,0.00635012,0.286675,0.00374581,0.00039807,0,1,0,0,0.60009,0.0105359,0.39991,0.589554,0.00635012,0.00374581,0.00039807,0,4.1889E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","DisputeArises",1,0,1,0.5,0.60009,0.0105359,1,1,0.296888,0.2235,,,0.00635012,,,,,0.00374581,0.00039807,4.189E-5,1,10.2317,9.40183,1000.06,999.286,0.366426,0.156303,0.271955,0.428258,0.0708137,0.122321,0,0,0.00635012,0.286675,0.00374581,0.00039807,0,1,0,0,0.60009,0.0105359,0.39991,0.589554,0.00635012,0.00374581,0.00039807,0,4.1889E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PFiles",0.6001,0,0.60009,0.5,1,0.0175572,1,1,0.296888,0.2235,,,0.0105819,,,,,0.00624208,0.00066335,6.981E-5,1,10.3862,9.0032,1000.1,998.81,0.610618,0.260466,0.356327,0.616794,0.118005,0.172843,0,0,0.0105819,0.286675,0.00624208,0.00066335,0,1,0,0,1,0.0175572,0,0.982443,0.0105819,0.00624208,0.00066335,0,6.9805E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","DAnswers",0.0105,0,0.0105359,0.5,1,1,1,1,0.296888,0.2235,,,0.602713,,,,,0.355529,0.0377823,0.003976,1,9.61323,9.182,999.74,998.926,1.20477,0.502464,0.703017,1.20548,0.300655,0.532167,0,0,0.602713,0.286675,0.355529,0.0377823,0,1,0,0,1,1,0,0,0.602713,0.355529,0.0377823,0,0.0039759
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Litigated",0.0105,0,0.0105359,0.5,1,1,1,1,0.296888,0.2235,,,0.602713,,,,,0.355529,0.0377823,0.003976,1,9.61323,9.182,999.74,998.926,1.20477,0.502464,0.703017,1.20548,0.300655,0.532167,0,0,0.602713,0.286675,0.355529,0.0377823,0,1,0,0,1,1,0,0,0.602713,0.355529,0.0377823,0,0.0039759
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Not Litigated",0.9895,0,0.989464,0.5,0.595832,0,1,1,,,,,0,,,,,0,0,0,,10.2383,9.40417,1000.06,999.29,0.357499,0.152617,0.267365,0.419982,0.0683664,0.117957,0,0,0,,0,0,0,1,0,0,0.595832,0,0.404168,0.595832,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Settles",0.0064,0,0.00635012,0.5,1,1,1,1,0.280981,0.292369,,,1,,,,,0,0,0,,9.68667,9.11333,999.836,999.084,1.2,0.542405,0.657595,1.2,0.311228,0.449455,0,0,1,0.286675,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Tried",4.2E-5,0,4.18894E-05,0.5,1,1,1,1,0.5,0.1,,,0,,,,,0,0,1,1,10.0707,7.52926,997.186,949.159,2.4,2.13094,0.373621,2.50456,5.23989,0.929029,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PWins",4.2E-5,0,4.18894E-05,0.5,1,1,1,1,0.5,0.1,,,0,,,,,0,0,1,1,10.0707,7.52926,997.186,949.159,2.4,2.13094,0.373621,2.50456,5.23989,0.929029,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","DWins",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Abandoned",0.0041,0,0.00414388,0.5,1,1,1,1,0.319212,0.119212,,,0,,,,,0.903938,0.0960621,0,,9.49606,9.30394,999.619,999.187,1.2,0.424795,0.775952,1.20075,0.234525,0.654905,0,0,0,,0.903938,0.0960621,0,1,0,0,1,1,0,0,0,0.903938,0.0960621,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Rounds1",0.0105,0,0.0105359,0.5,1,1,1,1,0.296888,0.2235,,,0.602713,,,,,0.355529,0.0377823,0.003976,1,9.61323,9.182,999.74,998.926,1.20477,0.502464,0.703017,1.20548,0.300655,0.532167,0,0,0.602713,0.286675,0.355529,0.0377823,0,1,0,0,1,1,0,0,0.602713,0.355529,0.0377823,0,0.0039759
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Truly Liable",1,0,1,0.5,0.60009,0.0105359,1,1,0.296888,0.2235,,,0.00635012,,,,,0.00374581,0.00039807,4.189E-5,1,10.2317,9.40183,1000.06,999.286,0.366426,0.156303,0.271955,0.428258,0.0708137,0.122321,0,0,0.00635012,0.286675,0.00374581,0.00039807,0,1,0,0,0.60009,0.0105359,0.39991,0.589554,0.00635012,0.00374581,0.00039807,0,4.1889E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","Truly Not Liable",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Reverse 68 Damages Dispute","5.684E-14","1223","AllCount",195,0,195,0.5,117.018,2.0545,195,195,0.296888,0.2235,,,1.23827,,,,,0.730433,0.0776236,0.008168,25,10.2317,9.40183,1000.06,999.286,0.366426,0.156303,0.271955,0.428258,0.0708137,0.122321,0,0,1.23827,0.286675,0.730433,0.0776236,0,195,0,0,117.018,2.0545,77.9824,114.963,1.23827,0.730433,0.0776236,0,0.0081684
