Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,6.77728211167567E-08,0.00027004794415895657,0.031733039718538435,0.1682274619973389,0,0.19967938256714296
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.85,0.75,0.65,0.6,0.55,0.5,0.45000000000000007,0.4,0.35,0.30000000000000004,0.25,0.20000000000000007,0.15000000000000002,0.1,0.09999999999999998,0.050000000000000044,0,0
Settles,False Negatives,Probabilities,1.0839959411507582E-06,9.877552095254922E-06,0.0009581581154466444,0.0022422413440928604,0.01083614140917885,0.004272672447985665,0.08499118759028629,0.02842254733169429,0.08832846931333888,0.04830641633857319,0.04070014610026293,0.06287508212763857,0.02676067211630044,0.003660720635541136,0.006229371051171249,0.007532815453236005,0,0.004415726797789033
P Abandons,False Negatives,Values,1.15,0.9,0.65,0.4,0.15,0
P Abandons,False Negatives,Probabilities,6.491911013941494E-07,0.0007814633334932185,0.02818536153424761,0.018387888990977905,0.00022314201225189846,0
D Defaults,False Negatives,Values,0.15000000000000002,0,0
D Defaults,False Negatives,Probabilities,0.0028622987942482376,0,0.00038092978362314815
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.75,1.5,1.25,1.05,1,0.8,0.75,0.55,0.5,0.30000000000000004,0.3,0.25,0.050000000000000044,0.04999999999999999,0,0
P Wins,False Negatives,Probabilities,7.738369088809945E-08,4.154348773977281E-05,0.002988138388726154,2.6656642405727724E-10,0.014435477765130364,1.2202880577154682E-05,0.002544348236597202,0.01834218454129189,1.937641671401704E-06,0.02501463951470795,0.04312731469546863,5.55761590926498E-13,0.010712002746133105,0.010482824755847603,0,0.0010222443347805848
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.3999100000000004
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,1.05,1.05,0.9500000000000001,0.9500000000000001,0.85,0.85,0.8,0.75,0.75,0.7000000000000001,0.65,0.65,0.6,0.55,0.55,0.5,0.45000000000000007,0.44999999999999996,0.44999999999999996,0.4,0.35,0.30000000000000004,0.25,0.20000000000000007,0.19999999999999996,0.15000000000000002,0.09999999999999998,0.050000000000000044,0
Settles,False Positives,Probabilities,0,6.203371834808551E-26,0,2.320291732533906E-20,0,9.553410972945046E-15,2.1874624665383334E-15,0,2.8568958434294134E-11,1.726117776007021E-11,0,5.612543867709674E-08,1.5012330049118827E-07,0,1.5919443130207997E-07,1.1246226400957501E-05,9.535562646259312E-06,0,4.234826364635292E-06,0.0005721415935425993,0.002085342441767732,0.001732860658054502,0.007532815453236005,0.006229371051171249,0.003660720635541136,0.02676067211630044,0.06287508212763857,0.04070014610026293,0.2683687954386331
P Abandons,False Positives,Values,0.15,0.15,0
P Abandons,False Positives,Probabilities,0,0.00022314201225189846,0.04735536304982013
D Defaults,False Positives,Values,1.15,1.15,0.8999999999999999,0.6499999999999999,0.3999999999999999,0.1499999999999999
D Defaults,False Positives,Probabilities,0,2.0373436558416438E-18,3.84998708123986E-11,1.293894441869261E-06,0.0003796358506814061,0.0028622987942482376
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.3,1.3,1.05,1.05,0.8,0.8,0.55,0.55,0.35000000000000003,0.35000000000000003,0.30000000000000004,0.10000000000000003,0.10000000000000003,0.050000000000000044,0,0
P Wins,False Positives,Probabilities,0,1.912749858427858E-10,0,3.5823325936423703E-06,0,0.001018661810911956,0,0.021194827501980706,0,5.55761590926498E-13,0.06814195421017658,0,1.937641671401704E-06,0.01834218454129189,0,0.02002178840902795
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0,0.3999100000000004
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0,0.3714415379590549,0,0.04910179176151747
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0,0.047578505062072035
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0,0.003243228577871386
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0,0.12872493663948473
