Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,6.5118364157468515E-06,0.0008546668645167012,0.028700479709519448,0.13822307097625067,0,0.16331955173202695
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Doesn't Answer,False Negatives,Probabilities,0.1397308796569841,0.10951279054941546,0,0.018936323548390074
Settles,False Negatives,Values,1.2,1.1,1,0.95,0.9,0.8999999999999999,0.85,0.8,0.75,0.7,0.65,0.6499999999999999,0.6000000000000001,0.6,0.55,0.5,0.45,0.44999999999999996,0.4,0.39999999999999997,0.3999999999999999,0.35000000000000003,0.35,0.3,0.25,0.2,0.19999999999999998,0.15000000000000002,0.14999999999999997,0.1499999999999999,0.10000000000000003,0.09999999999999998,0.04999999999999999,0,0
Settles,False Negatives,Probabilities,6.713550002635991E-07,6.785682998297753E-07,0.00015683305795506354,7.329540715122073E-05,1.4536726985441471E-06,0.00015918704751961322,9.453098094247035E-05,0.0008973825574663852,0.00151513351796487,0.0018314309692562753,0.00021771561724990036,0.00233510059668443,0.011063478063637616,0.0012261344606480063,0.009445729690455524,0.014382390126782546,0.00929261284243477,0.0017099662618053036,0.0017728672818959708,0.014464846700016167,0.004132609225813631,0.017315403798777836,0.0024010868135883314,0.03264141330924176,0.011941429020547718,0.016569799170423664,0.004530657926055737,0.001183564848875089,0.003938077383042553,0.0015881568126034301,0.015771363408724755,0.0015974070093801405,0.006896783064606591,0,0.011602360776612263
P Abandons,False Negatives,Values,1.3,1.05,0.8,0.55,0.3,0
P Abandons,False Negatives,Probabilities,8.697845156840567E-06,0.0012946106856837484,0.014608082399277156,0.012490431633891507,0.010487180815872268,0
D Defaults,False Negatives,Values,0.30000000000000004,0.050000000000000044,0,0
D Defaults,False Negatives,Probabilities,0.016353140111947596,0.015603036275744818,0,0.012342864699681034
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.6,1.35,1.1,0.85,0.6,0.35,0.09999999999999998,0,0
P Wins,False Negatives,Probabilities,4.3673869471465016E-08,2.3747664327986937E-05,0.0019638339651665373,0.024720465471359965,0.06350548171101232,0.02292142213195121,0.0016238678059250474,0,1.7266891457734847E-05
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.3311042811187297
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,7.28713095252322E-07,0.00017241826051063507,0.01876317657478419,0.10951279054941546,0.1397308796569841
Settles,False Positives,Values,1.2,1.2,1.1,1.1,1,1,0.95,0.8999999999999999,0.8999999999999999,0.8500000000000001,0.8,0.8,0.75,0.7,0.7,0.6499999999999999,0.6000000000000001,0.6,0.6,0.55,0.5,0.5,0.44999999999999996,0.4,0.4,0.3999999999999999,0.3500000000000001,0.35,0.30000000000000004,0.25,0.19999999999999996,0.15000000000000002,0.1499999999999999,0.10000000000000009,0.09999999999999998,0.050000000000000044,0
Settles,False Positives,Probabilities,0,2.0735175658360814E-07,0,2.0685476929537332E-07,0,0.0002227550515495722,1.9035351488092514E-05,0,0.00022002534257476407,4.6760375334876467E-05,0,0.0006422101070295752,0.002557162131898751,0,0.0008434810766009148,0.0029805040002561347,0.0012493837611314844,0,0.002820629372222228,0.006896783064606591,0,0.017368770418104897,0.006709799044521074,0,0.004530657926055737,0.016569799170423664,0.004454177889220405,0.007487251131327315,0.03264141330924176,0.019716490612366175,0.02037032320772577,0.0017099662618053036,0.00929261284243477,0.004828631006268845,0.009553759120513703,0.009445729690455524,0.01957302587247449
P Abandons,False Positives,Values,0.3,0.3,0.04999999999999999,0
P Abandons,False Positives,Probabilities,0,0.010487180815872268,0.012490431633891507,0.015911390930117758
D Defaults,False Positives,Values,1.3,1.3,1.05,0.8,0.55,0.30000000000000004
D Defaults,False Positives,Probabilities,0,4.2021871346118825E-06,0.0007223158439915923,0.011616346668554838,0.015603036275744818,0.016353140111947596
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.6,1.6,1.35,1.35,1.1,1.1,0.8500000000000001,0.85,0.85,0.6000000000000001,0.6,0.6,0.3500000000000001,0.35,0.10000000000000009,0.09999999999999998,0
P Wins,False Positives,Probabilities,0,3.168235450131611E-08,0,1.723520910323354E-05,0,0.0016238678059250474,0.01816823381572988,0,0.004753188316221319,0.04355224751825046,0,0.019953234192761828,0.012759698362499365,0.011960767108860591,0.0006365912659174458,0.0013272426992490918,2.3791338197458397E-05
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0,0.3311042811187297
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0,0.2681799937547896
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6,0.5999999999999999,0.5999999999999999
Settles,Total Expenditures,Probabilities,0,0.10803284107011323,0,0.03706682852274932,0,0.05765188175129567
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0,0.038889003379881514
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0,0.044299041087373446
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2
P Wins,Total Expenditures,Probabilities,0,0.07675790565977995,0,0.038018223655290236
