"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","All",1,0,1,0.5,0.60009,0.483707,1,1,0.580959,0.459013,,,0.237239,,,,,0.038559,0.0468084,0.160171,1,10.1545,9.4243,10.1545,9.4243,0.421242,0.146903,0.34583,0.492733,0.0742381,0.207054,0,0,0.237239,0.523462,0.0390243,0.0472737,0.000930542,1,0,0,0.60009,0.483707,0.39991,0.116383,0.237239,0.038559,0.0468084,0,0.160171
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","DisputeArises",1,0,1,0.5,0.60009,0.483707,1,1,0.580959,0.459013,,,0.237239,,,,,0.038559,0.0468084,0.160171,1,10.1545,9.4243,10.1545,9.4243,0.421242,0.146903,0.34583,0.492733,0.0742381,0.207054,0,0,0.237239,0.523462,0.0390243,0.0472737,0.000930542,1,0,0,0.60009,0.483707,0.39991,0.116383,0.237239,0.038559,0.0468084,0,0.160171
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","PFiles",0.6001,0,0.60009,0.5,1,0.806058,1,1,0.580959,0.459013,,,0.395339,,,,,0.0642553,0.0780023,0.266911,1,10.2574,9.04064,10.2574,9.04064,0.701964,0.244801,0.479435,0.724236,0.123712,0.314043,0,0,0.395339,0.523462,0.0650307,0.0787777,0.00155067,1,0,0,1,0.806058,0,0.193942,0.395339,0.0642553,0.0780023,0,0.266911
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","DAnswers",0.4837,0,0.483707,0.5,1,1,1,1,0.580959,0.459013,,,0.490459,,,,,0.0797155,0.0967701,0.331131,1,10.1509,9.05042,10.1509,9.05042,0.798679,0.293804,0.532449,0.826253,0.150968,0.371389,0,0,0.490459,0.523462,0.0806774,0.097732,0.00192377,1,0,0,1,1,0,0,0.490459,0.0797155,0.0967701,0,0.331131
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","Litigated",0.4837,0,0.483707,0.5,1,1,1,1,0.580959,0.459013,,,0.490459,,,,,0.0797155,0.0967701,0.331131,1,10.1509,9.05042,10.1509,9.05042,0.798679,0.293804,0.532449,0.826253,0.150968,0.371389,0,0,0.490459,0.523462,0.0806774,0.097732,0.00192377,1,0,0,1,1,0,0,0.490459,0.0797155,0.0967701,0,0.331131
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","Not Litigated",0.5163,0,0.516293,0.5,0.22542,0,1,1,,,,,0,,,,,0,0,0,,10.1578,9.77458,10.1578,9.77458,0.067626,0.0092731,0.170989,0.180262,0.00235127,0.0530897,0,0,0,,0,0,0,1,0,0,0.22542,0,0.77458,0.22542,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","Settles",0.2372,0,0.237239,0.5,1,1,1,1,0.485928,0.560996,,,1,,,,,0,0,0,,10.2235,9.17654,10.2235,9.17654,0.6,0.168344,0.438199,0.606542,0.0437113,0.210444,0,0,1,0.523462,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","Tried",0.1602,0,0.160171,0.5,1,1,1,1,0.710351,0.400848,,,0,,,,,0,0,1,1,9.99123,8.80877,9.99123,8.80877,1.2,0.504433,0.737023,1.24146,0.329472,0.671382,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Fee Rule Rule 68 Damages Dispute","-8.882000000000001E-16","1683","PWins",0.1602,0,0.160171,0.5,1,1,1,1,0.710351,0.400848,,,0,,,,,0,0,1,1,9.99123,8.80877,9.99123,8.80877,1.2,0.504433,0.737023,1.24146,0.329472,0.671382,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
