Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.0032626557822526005,0.02774901088441406
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.4304869741875933,0.166241715325921
Settles,False Negatives,Values,1.2,1,0.8,0
Settles,False Negatives,Probabilities,0.00015847261275751855,0.016006992197792582,0.027515453538004876,0.2686605585916566
P Abandons,False Negatives,Values,1.3,0
P Abandons,False Negatives,Probabilities,0.0017354289293275013,0.012415466848321205
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.018612189387738606,0.019757884002320383
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0011386147908506886,0.004051878761232551
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.0010771316241622972,0.0011295725356542403
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.02774901088441406,0.0032626557822526005
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.166241715325921,0.4304869741875933
Settles,False Positives,Values,0.8,0.6,0.4,0
Settles,False Positives,Probabilities,0.1646642724343153,0.10253135983108083,0.0014649263262604417,0.043680918348554996
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.012415466848321205,0.0017354289293275013
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.019757884002320383,0.018612189387738606
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.004051878761232551,0.0011386147908506886
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.0011295725356542403,0.0010771316241622972
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.02774901088441406,0.0032626557822526005
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.166241715325921,0.4304869741875933
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6
Settles,Total Expenditures,Probabilities,0.1646642724343153,0.027515453538004876,0.10399628615734127,0.0161654648105501
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0.012415466848321205,0.0017354289293275013
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.019757884002320383,0.018612189387738606
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.004051878761232551,0.0011386147908506886
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.0011295725356542403,0.0010771316241622972
