"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","All",1,0,1,0.499995,1,1,1,1,0.751144,0.418758,,,0.57585,,,,,0,0,0.42415,0.360672,10.4102,9.3762,19.7864,0.213622,10.4102,999.234,0.213622,0.201547,0.154506,0.356053,0.160335,0.115895,0,0.213622,0,0.57585,0.647523,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.57585,0,0,0.271171,0.152979
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","DisputeArises",1,0,1,0.499995,1,1,1,1,0.751144,0.418758,,,0.57585,,,,,0,0,0.42415,0.360672,10.4102,9.3762,19.7864,0.213622,10.4102,999.234,0.213622,0.201547,0.154506,0.356053,0.160335,0.115895,0,0.213622,0,0.57585,0.647523,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.57585,0,0,0.271171,0.152979
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","PFiles",1,0,1,0.499995,1,1,1,1,0.751144,0.418758,,,0.57585,,,,,0,0,0.42415,0.360672,10.4102,9.3762,19.7864,0.213622,10.4102,999.234,0.213622,0.201547,0.154506,0.356053,0.160335,0.115895,0,0.213622,0,0.57585,0.647523,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.57585,0,0,0.271171,0.152979
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","DAnswers",1,0,1,0.499995,1,1,1,1,0.751144,0.418758,,,0.57585,,,,,0,0,0.42415,0.360672,10.4102,9.3762,19.7864,0.213622,10.4102,999.234,0.213622,0.201547,0.154506,0.356053,0.160335,0.115895,0,0.213622,0,0.57585,0.647523,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.57585,0,0,0.271171,0.152979
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","Litigated",1,0,1,0.499995,1,1,1,1,0.751144,0.418758,,,0.57585,,,,,0,0,0.42415,0.360672,10.4102,9.3762,19.7864,0.213622,10.4102,999.234,0.213622,0.201547,0.154506,0.356053,0.160335,0.115895,0,0.213622,0,0.57585,0.647523,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.57585,0,0,0.271171,0.152979
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","Settles",0.5759,0,0.57585,0.578039,1,1,1,1,0.641502,0.653543,,,1,,,,,0,0,0,,10.5725,9.27748,19.85,0.15,10.5725,999.209,0.15,0.161017,0.130439,0.291456,0.115621,0.0465206,0,0.15,0,1,0.647523,0,0,0,0.601692,0,-0.5515,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","Tried",0.4241,0,0.42415,0.394038,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.360672,10.1898,9.51023,19.7,0.3,10.1898,999.268,0.3,0.256574,0.18718,0.443754,0.221042,0.210082,0,0.3,0,0,,0,0,0,0.361923,0,0.748766,1,1,0,0,0,0,0,0.639328,0.360672
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 D Risk Averse","1.776E-15","1","0","PWins",0.153,0,0.152979,0.585356,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.925,8.775,19.7,0.3,10.925,998.024,0.3,0.60737,0.0463222,0.653692,0.605062,0.00347417,0,0.3,0,0,,0,0,0,0.61763,0,0.918238,1,1,0,0,0,0,0,0,1
