"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","All",1,0,1,0.499995,0.81393,0.249108,1,1,0.239613,0.1,,,0.192265,,,,,0,0.00941427,0.047428,0.405797,10.3543,9.29833,19.6526,0.347368,10.3543,999.164,0.347368,0.244191,0.207001,0.451191,0.206723,0.129733,0,0.347368,0,0.192265,0.1,0,0.00941427,0,0.499994,0,7.5023E-06,0.81393,0.249108,0.18607,0.564822,0.192265,0,0.00941427,0.0281821,0.0192463
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","DisputeArises",1,0,1,0.499995,0.81393,0.249108,1,1,0.239613,0.1,,,0.192265,,,,,0,0.00941427,0.047428,0.405797,10.3543,9.29833,19.6526,0.347368,10.3543,999.164,0.347368,0.244191,0.207001,0.451191,0.206723,0.129733,0,0.347368,0,0.192265,0.1,0,0.00941427,0,0.499994,0,7.5023E-06,0.81393,0.249108,0.18607,0.564822,0.192265,0,0.00941427,0.0281821,0.0192463
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","PFiles",0.8139,0,0.81393,0.573308,1,0.306056,1,1,0.239613,0.1,,,0.236219,,,,,0,0.0115664,0.058271,0.405797,10.4353,9.13792,19.5732,0.426779,10.4353,998.973,0.426779,0.300014,0.230271,0.530285,0.253981,0.13534,0,0.426779,0,0.236219,0.1,0,0.0115664,0,0.590245,0,0.184351,1,0.306056,0,0.693944,0.236219,0,0.0115664,0.0346247,0.0236461
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","DAnswers",0.2491,0,0.249108,0.291972,1,1,1,1,0.239613,0.1,,,0.771815,,,,,0,0.0377919,0.190393,0.405797,9.83512,9.45065,19.2858,0.714236,9.83512,999.347,0.714236,0.413311,0.242254,0.655565,0.262904,0.289169,0,0.714236,0,0.771815,0.1,0,0.0377919,0,0.228124,0,1.04973,1,1,0,0,0.771815,0,0.0377919,0.113132,0.0772609
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","Litigated",0.2491,0,0.249108,0.291972,1,1,1,1,0.239613,0.1,,,0.771815,,,,,0,0.0377919,0.190393,0.405797,9.83512,9.45065,19.2858,0.714236,9.83512,999.347,0.714236,0.413311,0.242254,0.655565,0.262904,0.289169,0,0.714236,0,0.771815,0.1,0,0.0377919,0,0.228124,0,1.04973,1,1,0,0,0.771815,0,0.0377919,0.113132,0.0772609
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","Not Litigated",0.7509,0,0.750892,0.569007,0.752201,0,1,1,,,,,0,,,,,0,0,0,,10.5265,9.2478,19.7743,0.22566,10.5265,999.103,0.22566,0.188085,0.195305,0.38339,0.188085,0.0768407,0,0.22566,0,0,,0,0,0,0.590187,0,-0.348237,0.752201,0,0.247799,0.752201,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","Settles",0.1923,0,0.192265,0.247991,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.8,9.6,19.4,0.6,9.8,999.771,0.6,0.331242,0.206273,0.537515,0.132497,0.247527,0,0.6,0,1,0.1,0,0,0,0.171894,0,0.741234,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","Tried",0.0474,0,0.0474284,0.431987,1,1,1,1,0.708621,0.1,,,0,,,,,0,0,1,0.405797,9.8058,8.9942,18.8,1.2,9.8058,997.961,1.2,0.664937,0.40772,1.07266,0.66018,0.50683,0,1.2,0,0,,0,0,0,0.40641,0,2.13457,1,1,0,0,0,0,0,0.594203,0.405797
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","PWins",0.0192,0,0.0192463,0.566821,1,1,1,1,0.757828,0.1,,,0,,,,,0,0,1,1,10.4,8.4,18.8,1.2,10.4,995.609,1.2,1.00232,0.358607,1.36093,1.24511,0.215164,0,1.2,0,0,,0,0,0,0.597678,0,2.24033,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","DWins",0.0282,0,0.0281821,0.339905,1,1,1,1,0.675016,0.1,,,0,,,,,0,0,1,0,9.4,9.4,18.8,1.2,9.4,999.567,1.2,0.434527,0.441261,0.875788,0.260716,0.706017,0,1.2,0,0,,0,0,0,0.275788,0,2.06234,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 D Risk Averse","0.0001866","1.088","3","Abandoned",0.0094,0,0.00941427,0.484794,1,1,1,1,0.728073,0.1,,,0,,,,,0,1,0,,10.7,8.7,19.4,0.6,10.7,997.675,0.6,0.821706,0.143488,0.965194,0.92473,0.0430464,0,0.6,0,0,,0,1,0,0.478294,0,1.88467,1,1,0,0,0,0,1,0,0
