"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","All",1,0,1,0.499995,1,0.371414,1,1,0.62097,0.323066,,,0.0925464,,,,,0.170823,0.0346801,0.015246,0.267087,10.4317,9.14772,19.5794,0.420572,10.4317,998.893,0.420572,0.374731,0.182772,0.557503,0.347754,0.098914,0,0.420572,0,0.0925464,0.5,0.199882,0.0637393,0.0581183,0.499994,0,7.5023E-06,1,0.371414,0,0.628586,0.0925464,0.170823,0.0346801,0.0111739,0.004072
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","DisputeArises",1,0,1,0.499995,1,0.371414,1,1,0.62097,0.323066,,,0.0925464,,,,,0.170823,0.0346801,0.015246,0.267087,10.4317,9.14772,19.5794,0.420572,10.4317,998.893,0.420572,0.374731,0.182772,0.557503,0.347754,0.098914,0,0.420572,0,0.0925464,0.5,0.199882,0.0637393,0.0581183,0.499994,0,7.5023E-06,1,0.371414,0,0.628586,0.0925464,0.170823,0.0346801,0.0111739,0.004072
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PFiles",1,0,1,0.499995,1,0.371414,1,1,0.62097,0.323066,,,0.0925464,,,,,0.170823,0.0346801,0.015246,0.267087,10.4317,9.14772,19.5794,0.420572,10.4317,998.893,0.420572,0.374731,0.182772,0.557503,0.347754,0.098914,0,0.420572,0,0.0925464,0.5,0.199882,0.0637393,0.0581183,0.499994,0,7.5023E-06,1,0.371414,0,0.628586,0.0925464,0.170823,0.0346801,0.0111739,0.004072
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","DAnswers",0.3714,0,0.371414,0.236003,1,1,1,1,0.62097,0.323066,,,0.249173,,,,,0.459926,0.0933733,0.041048,0.267087,9.97764,9.39773,19.3754,0.624629,9.97764,999.036,0.624629,0.494851,0.138598,0.633449,0.422216,0.160268,0,0.624629,0,0.249173,0.5,0.538166,0.171613,0.156479,0.167858,0,0.509361,1,1,0,0,0.249173,0.459926,0.0933733,0.0300848,0.0109635
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Litigated",0.3714,0,0.371414,0.236003,1,1,1,1,0.62097,0.323066,,,0.249173,,,,,0.459926,0.0933733,0.041048,0.267087,9.97764,9.39773,19.3754,0.624629,9.97764,999.036,0.624629,0.494851,0.138598,0.633449,0.422216,0.160268,0,0.624629,0,0.249173,0.5,0.538166,0.171613,0.156479,0.167858,0,0.509361,1,1,0,0,0.249173,0.459926,0.0933733,0.0300848,0.0109635
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Not Litigated",0.6286,0,0.628586,0.65598,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,19.7,0.3,10.7,998.808,0.3,0.303756,0.208873,0.512629,0.303756,0.0626619,0,0.3,0,0,,0,0,0,0.696244,0,-0.300955,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Settles",0.0925,0,0.0925464,0.292826,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.2,9.2,19.4,0.6,10.2,999.262,0.6,0.624179,0.175821,0.8,0.499343,0.140657,0,0.6,0,1,0.5,0,0,0,0.219776,0,0.335008,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Tried",0.0152,0,0.0152459,0.331063,1,1,1,1,0.813715,0.14682,,,0,,,,,0,0,1,0.267087,9.24784,9.55216,18.8,1.2,9.24784,992.716,1.2,0.543773,0.36177,0.905543,1.17352,0.904425,0,1.2,0,0,,0,0,0,0.268652,0,2.65681,1,1,0,0,0,0,0,0.732913,0.267087
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PWins",0.0041,0,0.00407198,0.47662,1,1,1,1,0.844844,0.14682,,,0,,,,,0,0,1,1,11.3,7.5,18.8,1.2,11.3,972.497,1.2,2.03594,0,2.03594,4.39376,0,0,1.2,0,0,,0,0,0,0.464059,0,2.8894,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","DWins",0.0112,0,0.0111739,0.278019,1,1,1,1,0.802371,0.14682,,,0,,,,,0,0,1,0,8.5,10.3,18.8,1.2,8.5,1000.08,1.2,0,0.493606,0.493606,0,1.23401,0,1.2,0,0,,0,0,0,0.197442,0,2.57205,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Abandoned",0.2636,0,0.263621,0.210557,1,1,1,1,0.652291,0.271144,,,0,,,,,0.647986,0.131553,0,,9.94178,9.45822,19.4,0.6,9.94178,999.321,0.6,0.44662,0.112624,0.559244,0.35169,0.124116,0,0.6,0,0,,0.758217,0.241783,0.220461,0.143802,0,0.446377,1,1,0,0,0,0.647986,0.131553,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Rounds1",0.3133,0,0.313295,0.247029,1,1,1,1,0.60631,0.290243,,,0.295397,,,,,0.545246,0.110695,0.048663,0.267087,9.93639,9.43441,19.3708,0.629198,9.93639,999.087,0.629198,0.450014,0.149822,0.599836,0.350741,0.173882,0,0.629198,0,0.295397,0.5,0.545246,0.110695,0,0.180888,0,0.789357,1,1,0,0,0.295397,0.545246,0.110695,0.0356658,0.0129973
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Truly Liable",0.5,0,0.499994,0.716723,1,0.124691,1,1,0.655689,0.3891,,,0.0406795,,,,,0.0309616,0.0335111,0.008192,0.461355,10.6356,9.02209,19.6577,0.342322,10.6356,998.726,0.342322,0.0174243,0.365548,0.382973,0.0120301,0.19783,0,0.342322,0,0.0406795,0.5,0.0366351,0.0391845,0.0113469,1,0,1.15263E-05,1,0.124691,0,0.875309,0.0406795,0.0309616,0.0335111,0.00441246,0.0037793
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Truly Not Liable",0.5,0,0.500006,0.283273,1,0.618131,1,1,0.613967,0.309745,,,0.144412,,,,,0.310681,0.0358491,0.0223,0.195725,10.2278,9.27335,19.5012,0.498819,10.2278,999.059,0.498819,0.73203,0,0.73203,0.683469,0,0,0.498819,0,0.144412,0.5,0.363125,0.0882934,0.104889,0,0,3.4784E-06,1,0.618131,0,0.381869,0.144412,0.310681,0.0358491,0.0179352,0.0043646
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","AllCount",450,0,450,0.499995,450,167.136,450,450,0.62097,0.323066,,,41.6459,,,,,76.8703,15.6061,6.86066,32.0504,10.4317,9.14772,19.5794,0.420572,10.4317,998.893,0.420572,0.374731,0.182772,0.557503,0.347754,0.098914,0,0.420572,0,41.6459,0.5,89.9469,28.6827,26.1533,224.997,0,7.5023E-06,450,167.136,0,282.864,41.6459,76.8703,15.6061,5.02827,1.83239
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Liability Strength1",0.2261,0,0.226114,0.1,1,0.858865,1,1,0.61846,0.272272,,,0.127116,,,,,0.537439,0.00900783,0.016352,0.0328966,9.98006,9.45247,19.4325,0.567471,9.98006,999.412,0.567471,0.531356,0.0407691,0.572125,0.422617,0.0500508,0,0.567471,0,0.127116,0.5,0.621914,0.0934829,0.16895,0.0399657,0,-6.39492E-06,1,0.858865,0,0.141135,0.127116,0.537439,0.00900783,0.0158141,0.0005379
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Liability Strength2",0.1902,0,0.190224,0.3,1,0.617271,1,1,0.592516,0.351752,,,0.218046,,,,,0.224868,0.0473205,0.034233,0.169806,10.2607,9.23361,19.4943,0.505721,10.2607,998.966,0.505721,0.649821,0.125604,0.775425,0.619399,0.138727,0,0.505721,0,0.218046,0.5,0.27127,0.0937224,0.0928038,0.169489,0,4.91077E-06,1,0.617271,0,0.382729,0.218046,0.224868,0.0473205,0.0284197,0.0058129
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 D Risk Averse","0.01572","0.9914","34","Liability Strength3",0.1673,0,0.167339,0.5,1,0.274961,1,1,0.652909,0.421182,,,0.115682,,,,,0.0369969,0.08481,0.024365,0.5,10.5791,9.02378,19.6029,0.397107,10.5791,998.497,0.397107,0.512781,0.212269,0.72505,0.534586,0.148627,0,0.397107,0,0.115682,0.5,0.0435502,0.0913633,0.0131066,0.5,0,2.11357E-05,1,0.274961,0,0.725039,0.115682,0.0369969,0.08481,0.0121824,0.0121824
