Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.06607585188880508,0.3215099968084297
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.25132177712520837,0.059168402745224405
Settles,False Negatives,Values,1.2,0.6000000000000001,0
Settles,False Negatives,Probabilities,0.018056114497369834,0.13110455310221827,0.07930291773726032
P Abandons,False Negatives,Values,1.3,0
P Abandons,False Negatives,Probabilities,0.006444060093321747,0.01837624577334489
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.008228552472303025,0.0028855630565135454
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0066098661075524555,0.012153094612874105
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.012153137763700982,0.006609866215872405
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.3215099968084297,0.06607585188880508
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.059168402745224405,0.25132177712520837
Settles,False Positives,Values,1,0.4,0
Settles,False Positives,Probabilities,0.032079819464448246,0.047223098272812104,0.1491606675995881
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.01837624577334489,0.006444060093321747
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.0028855630565135454,0.008228552472303025
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.012153094612874105,0.0066098661075524555
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.006609866215872405,0.012153137763700982
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.3215099968084297,0.06607585188880508
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.059168402745224405,0.25132177712520837
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6
Settles,Total Expenditures,Probabilities,0.032079819464448246,0.13110455310221827,0.047223098272812104,0.018056114497369834
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0.01837624577334489,0.006444060093321747
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.0028855630565135454,0.008228552472303025
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.012153094612874105,0.0066098661075524555
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.006609866215872405,0.012153137763700982
