Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.3878563676357401,0.44057638079224726
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,1.05,0.95,0.85,0.75,0.65,0.55,0.45000000000000007,0.35,0.25,0
Settles,False Negatives,Probabilities,0.010386712793669591,0.004713515817746221,0.010502351245229658,0.006498863403895722,0.005848932621691085,0.0017536718921405845,0.0016270388183201624,0.0007367096925719319,0.0006711383704108209,0.02028923299271322
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.026430589512300377,0.018713256197280675
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.028138809736494505,0.005652771829584283
P Loses,False Negatives,Values,1.75,0
P Loses,False Negatives,Probabilities,0.0038246874969772326,0.01094369658956237
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.003830748548128902,0.01100452401328891
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.44057638079224726,0.3878563676357401
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,1.05,0.9500000000000001,0.85,0.75,0.65,0.55,0.5499999999999999,0.44999999999999996,0.35,0.25,0.050000000000000044,0
Settles,False Positives,Probabilities,0.0002597950433352715,0.0002687497330647277,0.000563351359552535,0.0006465713662389188,0.0018187758277251394,0.0015522482485514832,0.0003491441800831558,0.0035986083947662853,0.002027713785065641,0.009204275054330005,0.0006711383704108209,0.04206779628526502
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.018713256197280675,0.026430589512300377
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.005652771829584283,0.028138809736494505
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.01094369658956237,0.0038246874969772326
P Wins,False Positives,Values,1.75,0.75
P Wins,False Positives,Probabilities,0.003830748548128902,0.01100452401328891
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.44057638079224726,0.3878563676357401
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.005109491578468064,0.016255147076467632,0.009204275054330005,0.010386712793669591,0.005975466359915089,0.016097074785538575
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.018713256197280675,0.026430589512300377
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.005652771829584283,0.028138809736494505
P Loses,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Loses,Total Expenditures,Probabilities,0.01094369658956237,0.0038246874969772326
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.003830748548128902,0.01100452401328891
