Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.38294310637412093,0.46928736923176756
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.10944452495772261,0.0219750082076526
Settles,False Negatives,Values,1.5,1.3,0
Settles,False Negatives,Probabilities,0.004123376172617203,0.0009142878103549046,0.007401223875767204
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0005859047676680916,0.00038628017577863223
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0012764610681683796,0.0005395280620964856
P Loses,False Negatives,Values,2.2,0
P Loses,False Negatives,Probabilities,0.00018862025942971672,0.00022736297694799152
P Wins,False Negatives,Values,1.2,0
P Wins,False Negatives,Probabilities,0.0005176316403953165,0.0001893144195055233
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.46928736923176756,0.38294310637412093
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.0219750082076526,0.10944452495772261
Settles,False Positives,Values,0.8999999999999999,0.7,0
Settles,False Positives,Probabilities,0.0030264226358669706,0.004374801239900234,0.00503766398297211
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.00038628017577863223,0.0005859047676680916
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0005395280620964856,0.0012764610681683796
P Loses,False Positives,Values,1.2,0.19999999999999996
P Loses,False Positives,Probabilities,0.00022736297694799152,0.00018862025942971672
P Wins,False Positives,Values,2.2,1.2000000000000002
P Wins,False Positives,Probabilities,0.0001893144195055233,0.0005176316403953165
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.46928736923176756,0.38294310637412093
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.0219750082076526,0.10944452495772261
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.007401223875767204,0.00503766398297211
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.00038628017577863223,0.0005859047676680916
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0005395280620964856,0.0012764610681683796
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.00022736297694799152,0.00018862025942971672
P Wins,Total Expenditures,Values,2.4000000000000004,2.4000000000000004
P Wins,Total Expenditures,Probabilities,0.0001893144195055233,0.0005176316403953165
