Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.06456218512401812,0.22960067132565604
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.1968735883431238,0.056384504934895927
Settles,False Negatives,Values,1.2,1.1,1,0.8,0.6000000000000001,0
Settles,False Negatives,Probabilities,0.00446412315455115,0.0006661519637282421,0.02153849527129435,0.014803111171610478,0.16477530686984138,0.1788142121334833
P Abandons,False Negatives,Values,1.3,0
P Abandons,False Negatives,Probabilities,0.011340844462835373,0.017811696877036823
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.013471663376166461,0.010065482321371444
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0023380695054707186,0.004990497686085468
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.005160373807840093,0.0023390216709902947
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.22960067132565604,0.06456218512401812
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.056384504934895927,0.1968735883431238
Settles,False Positives,Values,1,0.8,0.6,0.5,0.4,0
Settles,False Positives,Probabilities,0.03066384203412345,0.0148034756912018,0.11705032054646683,0.0019222719260573661,0.01437430193563406,0.2062471884310256
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.017811696877036823,0.011340844462835373
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.010065482321371444,0.013471663376166461
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.004990497686085468,0.0023380695054707186
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.0023390216709902947,0.005160373807840093
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.22960067132565604,0.06456218512401812
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.056384504934895927,0.1968735883431238
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6
Settles,Total Expenditures,Probabilities,0.045467317725325244,0.17957841804145183,0.13334689440815814,0.026668770389573743
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0.017811696877036823,0.011340844462835373
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.010065482321371444,0.013471663376166461
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.004990497686085468,0.0023380695054707186
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.0023390216709902947,0.005160373807840093
