Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.4369456982655228,0.47097320828857986
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.061172143615910175,0.022174858271196876
Settles,False Negatives,Values,1.3,0
Settles,False Negatives,Probabilities,0.0015449793088612468,0.005940590272287698
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0001681483641883381,0.000797065555258609
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.00015121225320473454,0.00010863331938395036
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,4.351647272707139E-06,7.379595537009167E-06
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,7.37959551973274E-06,4.35164727577591E-06
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.47097320828857986,0.4369456982655228
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.022174858271196876,0.061172143615910175
Settles,False Positives,Values,0.8999999999999999,0
Settles,False Positives,Probabilities,0.005940590272287698,0.0015449793088612468
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.000797065555258609,0.0001681483641883381
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.00010863331938395036,0.00015121225320473454
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,7.379595537009167E-06,4.351647272707139E-06
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,4.35164727577591E-06,7.37959551973274E-06
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.47097320828857986,0.4369456982655228
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.022174858271196876,0.061172143615910175
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.005940590272287698,0.0015449793088612468
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.000797065555258609,0.0001681483641883381
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.00010863331938395036,0.00015121225320473454
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,7.379595537009167E-06,4.351647272707139E-06
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,4.35164727577591E-06,7.37959551973274E-06
