"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","All",1,0,1,0.5,0.733576,0.53955,1,1,0.453397,0.398962,,,0.339835,,,,,0.0165031,0.0343674,0.148783,1,10.307,9.4574,19.7644,0.235604,1000.06,999.425,0.235604,0.0850356,0.199268,0.284304,0.0277062,0.0692108,0,0.235604,0,0.339835,0.378791,0.0165339,0.0343981,6.15932E-05,1,0,0,0.733576,0.53955,0.266424,0.194026,0.339835,0.0165031,0.0343674,0,0.148783
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","DisputeArises",1,0,1,0.5,0.733576,0.53955,1,1,0.453397,0.398962,,,0.339835,,,,,0.0165031,0.0343674,0.148783,1,10.307,9.4574,19.7644,0.235604,1000.06,999.425,0.235604,0.0850356,0.199268,0.284304,0.0277062,0.0692108,0,0.235604,0,0.339835,0.378791,0.0165339,0.0343981,6.15932E-05,1,0,0,0.733576,0.53955,0.266424,0.194026,0.339835,0.0165031,0.0343674,0,0.148783
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","PFiles",0.7336,0,0.733576,0.5,1,0.735507,1,1,0.453397,0.398962,,,0.463259,,,,,0.0224967,0.0468491,0.202818,1,10.4185,9.26034,19.6788,0.321172,1000.08,999.216,0.321172,0.115919,0.236703,0.352622,0.0377687,0.0836335,0,0.321172,0,0.463259,0.378791,0.0225387,0.0468911,8.39629E-05,1,0,0,1,0.735507,0,0.264493,0.463259,0.0224967,0.0468491,0,0.202818
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","DAnswers",0.5396,0,0.53955,0.5,1,1,1,1,0.453397,0.398962,,,0.62985,,,,,0.0305867,0.0636963,0.275753,1,10.2633,9.35396,19.6173,0.382726,1000.06,999.362,0.382726,0.142778,0.276707,0.419485,0.0475849,0.106941,0,0.382726,0,0.62985,0.378791,0.0306438,0.0637534,0.000114157,1,0,0,1,1,0,0,0.62985,0.0305867,0.0636963,0,0.275753
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","Litigated",0.5396,0,0.53955,0.5,1,1,1,1,0.453397,0.398962,,,0.62985,,,,,0.0305867,0.0636963,0.275753,1,10.2633,9.35396,19.6173,0.382726,1000.06,999.362,0.382726,0.142778,0.276707,0.419485,0.0475849,0.106941,0,0.382726,0,0.62985,0.378791,0.0306438,0.0637534,0.000114157,1,0,0,1,1,0,0,0.62985,0.0305867,0.0636963,0,0.275753
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","Not Litigated",0.4604,0,0.46045,0.5,0.421383,0,1,1,,,,,0,,,,,0,0,0,,10.3582,9.57862,19.9368,0.0632074,1000.06,999.498,0.0632074,0.017374,0.108526,0.1259,0.00441261,0.0249985,0,0.0632074,0,0,,0,0,0,1,0,0,0.421383,0,0.578617,0.421383,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","Settles",0.3398,0,0.339835,0.5,1,1,1,1,0.335451,0.42213,,,1,,,,,0,0,0,,10.2288,9.47121,19.7,0.3,1000.06,999.616,0.3,0.0725982,0.263559,0.336157,0.0140418,0.0864041,0,0.3,0,1,0.378791,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","Tried",0.1488,0,0.148783,0.5,1,1,1,1,0.625172,0.339317,,,0,,,,,0,0,1,1,10.2524,9.14755,19.4,0.6,1000.05,998.959,0.6,0.277969,0.347182,0.625151,0.114722,0.171746,0,0.6,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.00996","1","3","PWins",0.1488,0,0.148783,0.5,1,1,1,1,0.625172,0.339317,,,0,,,,,0,0,1,1,10.2524,9.14755,19.4,0.6,1000.05,998.959,0.6,0.277969,0.347182,0.625151,0.114722,0.171746,0,0.6,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
