"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","All",1,0,1,0.5,0.3999,0.3999,1,1,0.535185,0.530977,,,0.265313,,,,,0.057293,0.0257005,0.042618,1,10.0779,9.65655,19.7345,0.265511,1000.01,999.545,0.265511,0.0462333,0.422062,0.468295,0.0190277,0.273676,0,0.265511,0,0.265313,0.553029,0.0617805,0.0301881,0.00897509,1,0,0,0.3999,0.3999,0.6001,0,0.265313,0.057293,0.0257005,0,0.0426181
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","DisputeArises",1,0,1,0.5,0.3999,0.3999,1,1,0.535185,0.530977,,,0.265313,,,,,0.057293,0.0257005,0.042618,1,10.0779,9.65655,19.7345,0.265511,1000.01,999.545,0.265511,0.0462333,0.422062,0.468295,0.0190277,0.273676,0,0.265511,0,0.265313,0.553029,0.0617805,0.0301881,0.00897509,1,0,0,0.3999,0.3999,0.6001,0,0.265313,0.057293,0.0257005,0,0.0426181
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","PFiles",0.3999,0,0.3999,0.5,1,1,1,1,0.535185,0.530977,,,0.663449,,,,,0.143268,0.0642674,0.106572,1,10.1949,9.14117,19.3361,0.663943,1000.03,998.861,0.663943,0.115612,0.659766,0.775378,0.0475812,0.502451,0,0.663943,0,0.663449,0.553029,0.15449,0.075489,0.0224433,1,0,0,1,1,0,0,0.663449,0.143268,0.0642674,0,0.106572
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","DAnswers",0.3999,0,0.3999,0.5,1,1,1,1,0.535185,0.530977,,,0.663449,,,,,0.143268,0.0642674,0.106572,1,10.1949,9.14117,19.3361,0.663943,1000.03,998.861,0.663943,0.115612,0.659766,0.775378,0.0475812,0.502451,0,0.663943,0,0.663449,0.553029,0.15449,0.075489,0.0224433,1,0,0,1,1,0,0,0.663449,0.143268,0.0642674,0,0.106572
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","Litigated",0.3999,0,0.3999,0.5,1,1,1,1,0.535185,0.530977,,,0.663449,,,,,0.143268,0.0642674,0.106572,1,10.1949,9.14117,19.3361,0.663943,1000.03,998.861,0.663943,0.115612,0.659766,0.775378,0.0475812,0.502451,0,0.663943,0,0.663449,0.553029,0.15449,0.075489,0.0224433,1,0,0,1,1,0,0,0.663449,0.143268,0.0642674,0,0.106572
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","Not Litigated",0.6001,0,0.6001,0.5,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.263659,0.263659,0,0.121223,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","Settles",0.2653,0,0.265313,0.5,1,1,1,1,0.482505,0.623553,,,1,,,,,0,0,0,,10.253,9.14697,19.4,0.6,1000.07,999.124,0.6,0.054734,0.607494,0.662228,0.0110571,0.391818,0,0.6,0,1,0.553029,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","Tried",0.0426,0,0.0426181,0.5,1,1,1,1,0.651718,0.376581,,,0,,,,,0,0,1,1,10.1925,8.60745,18.8,1.2,999.934,996.635,1.2,0.51649,0.733356,1.24985,0.301265,0.669019,0,1.2,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.0491","0.9985","7","PWins",0.0426,0,0.0426181,0.5,1,1,1,1,0.651718,0.376581,,,0,,,,,0,0,1,1,10.1925,8.60745,18.8,1.2,999.934,996.635,1.2,0.51649,0.733356,1.24985,0.301265,0.669019,0,1.2,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
