"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","All",1,0,1,0.5,0.60009,0.60009,1,1,0.561211,0.594685,,,0.525763,,,,,0.0582088,0.00375315,0.012365,1,10.1464,9.48613,19.6325,0.367473,1000.03,999.444,0.367473,0.082609,0.353676,0.436285,0.0253625,0.181213,0,0.367473,0,0.525763,0.608889,0.0582088,0.00375315,0,1,0,0,0.60009,0.60009,0.39991,0,0.525763,0.0582088,0.00375315,0,0.0123651
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","DisputeArises",1,0,1,0.5,0.60009,0.60009,1,1,0.561211,0.594685,,,0.525763,,,,,0.0582088,0.00375315,0.012365,1,10.1464,9.48613,19.6325,0.367473,1000.03,999.444,0.367473,0.082609,0.353676,0.436285,0.0253625,0.181213,0,0.367473,0,0.525763,0.608889,0.0582088,0.00375315,0,1,0,0,0.60009,0.60009,0.39991,0,0.525763,0.0582088,0.00375315,0,0.0123651
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","PFiles",0.6001,0,0.60009,0.5,1,1,1,1,0.561211,0.594685,,,0.87614,,,,,0.0970001,0.00625431,0.020605,1,10.244,9.14368,19.3876,0.612363,1000.06,999.074,0.612363,0.137661,0.492509,0.63017,0.0422645,0.270982,0,0.612363,0,0.87614,0.608889,0.0970001,0.00625431,0,1,0,0,1,1,0,0,0.87614,0.0970001,0.00625431,0,0.0206054
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","DAnswers",0.6001,0,0.60009,0.5,1,1,1,1,0.561211,0.594685,,,0.87614,,,,,0.0970001,0.00625431,0.020605,1,10.244,9.14368,19.3876,0.612363,1000.06,999.074,0.612363,0.137661,0.492509,0.63017,0.0422645,0.270982,0,0.612363,0,0.87614,0.608889,0.0970001,0.00625431,0,1,0,0,1,1,0,0,0.87614,0.0970001,0.00625431,0,0.0206054
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","Litigated",0.6001,0,0.60009,0.5,1,1,1,1,0.561211,0.594685,,,0.87614,,,,,0.0970001,0.00625431,0.020605,1,10.244,9.14368,19.3876,0.612363,1000.06,999.074,0.612363,0.137661,0.492509,0.63017,0.0422645,0.270982,0,0.612363,0,0.87614,0.608889,0.0970001,0.00625431,0,1,0,0,1,1,0,0,0.87614,0.0970001,0.00625431,0,0.0206054
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","Not Litigated",0.3999,0,0.39991,0.5,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.145348,0.145348,0,0.0465091,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","Settles",0.5258,0,0.525763,0.5,1,1,1,1,0.568398,0.649381,,,1,,,,,0,0,0,,10.3089,9.09111,19.4,0.6,1000.08,999.022,0.6,0.13746,0.469631,0.607091,0.0369013,0.241165,0,0.6,0,1,0.608889,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","Tried",0.0124,0,0.0123651,0.5,1,1,1,1,0.543676,0.267643,,,0,,,,,0,0,1,1,9.90534,8.89466,18.8,1.2,999.856,998.065,1.2,0.549745,0.687997,1.23774,0.375268,0.598681,0,1.2,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Fee Rule Rule 68 Damages Dispute","0.05223","0.9948","3","PWins",0.0124,0,0.0123651,0.5,1,1,1,1,0.543676,0.267643,,,0,,,,,0,0,1,1,9.90534,8.89466,18.8,1.2,999.856,998.065,1.2,0.549745,0.687997,1.23774,0.375268,0.598681,0,1.2,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
