Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.04622437264356589,0.37714099944229396
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.37612191343545265,0.045224100877820736
Settles,False Negatives,Values,1.05,0.95,0.85,0.75,0.65,0.55,0.45000000000000007,0.35,0.25,0
Settles,False Negatives,Probabilities,0.002298943070971102,0.002325468370880427,0.005227650515792266,0.0031686769859541677,0.004671302433590211,0.0032424260849318555,0.004902778107642,0.001751383094432455,0.001643499789164937,0.029295334312199807
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.020308416120184677,0.02202976930843596
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.021349256944574,0.019599787656868907
P Loses,False Negatives,Values,1.75,0
P Loses,False Negatives,Probabilities,0.0030113347922207886,0.0036855801293619074
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0030249076699939447,0.003752098213668462
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.37714099944229396,0.04622437264356589
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.045224100877820736,0.37612191343545265
Settles,False Positives,Values,1.05,0.9500000000000001,0.85,0.75,0.65,0.55,0.5499999999999999,0.44999999999999996,0.35,0.25,0.050000000000000044,0
Settles,False Positives,Probabilities,0.0014288300945084426,0.0017513830979502584,0.004902778117489651,0.0032424260914445465,0.004671302442972923,0.0018629864698833985,0.0013056905224353287,0.005227650526292451,0.0023254683755513294,0.002576818573671486,0.001643499789164937,0.027588628664194478
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.02202976930843596,0.020308416120184677
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.019599787656868907,0.021349256944574
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0036855801293619074,0.0030113347922207886
P Wins,False Positives,Values,1.75,0.75
P Wins,False Positives,Probabilities,0.0030249076699939447,0.003752098213668462
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.37714099944229396,0.04622437264356589
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.045224100877820736,0.37612191343545265
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.017859706314249216,0.018074375975902886,0.002576818573671486,0.002298943070971102,0.008858809424279107,0.008858809406485429
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.02202976930843596,0.020308416120184677
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.019599787656868907,0.021349256944574
P Loses,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Loses,Total Expenditures,Probabilities,0.0036855801293619074,0.0030113347922207886
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.0030249076699939447,0.003752098213668462
