"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","All",1,0,1,0.499999,1,1,1,1,0.525375,0.481182,,,0.914713,,,,,0.0163803,0.0166438,0.046438,0.498791,10.424,9.41904,19.843,0.156966,1000.07,999.35,0.156966,0.164877,0.1561,0.320977,0.108075,0.102681,0,0.156966,0,0.914713,0.502665,0.019293,0.0195566,0.00582555,0.5,0,-3.36759E-06,1,1,0,0,0.914713,0.0163803,0.0166438,0.023275,0.0231628
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","DisputeArises",1,0,1,0.499999,1,1,1,1,0.525375,0.481182,,,0.914713,,,,,0.0163803,0.0166438,0.046438,0.498791,10.424,9.41904,19.843,0.156966,1000.07,999.35,0.156966,0.164877,0.1561,0.320977,0.108075,0.102681,0,0.156966,0,0.914713,0.502665,0.019293,0.0195566,0.00582555,0.5,0,-3.36759E-06,1,1,0,0,0.914713,0.0163803,0.0166438,0.023275,0.0231628
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","PFiles",1,0,1,0.499999,1,1,1,1,0.525375,0.481182,,,0.914713,,,,,0.0163803,0.0166438,0.046438,0.498791,10.424,9.41904,19.843,0.156966,1000.07,999.35,0.156966,0.164877,0.1561,0.320977,0.108075,0.102681,0,0.156966,0,0.914713,0.502665,0.019293,0.0195566,0.00582555,0.5,0,-3.36759E-06,1,1,0,0,0.914713,0.0163803,0.0166438,0.023275,0.0231628
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","DAnswers",1,0,1,0.499999,1,1,1,1,0.525375,0.481182,,,0.914713,,,,,0.0163803,0.0166438,0.046438,0.498791,10.424,9.41904,19.843,0.156966,1000.07,999.35,0.156966,0.164877,0.1561,0.320977,0.108075,0.102681,0,0.156966,0,0.914713,0.502665,0.019293,0.0195566,0.00582555,0.5,0,-3.36759E-06,1,1,0,0,0.914713,0.0163803,0.0166438,0.023275,0.0231628
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","Litigated",1,0,1,0.499999,1,1,1,1,0.525375,0.481182,,,0.914713,,,,,0.0163803,0.0166438,0.046438,0.498791,10.424,9.41904,19.843,0.156966,1000.07,999.35,0.156966,0.164877,0.1561,0.320977,0.108075,0.102681,0,0.156966,0,0.914713,0.502665,0.019293,0.0195566,0.00582555,0.5,0,-3.36759E-06,1,1,0,0,0.914713,0.0163803,0.0166438,0.023275,0.0231628
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","Settles",0.9147,0,0.914713,0.50003,1,1,1,1,0.492887,0.512442,,,1,,,,,0,0,0,,10.4277,9.42234,19.85,0.15,1000.08,999.4,0.15,0.14414,0.141532,0.285672,0.0782743,0.07529,0,0.15,0,1,0.502665,0,0,0,0.50005,0,-0.0123769,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","Tried",0.0464,0,0.0464378,0.499517,1,1,1,1,0.871627,0.150373,,,0,,,,,0,0,1,0.498791,10.3481,9.35193,19.7,0.3,999.947,998.426,0.3,0.458896,0.340532,0.799428,0.546441,0.493771,0,0.3,0,0,,0,0,0,0.499201,0,0.176614,1,1,0,0,0,0,0,0.501209,0.498791
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 0.25,0.25","0.0001522","1.127","2","PWins",0.0232,0,0.0231628,0.518144,1,1,1,1,0.873226,0.153087,,,0,,,,,0,0,1,1,11.15,8.55,19.7,0.3,1000.17,996.796,0.3,0.920016,0,0.920016,1.09553,0,0,0.3,0,0,,0,0,0,0.529984,0,0.174578,1,1,0,0,0,0,0,0,1
