"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","All",1,0,1,0.499999,0.597859,0.0721254,1,1,0.312147,0.300324,,,0.0654663,,,,,0.00178169,0.00474584,3.174E-5,0.293726,10.1915,9.40649,19.598,0.402029,1000.04,999.288,0.402029,0.136904,0.338484,0.475388,0.134685,0.248476,0,0.402029,0,0.0654663,0.300731,0.0018316,0.00479575,9.98172E-05,0.5,0,-3.36759E-06,0.597859,0.0721254,0.402141,0.525734,0.0654663,0.00178169,0.00474584,2.24195E-5,9.3238E-6
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","DisputeArises",1,0,1,0.499999,0.597859,0.0721254,1,1,0.312147,0.300324,,,0.0654663,,,,,0.00178169,0.00474584,3.174E-5,0.293726,10.1915,9.40649,19.598,0.402029,1000.04,999.288,0.402029,0.136904,0.338484,0.475388,0.134685,0.248476,0,0.402029,0,0.0654663,0.300731,0.0018316,0.00479575,9.98172E-05,0.5,0,-3.36759E-06,0.597859,0.0721254,0.402141,0.525734,0.0654663,0.00178169,0.00474584,2.24195E-5,9.3238E-6
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PFiles",0.5979,0,0.597859,0.708857,1,0.120639,1,1,0.312147,0.300324,,,0.109501,,,,,0.00298012,0.00793806,5.309E-5,0.293726,10.3203,9.00728,19.3276,0.672447,1000.07,998.809,0.672447,0.22899,0.499106,0.728097,0.225278,0.348556,0,0.672447,0,0.109501,0.300731,0.0030636,0.00802154,0.000166958,0.769262,0,0.0137603,1,0.120639,0,0.879361,0.109501,0.00298012,0.00793806,3.74996E-5,1.5595E-5
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","DAnswers",0.0721,0,0.0721254,0.489485,1,1,1,1,0.312147,0.300324,,,0.907673,,,,,0.0247027,0.0657998,0.00044,0.293726,9.7391,9.06037,18.7995,1.20053,999.849,998.816,1.20053,0.501859,0.601444,1.1033,0.471089,0.767797,0,1.20053,0,0.907673,0.300731,0.0253947,0.0664918,0.00138394,0.483656,0,0.0824649,1,1,0,0,0.907673,0.0247027,0.0657998,0.00031084,0.0001293
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Litigated",0.0721,0,0.0721254,0.489485,1,1,1,1,0.312147,0.300324,,,0.907673,,,,,0.0247027,0.0657998,0.00044,0.293726,9.7391,9.06037,18.7995,1.20053,999.849,998.816,1.20053,0.501859,0.601444,1.1033,0.471089,0.767797,0,1.20053,0,0.907673,0.300731,0.0253947,0.0664918,0.00138394,0.483656,0,0.0824649,1,1,0,0,0.907673,0.0247027,0.0657998,0.00031084,0.0001293
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Not Litigated",0.9279,0,0.927875,0.500817,0.5666,0,1,1,,,,,0,,,,,0,0,0,,10.2266,9.4334,19.66,0.33996,1000.06,999.325,0.33996,0.108535,0.318044,0.426579,0.108535,0.208108,0,0.33996,0,0,,0,0,0,0.50127,0,-0.00641378,0.5666,0,0.4334,0.5666,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Settles",0.0655,0,0.0654663,0.488085,1,1,1,1,0.295565,0.305897,,,1,,,,,0,0,0,,9.70073,9.09927,18.8,1.2,999.846,999.053,1.2,0.467637,0.624767,1.0924,0.422068,0.811842,0,1.2,0,1,0.300731,0,0,0,0.480953,0,0.0220155,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Tried",3.2E-5,0,3.17433E-05,0.417485,1,1,1,1,0.5,0.1,,,0,,,,,0,0,1,0.293726,8.59867,9.00133,17.6,2.4,984.167,950.851,2.4,0.85181,0.737055,1.58886,2.54369,2.50599,0,2.4,0,0,,0,0,0,0.36364,0,1.3645,1,1,0,0,0,0,0,0.706274,0.293726
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PWins",9.3E-6,0,9.32383E-06,0.499992,1,1,1,1,0.5,0.1,,,0,,,,,0,0,1,1,11,6.6,17.6,2.4,1000.16,832.672,2.4,2.90001,0,2.90001,8.66008,0,0,2.4,0,0,,0,0,0,0.499986,0,1.49369,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","DWins",2.2E-5,0,2.24195E-05,0.383172,1,1,1,1,0.5,0.1,,,0,,,,,0,0,1,0,7.6,10,17.6,2.4,977.516,1000,2.4,0,1.04358,1.04358,0,3.54818,0,2.4,0,0,,0,0,0,0.306936,0,1.31078,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Abandoned",0.0066,0,0.00662735,0.503655,1,1,1,1,0.475045,0.246232,,,0,,,,,0.268839,0.716099,0,,10.1236,8.67637,18.8,1.2,999.955,996.703,1.2,0.838231,0.370403,1.20863,0.945395,0.324388,0,1.2,0,0,,0.27637,0.72363,0.0150614,0.510936,0,0.673456,1,1,0,0,0,0.268839,0.716099,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","Rounds1",0.072,0,0.0720256,0.489617,1,1,1,1,0.311886,0.300324,,,0.908931,,,,,0.0247369,0.065891,0.000441,0.293726,9.73888,9.06059,18.7995,1.20053,999.849,998.818,1.20053,0.501389,0.601783,1.10317,0.470293,0.768205,0,1.20053,0,0.908931,0.300731,0.0247369,0.065891,0,0.483877,0,0.0839651,1,1,0,0,0.908931,0.0247369,0.065891,0.00031127,0.0001295
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.25,0.25","0.07517","0.9656","15","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
