Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.049882553998013286,0.38079913244161867
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.3800642725021799,0.04914958659900734
Settles,False Negatives,Values,1.05,0.95,0.85,0.75,0.65,0.45000000000000007,0.25,0
Settles,False Negatives,Probabilities,0.01054809967547116,0.0048892466739774475,0.0164616821166777,0.001780530914617396,0.00224121436037469,0.0026619281807222276,0.006718410122053506,0.04558547790555003
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.0141992611453303,0.015706391167220023
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.007912835001956602,0.006514518013879928
P Loses,False Negatives,Values,1.75,0
P Loses,False Negatives,Probabilities,0.0008542513660902932,0.001290088369392325
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0009552849003069158,0.0017852345455614423
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.38079913244161867,0.049882553998013286
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.04914958659900734,0.3800642725021799
Settles,False Positives,Values,1.05,0.85,0.65,0.55,0.44999999999999996,0.35,0.25,0.050000000000000044,0
Settles,False Positives,Probabilities,0.006397212705755633,0.002661928186068939,0.002241214364876362,0.0017805309181937452,0.016461682149742408,0.00488924668379792,0.011153662897115037,0.006718410122053506,0.03858270192184063
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.015706391167220023,0.0141992611453303
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.006514518013879928,0.007912835001956602
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.001290088369392325,0.0008542513660902932
P Wins,False Positives,Values,1.75,0.75
P Wins,False Positives,Probabilities,0.0009552849003069158,0.0017852345455614423
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.38079913244161867,0.049882553998013286
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.04914958659900734,0.3800642725021799
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.01308088617489468,0.013402083577767824,0.011153662897115037,0.01054809967547116,0.021350928833540325,0.02135092879065515
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.015706391167220023,0.0141992611453303
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.006514518013879928,0.007912835001956602
P Loses,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Loses,Total Expenditures,Probabilities,0.001290088369392325,0.0008542513660902932
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.0009552849003069158,0.0017852345455614423
