Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.04244731934625988,0.3733639960714015
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.396913941608939,0.06519148793674731
Settles,False Negatives,Values,1.2,1,0.9,0.8,0.6000000000000001,0
Settles,False Negatives,Probabilities,0.0006006311563638271,0.022514512548743953,5.205942247258069E-05,0.022514512548743947,0.00038983037942831117,0.046207889045932524
P Abandons,False Negatives,Values,1.3,0
P Abandons,False Negatives,Probabilities,0.0022862928474658515,0.003191615541143376
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.0015834212237264742,0.0011342795071648737
P Loses,False Negatives,Values,1.9,0
P Loses,False Negatives,Probabilities,0.0046038999660890775,0.006362226009105758
P Wins,False Negatives,Values,0.30000000000000004,0
P Wins,False Negatives,Probabilities,0.006093099554792555,0.0045489852854796176
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.3733639960714015,0.04244731934625988
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.06519148793674731,0.396913941608939
Settles,False Positives,Values,1,0.8,0.7,0.6,0.4,0
Settles,False Positives,Probabilities,0.0003898303802113189,0.02251451259396628,5.205942257714652E-05,0.022514512593966286,0.0007369740552114899,0.04607154605575261
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.003191615541143376,0.0022862928474658515
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.0011342795071648737,0.0015834212237264742
P Loses,False Positives,Values,0.3,0
P Loses,False Positives,Probabilities,0.006362226009105758,0.0046038999660890775
P Wins,False Positives,Values,1.9,0.8999999999999999
P Wins,False Positives,Probabilities,0.0045489852854796176,0.006093099554792555
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.3733639960714015,0.04244731934625988
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.06519148793674731,0.396913941608939
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6
Settles,Total Expenditures,Probabilities,0.022904342974177597,0.02290434292817226,0.023303546071754923,0.02316720312758036
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0.003191615541143376,0.0022862928474658515
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.0011342795071648737,0.0015834212237264742
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.006362226009105758,0.0046038999660890775
P Wins,Total Expenditures,Values,1.2,1.2
P Wins,Total Expenditures,Probabilities,0.0045489852854796176,0.006093099554792555
