Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.08432579364321088,0.39455958944096586
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.4086643775855448,0.09809935647736247
Settles,False Negatives,Values,1.5,1.3,0
Settles,False Negatives,Probabilities,0.0026044610976865713,0.0017714398290233763,0.0053651586825559545
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0007668456560460716,0.0008332438283108972
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0006133483244470343,0.0003990105916894642
P Loses,False Negatives,Values,2.2,0
P Loses,False Negatives,Probabilities,0.0002636994645402243,0.0003499008250817788
P Wins,False Negatives,Values,1.2,0
P Wins,False Negatives,Probabilities,0.0009895550025266241,0.00039421955100802405
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.39455958944096586,0.08432579364321088
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.09809935647736247,0.4086643775855448
Settles,False Positives,Values,0.8999999999999999,0.7,0
Settles,False Positives,Probabilities,0.0025586133596901916,0.0028065453228657616,0.004375900926709945
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.0008332438283108972,0.0007668456560460716
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0003990105916894642,0.0006133483244470343
P Loses,False Positives,Values,1.2,0.19999999999999996
P Loses,False Positives,Probabilities,0.0003499008250817788,0.0002636994645402243
P Wins,False Positives,Values,2.2,1.2000000000000002
P Wins,False Positives,Probabilities,0.00039421955100802405,0.0009895550025266241
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.39455958944096586,0.08432579364321088
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.09809935647736247,0.4086643775855448
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.0053651586825559545,0.004375900926709945
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.0008332438283108972,0.0007668456560460716
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0003990105916894642,0.0006133483244470343
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.0003499008250817788,0.0002636994645402243
P Wins,Total Expenditures,Values,2.4000000000000004,2.4000000000000004
P Wins,Total Expenditures,Probabilities,0.00039421955100802405,0.0009895550025266241
