Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.07111228499676725,0.40202858281835085
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.40854556030879485,0.07672255713234191
Settles,False Negatives,Values,1.3,0
Settles,False Negatives,Probabilities,0.016844465294071867,0.016844465327905428
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.001670825216130673,0.003514102480367138
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0017834908838878746,0.0008478777345503955
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,2.1446892857580386E-05,2.144701060111612E-05
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,2.1447010515135935E-05,2.144689285776289E-05
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.40202858281835085,0.07111228499676725
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.07672255713234191,0.40854556030879485
Settles,False Positives,Values,0.8999999999999999,0
Settles,False Positives,Probabilities,0.016844465327905428,0.016844465294071867
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.003514102480367138,0.001670825216130673
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0008478777345503955,0.0017834908838878746
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,2.144701060111612E-05,2.1446892857580386E-05
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,2.144689285776289E-05,2.1447010515135935E-05
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.40202858281835085,0.07111228499676725
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.07672255713234191,0.40854556030879485
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.016844465327905428,0.016844465294071867
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.003514102480367138,0.001670825216130673
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0008478777345503955,0.0017834908838878746
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,2.144701060111612E-05,2.1446892857580386E-05
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,2.144689285776289E-05,2.1447010515135935E-05
