Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.14890483656710765,0.2795601210693248
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,1.05,0.85,0.65,0
Settles,False Negatives,Probabilities,0.09809413204028723,0.12615729134977738,0.062788358723511,0.17781690653732793
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.030061679625549637,0.030299786610723262
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.025131851176355843,0.0026361822478087413
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.002306442164351394,0.007357287161358378
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0023307075684573597,0.00655441715806034
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.2795601210693248,0.14890483656710765
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.65,0.44999999999999996,0.25,0
Settles,False Positives,Probabilities,0.005363287563824187,0.013076415244580407,0.15937720372892333,0.2870397821135757
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.030299786610723262,0.030061679625549637
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.0026361822478087413,0.025131851176355843
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.007357287161358378,0.002306442164351394
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.0023307075684573597,0.00655441715806034
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.2795601210693248,0.14890483656710765
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.005363287563824187,0.062788358723511,0.15937720372892333,0.09809413204028723,0.013076415244580407,0.12615729134977738
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.030299786610723262,0.030061679625549637
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.0026361822478087413,0.025131851176355843
P Loses,Total Expenditures,Values,0.6,0.6
P Loses,Total Expenditures,Probabilities,0.007357287161358378,0.002306442164351394
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.0023307075684573597,0.00655441715806034
