"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","All",1,0,1,0.500004,1,0.825169,1,1,0.567571,0.524701,,,0.649511,,,,,0.0215562,0.0113614,0.141327,0.718231,10.48,9.2038,19.6838,0.316174,1000.09,999.027,0.316174,0.331548,0.158348,0.489897,0.246556,0.085477,0,0.316174,0,0.649511,0.558614,0.0222632,0.0120685,0.00141414,0.500004,0,1.79226E-05,1,0.825169,0,0.174831,0.649511,0.0215562,0.0113614,0.0398215,0.101505
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","DisputeArises",1,0,1,0.500004,1,0.825169,1,1,0.567571,0.524701,,,0.649511,,,,,0.0215562,0.0113614,0.141327,0.718231,10.48,9.2038,19.6838,0.316174,1000.09,999.027,0.316174,0.331548,0.158348,0.489897,0.246556,0.085477,0,0.316174,0,0.649511,0.558614,0.0222632,0.0120685,0.00141414,0.500004,0,1.79226E-05,1,0.825169,0,0.174831,0.649511,0.0215562,0.0113614,0.0398215,0.101505
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","PFiles",1,0,1,0.500004,1,0.825169,1,1,0.567571,0.524701,,,0.649511,,,,,0.0215562,0.0113614,0.141327,0.718231,10.48,9.2038,19.6838,0.316174,1000.09,999.027,0.316174,0.331548,0.158348,0.489897,0.246556,0.085477,0,0.316174,0,0.649511,0.558614,0.0222632,0.0120685,0.00141414,0.500004,0,1.79226E-05,1,0.825169,0,0.174831,0.649511,0.0215562,0.0113614,0.0398215,0.101505
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","DAnswers",0.8252,0,0.825169,0.461454,1,1,1,1,0.567571,0.524701,,,0.787124,,,,,0.0261233,0.0137686,0.17127,0.718231,10.4016,9.24697,19.6486,0.351381,1000.07,999.073,0.351381,0.343641,0.16884,0.512481,0.240641,0.100129,0,0.351381,0,0.787124,0.558614,0.0269802,0.0146255,0.00171376,0.452223,0,0.246172,1,1,0,0,0.787124,0.0261233,0.0137686,0.0482586,0.123012
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Litigated",0.8252,0,0.825169,0.461454,1,1,1,1,0.567571,0.524701,,,0.787124,,,,,0.0261233,0.0137686,0.17127,0.718231,10.4016,9.24697,19.6486,0.351381,1000.07,999.073,0.351381,0.343641,0.16884,0.512481,0.240641,0.100129,0,0.351381,0,0.787124,0.558614,0.0269802,0.0146255,0.00171376,0.452223,0,0.246172,1,1,0,0,0.787124,0.0261233,0.0137686,0.0482586,0.123012
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Not Litigated",0.1748,0,0.174831,0.681953,1,0,1,1,,,,,0,,,,,0,0,0,,10.85,9,19.85,0.15,1000.15,998.808,0.15,0.274474,0.108829,0.383303,0.274474,0.0163243,0,0.15,0,0,,0,0,0,0.725526,0,-1.16178,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Settles",0.6495,0,0.649511,0.427058,1,1,1,1,0.477667,0.639561,,,1,,,,,0,0,0,,10.4086,9.29139,19.7,0.3,1000.08,999.229,0.3,0.332535,0.137928,0.470463,0.226891,0.0678654,0,0.3,0,1,0.558614,0,0,0,0.408908,0,-0.216931,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Tried",0.1413,0,0.141327,0.635681,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.718231,10.4182,8.98177,19.4,0.6,1000.06,998.287,0.6,0.417476,0.312982,0.730458,0.32075,0.236525,0,0.6,0,0,,0,0,0,0.677557,0,2.20641,1,1,0,0,0,0,0,0.281769,0.718231
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","PWins",0.1015,0,0.101505,0.715429,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.7,8.7,19.4,0.6,1000.14,997.675,0.6,0.50939,0.237183,0.746573,0.425023,0.0711549,0,0.6,0,0,,0,0,0,0.79061,0,2.44181,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","DWins",0.0398,0,0.0398215,0.432402,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.7,9.7,19.4,0.6,999.847,999.847,0.6,0.183186,0.506195,0.689381,0.0549557,0.658054,0,0.6,0,0,,0,0,0,0.389381,0,1.60638,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Abandoned",0.0343,0,0.0343317,0.394967,1,1,1,1,0.9,0.1,,,0,,,,,0.627879,0.33093,0,,10.2015,9.49847,19.7,0.3,1000.01,999.369,0.3,0.249808,0.160296,0.410103,0.170997,0.149027,0,0.3,0,0,,0.648474,0.351526,0.0411905,0.344097,0,0.938113,1,1,0,0,0,0.627879,0.33093,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,2","3.14E-06","0.4993","1","Rounds1",0.8238,0,0.823755,0.461774,1,1,1,1,0.567001,0.52543,,,0.788475,,,,,0.0261682,0.0137922,0.171564,0.718231,10.4017,9.2468,19.6485,0.351469,1000.07,999.073,0.351469,0.343288,0.168934,0.512222,0.240098,0.100098,0,0.351469,0,0.788475,0.558614,0.0261682,0.0137922,0,0.452698,0,0.246594,1,1,0,0,0.788475,0.0261682,0.0137922,0.0483414,0.123223
