Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.45981743301949707,0.4380339282471717
Settles,False Negatives,Values,0.45000000000000007,0.35,0.25,0
Settles,False Negatives,Probabilities,0.0051878648052417,0.005533767794495871,0.013281851001597362,0.039407864348665195
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.0039615582526964606,0.020316880663970256
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.008185526060067713,0.0014133577399323082
P Loses,False Negatives,Values,1.75,0
P Loses,False Negatives,Probabilities,0.0002165683308859381,0.00018718567298223372
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0006363116101326305,0.0038199024526658736
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.4380339282471717,0.45981743301949707
Settles,False Positives,Values,1.05,0.9500000000000001,0.85,0.050000000000000044,0
Settles,False Positives,Probabilities,0.0019489814817360033,0.01686632890550418,0.020592553961425022,0.013281851001597362,0.010721632599737572
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.020316880663970256,0.0039615582526964606
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.0014133577399323082,0.008185526060067713
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.00018718567298223372,0.0002165683308859381
P Wins,False Positives,Values,1.75,0.75
P Wins,False Positives,Probabilities,0.0006363116101326305,0.0038199024526658736
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.4380339282471717,0.45981743301949707
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
Settles,Total Expenditures,Probabilities,0.039407864348665195,0.024003483601334936
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.020316880663970256,0.0039615582526964606
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.0014133577399323082,0.008185526060067713
P Loses,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Loses,Total Expenditures,Probabilities,0.00018718567298223372,0.0002165683308859381
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.0006363116101326305,0.0038199024526658736
