Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.013902432149841291,0.0280676566725287
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.47135464139695826,0.4429725427229211
Settles,False Negatives,Values,1.5,1.4,1.3,1.2,1.1,1,0.9,0.7999999999999999,0.7,0
Settles,False Negatives,Probabilities,0.00035644512343421244,0.0002328800198310009,0.0003724522962470787,0.0003725249150369944,0.0008015617022900708,0.0005687355377776035,0.0015515304058888145,0.0011236034431057222,0.0007421424997858079,0.013305275194177308
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0004897516769549181,0.0016559996280509448
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0038446177947857626,0.006638611262537617
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,0.001741659662885862,0.004864818936847043
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.0025453990887408765,0.00249471786936963
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.0280676566725287,0.013902432149841291
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.4429725427229211,0.47135464139695826
Settles,False Positives,Values,1.5,1.4,1.2999999999999998,1.2,1.1,1,0.8999999999999999,0.8,0.7,0.5,0.3999999999999999,0.2999999999999998,0.19999999999999996,0.10000000000000009,0
Settles,False Positives,Probabilities,0.0011443384137067548,0.0019273571710669059,0.003198702040343844,0.0016825259829973873,0.0022008956698893805,0.0009284817559859533,0.0009283628908384846,0.00051876123175514,0.0007758500375934826,0.0007421424997858079,0.0011236034431057222,0.0015515304058888145,0.0005687355377776035,0.0008015617022900708,0.0013343023545492885
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.0016559996280509448,0.0004897516769549181
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.006638611262537617,0.0038446177947857626
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.004864818936847043,0.001741659662885862
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,0.00249471786936963,0.0025453990887408765
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.0280676566725287,0.013902432149841291
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.4429725427229211,0.47135464139695826
Settles,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2,1.1999999999999997,1.1999999999999997
Settles,Total Expenditures,Probabilities,0.0022008956698893805,0.0008015617022900708,0.005978320312877212,0.0026451803921126974,0.005126059211410753,0.0026751338489945375
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.0016559996280509448,0.0004897516769549181
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.006638611262537617,0.0038446177947857626
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.004864818936847043,0.001741659662885862
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,0.00249471786936963,0.0025453990887408765
