"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","All",1,0,1,0.499999,1,0.579545,1,1,0.633574,0.490675,,,0.257999,,,,,0,0.0686423,0.252904,0.500324,10.3852,8.98919,19.3744,0.625606,10.3852,8.98919,0.625606,0.5895,0.296245,0.885745,0.751062,0.377779,0,0.625606,0,0.257999,0.563353,0,0.0686423,0,0.499999,0,-5.093E-05,1,0.579545,0,0.420455,0.257999,0,0.0686423,0.12637,0.126534
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","DisputeArises",1,0,1,0.499999,1,0.579545,1,1,0.633574,0.490675,,,0.257999,,,,,0,0.0686423,0.252904,0.500324,10.3852,8.98919,19.3744,0.625606,10.3852,8.98919,0.625606,0.5895,0.296245,0.885745,0.751062,0.377779,0,0.625606,0,0.257999,0.563353,0,0.0686423,0,0.499999,0,-5.093E-05,1,0.579545,0,0.420455,0.257999,0,0.0686423,0.12637,0.126534
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PFiles",1,0,1,0.499999,1,0.579545,1,1,0.633574,0.490675,,,0.257999,,,,,0,0.0686423,0.252904,0.500324,10.3852,8.98919,19.3744,0.625606,10.3852,8.98919,0.625606,0.5895,0.296245,0.885745,0.751062,0.377779,0,0.625606,0,0.257999,0.563353,0,0.0686423,0,0.499999,0,-5.093E-05,1,0.579545,0,0.420455,0.257999,0,0.0686423,0.12637,0.126534
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","DAnswers",0.5795,0,0.579545,0.499999,1,1,1,1,0.633574,0.490675,,,0.445176,,,,,0,0.118442,0.436383,0.500324,10.1568,8.98135,19.1382,0.86183,10.1568,8.98135,0.86183,0.654431,0.402344,1.05677,0.933204,0.619208,0,0.86183,0,0.445176,0.563353,0,0.118442,0,0.499999,0,-5.093E-05,1,1,0,0,0.445176,0,0.118442,0.21805,0.218333
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Litigated",0.5795,0,0.579545,0.499999,1,1,1,1,0.633574,0.490675,,,0.445176,,,,,0,0.118442,0.436383,0.500324,10.1568,8.98135,19.1382,0.86183,10.1568,8.98135,0.86183,0.654431,0.402344,1.05677,0.933204,0.619208,0,0.86183,0,0.445176,0.563353,0,0.118442,0,0.499999,0,-5.093E-05,1,1,0,0,0.445176,0,0.118442,0.21805,0.218333
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Not Litigated",0.4205,0,0.420455,0.499999,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,19.7,0.3,10.7,9,0.3,0.500001,0.15,0.650001,0.500001,0.0449999,0,0.3,0,0,,0,0,0,0.499999,0,-5.093E-05,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Settles",0.258,0,0.257999,0.497922,1,1,1,1,0.483761,0.642944,,,1,,,,,0,0,0,,10.2634,9.13665,19.4,0.6,10.2634,9.13665,0.6,0.444933,0.366546,0.811478,0.39165,0.285095,0,0.6,0,1,0.563353,0,0,0,0.497428,0,-0.075933,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Tried",0.2529,0,0.252904,0.501726,1,1,1,1,0.760328,0.383065,,,0,,,,,0,0,1,0.500324,9.90071,8.89929,18.8,1.2,9.90071,8.89929,1.2,0.829126,0.507208,1.33633,1.49817,1.11586,0,1.2,0,0,,0,0,0,0.502136,0,0.0630275,1,1,0,0,0,0,0,0.499676,0.500324
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PWins",0.1265,0,0.126534,0.534595,1,1,1,1,0.760723,0.38325,,,0,,,,,0,0,1,1,11,7.8,18.8,1.2,11,7.8,1.2,1.65718,0,1.65718,2.9944,0,0,1.2,0,0,,0,0,0,0.542823,0,0.0627622,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","DWins",0.1264,0,0.12637,0.468814,1,1,1,1,0.759932,0.382881,,,0,,,,,0,0,1,0,8.8,10,18.8,1.2,8.8,10,1.2,0,1.01507,1.01507,0,2.23316,0,1.2,0,0,,0,0,0,0.461397,0,0.0632932,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Abandoned",0.0686,0,0.0686423,0.501445,1,1,1,1,0.729653,0.314826,,,0,,,,,0,1,0,,10.7,8.7,19.4,0.6,10.7,8.7,0.6,0.798212,0.150537,0.948748,0.887139,0.045161,0,0.6,0,0,,0,1,0,0.501788,0,0.0527553,1,1,0,0,0,0,1,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Rounds1",0.5795,0,0.579545,0.499999,1,1,1,1,0.633574,0.490675,,,0.445176,,,,,0,0.118442,0.436383,0.500324,10.1568,8.98135,19.1382,0.86183,10.1568,8.98135,0.86183,0.654431,0.402344,1.05677,0.933204,0.619208,0,0.86183,0,0.445176,0.563353,0,0.118442,0,0.499999,0,-5.093E-05,1,1,0,0,0.445176,0,0.118442,0.21805,0.218333
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Risk Neutral Noise 4,4","0.04245","0.9995","9","Truly Liable",0.5,0,0.499999,0.716725,1,0.579545,1,1,0.635483,0.490675,,,0.256673,,,,,0,0.0688879,0.253985,0.540864,10.4075,8.96624,19.3737,0.626255,10.4075,8.96624,0.626255,0.191146,0.59249,0.783636,0.204982,0.75556,0,0.626255,0,0.256673,0.563118,0,0.0688879,0,1,0,-5.36997E-05,1,0.579545,0,0.420455,0.256673,0,0.0688879,0.116614,0.137371
