Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.12649057476068792,0.12819832819117047
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.07142843496855751,0.0714287078885854
Settles,False Negatives,Values,1.05,0.85,0.65,0.45000000000000007,0
Settles,False Negatives,Probabilities,0.005321318733473241,0.09779773175267385,0.1201501462841838,0.07142843496855751,0.29428801297967244
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.0019758528931160114,0.0019366686652999509
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.002881494428943484,0.0019162274355622754
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0011550843063918112,0.0012018075061803663
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.001031202553627353,0.0013699716833175284
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.12819832819117047,0.12649057476068792
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.0714287078885854,0.07142843496855751
Settles,False Positives,Values,0.85,0.65,0.44999999999999996,0.25,0
Settles,False Positives,Probabilities,0.0714287078885854,0.1198233251173555,0.09727176118188252,0.005764218791848506,0.2946976317388888
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.0019366686652999509,0.0019758528931160114
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.0019162274355622754,0.002881494428943484
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0012018075061803663,0.0011550843063918112
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.001031202553627353,0.0013699716833175284
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.12819832819117047,0.12649057476068792
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.0714287078885854,0.07142843496855751
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.1912520330059411,0.19157858125274155,0.005764218791848506,0.005321318733473241,0.09727176118188252,0.09779773175267385
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.0019366686652999509,0.0019758528931160114
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.0019162274355622754,0.002881494428943484
P Loses,Total Expenditures,Values,0.6,0.6
P Loses,Total Expenditures,Probabilities,0.0012018075061803663,0.0011550843063918112
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.001031202553627353,0.0013699716833175284
