"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","All",1,0,1,0.499997,1,1,1,1,0.567604,0.432393,,,0.769638,,,,,0.0298758,0.0298772,0.166666,0.499996,10.4125,9.4125,19.825,0.175,1000.07,999.309,0.175,0.265115,0.249878,0.514993,0.225698,0.221422,0,0.175,0,0.769638,0.499998,0.0318475,0.0318488,0.00394334,0.499999,0,-8.5952E-06,1,1,0,0,0.769638,0.0298758,0.0298772,0.0833337,0.0833323
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","DisputeArises",1,0,1,0.499997,1,1,1,1,0.567604,0.432393,,,0.769638,,,,,0.0298758,0.0298772,0.166666,0.499996,10.4125,9.4125,19.825,0.175,1000.07,999.309,0.175,0.265115,0.249878,0.514993,0.225698,0.221422,0,0.175,0,0.769638,0.499998,0.0318475,0.0318488,0.00394334,0.499999,0,-8.5952E-06,1,1,0,0,0.769638,0.0298758,0.0298772,0.0833337,0.0833323
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","PFiles",1,0,1,0.499997,1,1,1,1,0.567604,0.432393,,,0.769638,,,,,0.0298758,0.0298772,0.166666,0.499996,10.4125,9.4125,19.825,0.175,1000.07,999.309,0.175,0.265115,0.249878,0.514993,0.225698,0.221422,0,0.175,0,0.769638,0.499998,0.0318475,0.0318488,0.00394334,0.499999,0,-8.5952E-06,1,1,0,0,0.769638,0.0298758,0.0298772,0.0833337,0.0833323
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","DAnswers",1,0,1,0.499997,1,1,1,1,0.567604,0.432393,,,0.769638,,,,,0.0298758,0.0298772,0.166666,0.499996,10.4125,9.4125,19.825,0.175,1000.07,999.309,0.175,0.265115,0.249878,0.514993,0.225698,0.221422,0,0.175,0,0.769638,0.499998,0.0318475,0.0318488,0.00394334,0.499999,0,-8.5952E-06,1,1,0,0,0.769638,0.0298758,0.0298772,0.0833337,0.0833323
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","Litigated",1,0,1,0.499997,1,1,1,1,0.567604,0.432393,,,0.769638,,,,,0.0298758,0.0298772,0.166666,0.499996,10.4125,9.4125,19.825,0.175,1000.07,999.309,0.175,0.265115,0.249878,0.514993,0.225698,0.221422,0,0.175,0,0.769638,0.499998,0.0318475,0.0318488,0.00394334,0.499999,0,-8.5952E-06,1,1,0,0,0.769638,0.0298758,0.0298772,0.0833337,0.0833323
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","Settles",0.7696,0,0.769638,0.499997,1,1,1,1,0.468114,0.531882,,,1,,,,,0,0,0,,10.425,9.425,19.85,0.15,1000.08,999.414,0.15,0.240525,0.240525,0.48105,0.184914,0.184915,0,0.15,0,1,0.499998,0,0,0,0.499998,0,-0.38136,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","Tried",0.1667,0,0.166666,0.499997,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.499996,10.35,9.35001,19.7,0.3,1000,998.837,0.3,0.371441,0.287878,0.659319,0.399307,0.374242,0,0.3,0,0,,0,0,0,0.499998,0,1.43465,1,1,0,0,0,0,0,0.500004,0.499996
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","-1.705E-13","-4.399E-08","0","PWins",0.0833,0,0.0833323,0.616281,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11,8.7,19.7,0.3,1000.16,997.675,0.3,0.742888,0,0.742888,0.79862,0,0,0.3,0,0,,0,0,0,0.557112,0,1.43464,1,1,0,0,0,0,0,0,1
