"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","All",1,0,1,0.326616,0.06853,0.06853,1,1,0.485331,0.279951,,,0.0377185,,,,,0.0209147,0.000885009,0.003167,0.759224,10.0103,9.96815,19.9785,0.021509,1000,999.957,0.021509,0.0162448,0.0935508,0.109796,0.013315,0.092888,0,0.021509,0,0.0377185,0.368461,0.0238372,0.00380756,0.00584509,0.0999974,0,-2.1093E-06,0.06853,0.06853,0.93147,0,0.0377185,0.0209147,0.000885009,0.00076247,0.0024042
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","DisputeArises",1,0,1,0.326616,0.06853,0.06853,1,1,0.485331,0.279951,,,0.0377185,,,,,0.0209147,0.000885009,0.003167,0.759224,10.0103,9.96815,19.9785,0.021509,1000,999.957,0.021509,0.0162448,0.0935508,0.109796,0.013315,0.092888,0,0.021509,0,0.0377185,0.368461,0.0238372,0.00380756,0.00584509,0.0999974,0,-2.1093E-06,0.06853,0.06853,0.93147,0,0.0377185,0.0209147,0.000885009,0.00076247,0.0024042
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PFiles",0.0685,0,0.06853,0.754472,1,1,1,1,0.485331,0.279951,,,0.550394,,,,,0.30519,0.0129142,0.046209,0.759224,10.1509,9.53525,19.6861,0.313863,1000.01,999.368,0.313863,0.237047,0.391787,0.628834,0.194295,0.382115,0,0.313863,0,0.550394,0.368461,0.347836,0.0555604,0.0852925,0.485856,0,1.03933,1,1,0,0,0.550394,0.30519,0.0129142,0.011126,0.035083
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","DAnswers",0.0685,0,0.06853,0.754472,1,1,1,1,0.485331,0.279951,,,0.550394,,,,,0.30519,0.0129142,0.046209,0.759224,10.1509,9.53525,19.6861,0.313863,1000.01,999.368,0.313863,0.237047,0.391787,0.628834,0.194295,0.382115,0,0.313863,0,0.550394,0.368461,0.347836,0.0555604,0.0852925,0.485856,0,1.03933,1,1,0,0,0.550394,0.30519,0.0129142,0.011126,0.035083
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Litigated",0.0685,0,0.06853,0.754472,1,1,1,1,0.485331,0.279951,,,0.550394,,,,,0.30519,0.0129142,0.046209,0.759224,10.1509,9.53525,19.6861,0.313863,1000.01,999.368,0.313863,0.237047,0.391787,0.628834,0.194295,0.382115,0,0.313863,0,0.550394,0.368461,0.347836,0.0555604,0.0852925,0.485856,0,1.03933,1,1,0,0,0.550394,0.30519,0.0129142,0.011126,0.035083
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Not Litigated",0.9315,0,0.93147,0.295138,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.071609,0.071609,0,0.071609,0,0,0,0,,0,0,0,0.071609,0,-0.0764677,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Settles",0.0377,0,0.0377185,0.777943,1,1,1,1,0.309973,0.426949,,,1,,,,,0,0,0,,10.2185,9.48154,19.7,0.3,1000.05,999.58,0.3,0.230505,0.389744,0.620249,0.14459,0.327995,0,0.3,0,1,0.368461,0,0,0,0.521307,0,0.779,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Tried",0.0032,0,0.0031667,0.693415,1,1,1,1,0.7,0.1,,,0,,,,,0,0,1,0.759224,10.7703,8.62971,19.4,0.6,999.904,993.83,0.6,1.09393,0.0835914,1.17752,1.76474,0.158824,0,0.6,0,0,,0,0,0,0.392588,0,1.73755,1,1,0,0,0,0,0,0.240776,0.759224
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PWins",0.0024,0,0.00240424,0.74407,1,1,1,1,0.7,0.1,,,0,,,,,0,0,1,1,11.3,8.1,19.4,0.6,1000.17,991.847,0.6,1.44086,0,1.44086,2.3244,0,0,0.6,0,0,,0,0,0,0.459143,0,1.60775,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","DWins",0.0008,0,0.000762466,0.533686,1,1,1,1,0.7,0.1,,,0,,,,,0,0,1,0,9.1,10.3,19.4,0.6,999.058,1000.08,0.6,0,0.347175,0.347175,0,0.659633,0,0.6,0,0,,0,0,0,0.182724,0,2.14684,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Abandoned",0.0276,0,0.0276448,0.729443,1,1,1,1,0.7,0.1,,,0,,,,,0.756551,0.0320136,0,,9.98773,9.71227,19.7,0.3,999.965,999.713,0.3,0.147816,0.429879,0.577695,0.0822185,0.481533,0,0.3,0,0,,0.862269,0.137731,0.211436,0.448171,0,1.31454,1,1,0,0,0,0.756551,0.0320136,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Rounds1",0.0627,0,0.0626849,0.746366,1,1,1,1,0.465314,0.296731,,,0.601716,,,,,0.333648,0.0141184,0.050518,0.759224,10.1323,9.55253,19.6848,0.315155,1000,999.39,0.315155,0.231831,0.390687,0.622518,0.187988,0.37881,0,0.315155,0,0.601716,0.368461,0.333648,0.0141184,0,0.473264,0,1.13624,1,1,0,0,0.601716,0.333648,0.0141184,0.0121635,0.0383543
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Truly Liable",0.1,0,0.0999974,0.716722,0.332966,0.332966,1,1,0.485331,0.317471,,,0.196635,,,,,0.0821107,0.00549517,0.012432,0.887935,10.0678,9.8286,19.8964,0.10362,1000.01,999.774,0.10362,0.0134815,0.935533,0.949014,0.00947368,0.928904,0,0.10362,0,0.196635,0.402373,0.100257,0.0236417,0.0362931,1,0,-1.46535E-05,0.332966,0.332966,0.667034,0,0.196635,0.0821107,0.00549517,0.00139324,0.0110392
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Truly Not Liable",0.9,0,0.900003,0.283272,0.0391491,0.0391491,1,1,0.485331,0.244495,,,0.0200617,,,,,0.0141153,0.000372784,0.002137,0.676035,10.004,9.98366,19.9876,0.0123859,1000,999.977,0.0123859,0.0165518,0,0.0165518,0.0137418,0,0,0.0123859,0,0.0200617,0.331531,0.0153464,0.00160382,0.00246207,0,0,-7.15541E-07,0.0391491,0.0391491,0.960851,0,0.0200617,0.0141153,0.000372784,0.00069238,0.0014448
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","AllCount",460,0,460,0.326616,31.5238,31.5238,460,460,0.485331,0.279951,,,17.3505,,,,,9.62075,0.407104,1.45668,60.7379,10.0103,9.96815,19.9785,0.021509,1000,999.957,0.021509,0.0162448,0.0935508,0.109796,0.013315,0.092888,0,0.021509,0,17.3505,0.368461,10.9651,1.75148,2.68874,45.9988,0,-2.1093E-06,31.5238,31.5238,428.476,0,17.3505,9.62075,0.407104,0.350734,1.10595
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Liability Strength1",0.3925,0,0.392544,0.1,0.0003316,0.000331562,1,1,0.485331,0.101443,,,0.000119139,,,,,0.000184464,3.89789E-09,2.793E-5,0.0328966,9.99994,9.99995,19.9999,0.000107848,1000,1000,0.000107848,5.9343E-5,0.0046045,0.00466381,1.52752E-05,0.00460485,0,0.000107848,0,0.00011914,0.103298,0.000184477,1.67698E-08,2.57438E-08,0.0046042,0,-2.30808E-06,0.00033156,0.000331562,0.999668,0,0.000119139,0.000184464,3.89789E-09,2.7011E-05,9.188E-07
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Moderately Risk Averse Truly Liable Probability 0.1","0.04034","0.9975","2","Liability Strength2",0.2908,0,0.290815,0.3,0.0064061,0.00640613,1,1,0.485331,0.112206,,,0.00237569,,,,,0.00349082,1.45513E-06,0.000529,0.169806,9.99915,9.99877,19.9979,0.0020804,999.999,999.999,0.0020804,0.0013319,0.0221921,0.0235239,0.000613582,0.022224,0,0.0020804,0,0.00237569,0.127027,0.00349563,6.26038E-06,9.6105E-06,0.0221726,0,6.51031E-07,0.00640613,0.00640613,0.993594,0,0.00237569,0.00349082,1.45513E-06,0.0004388,8.9751E-5
