Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.028391229997030913,0.5996751477649761
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.01255897487941186,0.016478603092558945
Settles,False Negatives,Values,1.2,1,0.8999999999999999,0.8,0.6000000000000001,0
Settles,False Negatives,Probabilities,0.0005214261783839113,0.005629339285557373,0.002715310555897626,0.010018032655398496,0.03177243994764453,0.24492667266206017
P Abandons,False Negatives,Values,1.3,0
P Abandons,False Negatives,Probabilities,0.0029906277745192136,0.021932465495098228
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.0027423763571610372,0.00645906835496419
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0005587491254714041,0.00545457916534371
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.0020988714791370395,0.005076085229383249
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.5996751477649761,0.028391229997030913
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.016478603092558945,0.01255897487941186
Settles,False Positives,Values,1,0.8,0.7,0.6,0.4,0
Settles,False Positives,Probabilities,0.03767044832664847,0.019813360934296583,0.015322311898587425,0.1676007635620574,0.004519787940470331,0.050656548622882006
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.021932465495098228,0.0029906277745192136
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.00645906835496419,0.0027423763571610372
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.00545457916534371,0.0005587491254714041
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.005076085229383249,0.0020988714791370395
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.5996751477649761,0.028391229997030913
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.016478603092558945,0.01255897487941186
Settles,Total Expenditures,Values,0.6000000000000001,0.6000000000000001,0.6,0.6,0.5999999999999999,0.5999999999999999
Settles,Total Expenditures,Probabilities,0.05748380926094505,0.041790472603043013,0.17212055150252772,0.006150765463941287,0.015322311898587425,0.002715310555897626
P Abandons,Total Expenditures,Values,0.6,0.6
P Abandons,Total Expenditures,Probabilities,0.021932465495098228,0.0029906277745192136
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.00645906835496419,0.0027423763571610372
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.00545457916534371,0.0005587491254714041
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.005076085229383249,0.0020988714791370395
