Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.07909702802893409,0.8435623022337211
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.01922246554787858,0.03807536355692519
Settles,False Negatives,Values,1.3,0
Settles,False Negatives,Probabilities,0.0014174341020075992,0.016017431629301502
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,6.356506176040012E-05,0.0014998841335679247
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.00019187165309635194,0.0008003190790282132
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,1.890405593551431E-06,3.0312747010398397E-05
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,3.1234363431678987E-06,1.7008384835359404E-05
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.8435623022337211,0.07909702802893409
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.03807536355692519,0.01922246554787858
Settles,False Positives,Values,0.8999999999999999,0
Settles,False Positives,Probabilities,0.016017431629301502,0.0014174341020075992
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.0014998841335679247,6.356506176040012E-05
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0008003190790282132,0.00019187165309635194
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,3.0312747010398397E-05,1.890405593551431E-06
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,1.7008384835359404E-05,3.1234363431678987E-06
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.8435623022337211,0.07909702802893409
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.03807536355692519,0.01922246554787858
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.016017431629301502,0.0014174341020075992
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.0014998841335679247,6.356506176040012E-05
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0008003190790282132,0.00019187165309635194
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,3.0312747010398397E-05,1.890405593551431E-06
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,1.7008384835359404E-05,3.1234363431678987E-06
