Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.03402605584598296,0.7765539441540162
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.062218893486970746,0.08967672731302916
Settles,False Negatives,Values,1.5,0
Settles,False Negatives,Probabilities,0.0019829784913299874,0.021617312259343987
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0005524074345235456,0.006163898109599002
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.00036534921453590277,0.0018567216826185444
P Loses,False Negatives,Values,4.6,0
P Loses,False Negatives,Probabilities,0.00021855305528001876,0.0021585757911000876
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0019754424546785908,0.0006331407069903076
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.7765539441540162,0.03402605584598296
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.08967672731302916,0.062218893486970746
Settles,False Positives,Values,0.7,0
Settles,False Positives,Probabilities,0.021617312259343987,0.0019829784913299874
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.006163898109599002,0.0005524074345235456
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0018567216826185444,0.00036534921453590277
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0021585757911000876,0.00021855305528001876
P Wins,False Positives,Values,4.6,3.5999999999999996
P Wins,False Positives,Probabilities,0.0019754424546785908,0.0006331407069903076
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.7765539441540162,0.03402605584598296
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.08967672731302916,0.062218893486970746
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.021617312259343987,0.0019829784913299874
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.006163898109599002,0.0005524074345235456
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0018567216826185444,0.00036534921453590277
P Loses,Total Expenditures,Values,2.3999999999999995,2.3999999999999995
P Loses,Total Expenditures,Probabilities,0.0021585757911000876,0.00021855305528001876
P Wins,Total Expenditures,Values,2.3999999999999995,2.3999999999999995
P Wins,Total Expenditures,Probabilities,0.0019754424546785908,0.0006331407069903076
