"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","All",1,0,1,0.673383,1,0.206472,1,1,0.373872,0.1,,,0.131759,,,,,0,0.01123,0.063483,0.52148,10.5328,9.06716,19.6,0.400031,10.5328,9.06716,0.400031,0.0936774,0.373857,0.467534,0.0779768,0.262446,0,0.400031,0,0.131759,0.1,0,0.01123,0,0.900002,0,1.42533E-05,1,0.206472,0,0.793528,0.131759,0,0.01123,0.0303778,0.033105
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DisputeArises",1,0,1,0.673383,1,0.206472,1,1,0.373872,0.1,,,0.131759,,,,,0,0.01123,0.063483,0.52148,10.5328,9.06716,19.6,0.400031,10.5328,9.06716,0.400031,0.0936774,0.373857,0.467534,0.0779768,0.262446,0,0.400031,0,0.131759,0.1,0,0.01123,0,0.900002,0,1.42533E-05,1,0.206472,0,0.793528,0.131759,0,0.01123,0.0303778,0.033105
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PFiles",1,0,1,0.673383,1,0.206472,1,1,0.373872,0.1,,,0.131759,,,,,0,0.01123,0.063483,0.52148,10.5328,9.06716,19.6,0.400031,10.5328,9.06716,0.400031,0.0936774,0.373857,0.467534,0.0779768,0.262446,0,0.400031,0,0.131759,0.1,0,0.01123,0,0.900002,0,1.42533E-05,1,0.206472,0,0.793528,0.131759,0,0.01123,0.0303778,0.033105
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DAnswers",0.2065,0,0.206472,0.373337,1,1,1,1,0.373872,0.1,,,0.638146,,,,,0,0.0543901,0.307464,0.52148,9.89026,9.32526,19.2155,0.784479,9.89026,9.32526,0.784479,0.297167,0.70467,1.00184,0.221125,0.939292,0,0.784479,0,0.638146,0.1,0,0.0543901,0,0.672222,0,0.769464,1,1,0,0,0.638146,0,0.0543901,0.147128,0.160336
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Litigated",0.2065,0,0.206472,0.373337,1,1,1,1,0.373872,0.1,,,0.638146,,,,,0,0.0543901,0.307464,0.52148,9.89026,9.32526,19.2155,0.784479,9.89026,9.32526,0.784479,0.297167,0.70467,1.00184,0.221125,0.939292,0,0.784479,0,0.638146,0.1,0,0.0543901,0,0.672222,0,0.769464,1,1,0,0,0.638146,0,0.0543901,0.147128,0.160336
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Not Litigated",0.7935,0,0.793528,0.751454,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,19.7,0.3,10.7,9,0.3,0.0407303,0.287781,0.328511,0.0407303,0.0863343,0,0.3,0,0,,0,0,0,0.95927,0,-0.200193,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Settles",0.1318,0,0.131759,0.279602,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.8,9.6,19.4,0.6,9.8,9.6,0.6,0.173336,0.679991,0.853327,0.0693346,0.815989,0,0.6,0,1,0.1,0,0,0,0.566659,0,0.157126,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Tried",0.0635,0,0.0634829,0.513375,1,1,1,1,0.853809,0.1,,,0,,,,,0,0,1,0.52148,9.93437,8.86563,18.8,1.2,9.93437,8.86563,1.2,0.544507,0.830228,1.37474,0.54469,1.34627,0,1.2,0,0,,0,0,0,0.842507,0,1.9837,1,1,0,0,0,0,0,0.47852,0.52148
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PWins",0.0331,0,0.033105,0.609519,1,1,1,1,0.866192,0.1,,,0,,,,,0,0,1,1,10.7,8.1,18.8,1.2,10.7,8.1,1.2,0.976505,0.277049,1.25355,1.02421,0.0831146,0,1.2,0,0,,0,0,0,0.923495,0,2.09328,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DWins",0.0304,0,0.0303778,0.408599,1,1,1,1,0.840314,0.1,,,0,,,,,0,0,1,0,9.1,9.7,18.8,1.2,9.1,9.7,1.2,0.0737257,1.43307,1.5068,0.0221177,2.72283,0,1.2,0,0,,0,0,0,0.754248,0,1.86428,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Abandoned",0.0112,0,0.01123,0.681494,1,1,1,1,0.874088,0.1,,,0,,,,,0,1,0,,10.7,8.7,19.4,0.6,10.7,8.7,0.6,0.351838,0.284449,0.636286,0.17294,0.0853346,0,0.6,0,0,,0,1,0,0.948162,0,1.08986,1,1,0,0,0,0,1,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Rounds1",0.2065,0,0.206472,0.373337,1,1,1,1,0.373872,0.1,,,0.638146,,,,,0,0.0543901,0.307464,0.52148,9.89026,9.32526,19.2155,0.784479,9.89026,9.32526,0.784479,0.297167,0.70467,1.00184,0.221125,0.939292,0,0.784479,0,0.638146,0.1,0,0.0543901,0,0.672222,0,0.769464,1,1,0,0,0.638146,0,0.0543901,0.147128,0.160336
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Truly Liable",0.9,0,0.900002,0.716727,1,0.154217,1,1,0.451723,0.1,,,0.0829583,,,,,0,0.011831,0.059427,0.571609,10.5846,9.03347,19.6181,0.381921,10.5846,9.03347,0.381921,0.0341216,0.415396,0.449517,0.0285798,0.291606,0,0.381921,0,0.0829583,0.1,0,0.011831,0,1,0,1.28595E-05,1,0.154217,0,0.845783,0.0829583,0,0.011831,0.0254582,0.0339692
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Truly Not Liable",0.1,0,0.0999977,0.283278,1,0.676786,1,1,0.214212,0.1,,,0.570981,,,,,0,0.00582153,0.099983,0.253317,10.0667,9.37031,19.437,0.563026,10.0667,9.37031,0.563026,0.629693,0,0.629693,0.522561,0,0,0.563026,0,0.570981,0.1,0,0.00582153,0,0,0,2.67977E-05,1,0.676786,0,0.323214,0.570981,0,0.00582153,0.074656,0.0253275
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","AllCount",440,0,440,0.673383,440,90.8478,440,440,0.373872,0.1,,,57.9742,,,,,0,4.94122,27.9325,83.4368,10.5328,9.06716,19.6,0.400031,10.5328,9.06716,0.400031,0.0936774,0.373857,0.467534,0.0779768,0.262446,0,0.400031,0,57.9742,0.1,0,4.94122,0,396.001,0,1.42533E-05,440,90.8478,0,349.152,57.9742,0,4.94122,13.3662,14.5662
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Liability Strength1",0.0597,0,0.0596782,0.1,1,0.910744,1,1,0.141289,0.1,,,0.857354,,,,,0,0.000431248,0.052959,0.0328966,9.84643,9.54857,19.395,0.604998,9.84643,9.54857,0.604998,0.328858,0.314404,0.643262,0.173572,0.389123,0,0.604998,0,0.857354,0.1,0,0.000431248,0,0.27255,0,2.62566E-05,1,0.910744,0,0.0892562,0.857354,0,0.000431248,0.0512167,0.0017422
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Liability Strength2",0.0896,0,0.0896273,0.3,1,0.691291,1,1,0.257927,0.1,,,0.540496,,,,,0,0.00474433,0.146051,0.169806,10.0196,9.38543,19.405,0.595018,10.0196,9.38543,0.595018,0.232023,0.634818,0.866841,0.19083,0.807063,0,0.595018,0,0.540496,0.1,0,0.00474433,0,0.647478,0,3.28869E-05,1,0.691291,0,0.308709,0.540496,0,0.00474433,0.12125,0.0248004
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Liability Strength3",0.1673,0,0.167337,0.5,1,0.338678,1,1,0.495806,0.1,,,0.16061,,,,,0,0.0171129,0.160955,0.5,10.4267,9.07514,19.5018,0.498177,10.4267,9.07514,0.498177,0.162294,0.515982,0.678275,0.161425,0.531094,0,0.498177,0,0.16061,0.1,0,0.0171129,0,0.9,0,2.39703E-05,1,0.338678,0,0.661322,0.16061,0,0.0171129,0.0804776,0.0804776
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Liability Strength4",0.2908,0,0.290816,0.7,1,0.0931091,1,1,0.73647,0.1,,,0.0171029,,,,,0,0.0177546,0.058252,0.830194,10.6688,8.96834,19.6371,0.362884,10.6688,8.96834,0.362884,0.070642,0.323875,0.394517,0.0645904,0.144627,0,0.362884,0,0.0171029,0.1,0,0.0177546,0,0.977827,0,1.43411E-05,1,0.0931091,0,0.906891,0.0171029,0,0.0177546,0.0098915,0.0483601
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","Liability Strength5",0.3925,0,0.392542,0.9,1,0.0163326,1,1,0.856817,0.1,,,0.000767126,,,,,0,0.00701109,0.008554,0.967103,10.6989,8.99111,19.69,0.310032,10.6989,8.99111,0.310032,0.0141502,0.299754,0.313904,0.0120201,0.0916025,0,0.310032,0,0.00076713,0.1,0,0.00701109,0,0.995396,0,3.96657E-06,1,0.0163326,0,0.983667,0.000767126,0,0.00701109,0.00028141,0.008273
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PLiabilitySignal1",0.0685,0,0.06853,0.245528,1,0.726749,1,1,0.1,0.1,,,0.726749,,,,,0,0,0,,10.0459,9.43605,19.482,0.518025,10.0459,9.43605,0.518025,0.241533,0.441833,0.683366,0.143804,0.477657,0,0.518025,0,0.726749,0.1,0,0,0,0.514144,0,-1.03933,1,0.726749,0,0.273251,0.726749,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PLiabilitySignal2",0.1209,0,0.12089,0.412583,1,0.49729,1,1,0.1,0.1,,,0.49729,,,,,0,0,0,,10.2524,9.29837,19.5508,0.449187,10.2524,9.29837,0.449187,0.150115,0.486208,0.636322,0.102044,0.466616,0,0.449187,0,0.49729,0.1,0,0,0,0.729708,0,-0.66478,1,0.49729,0,0.50271,0.49729,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PLiabilitySignal3",0.2031,0,0.20309,0.608788,1,0.248021,1,1,0.489171,0.1,,,0.107528,,,,,0,0.0126834,0.127809,0.381682,10.4768,9.07213,19.5489,0.451092,10.4768,9.07213,0.451092,0.115652,0.431495,0.547147,0.109002,0.383987,0,0.451092,0,0.107528,0.1,0,0.0126834,0,0.899999,0,-0.42635,1,0.248021,0,0.751979,0.107528,0,0.0126834,0.0790267,0.0487825
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PLiabilitySignal4",0.3039,0,0.30389,0.754679,1,0.104381,1,1,0.9,0.1,,,0,,,,,0,0.0166811,0.0877,0.570652,10.6398,8.97631,19.6161,0.383934,10.6398,8.97631,0.383934,0.0773992,0.339367,0.416766,0.0745238,0.194992,0,0.383934,0,0,,0,0.0166811,0,0.967746,0,0.03071,1,0.104381,0,0.895619,0,0,0.0166811,0.0376538,0.0500462
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","PLiabilitySignal5",0.3036,0,0.3036,0.835646,1,0.0476282,1,1,0.9,0.1,,,0,,,,,0,0.0118082,0.03582,0.734648,10.6848,8.97943,19.6642,0.33578,10.6848,8.97943,0.33578,0.039424,0.309743,0.349167,0.0362371,0.118785,0,0.33578,0,0,,0,0.0118082,0,0.987104,0,0.75382,1,0.0476282,0,0.952372,0,0,0.0118082,0.00950491,0.0263151
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DLiabilitySignal1",0.0685,0,0.0685339,0.245532,1,1,1,1,0.25147,0.1,,,0.795034,,,,,0,0,0.204966,0.356375,9.7734,9.50362,19.277,0.72298,9.7734,9.50362,0.72298,0.2612,0.620215,0.881415,0.158679,0.841972,0,0.72298,0,0.795034,0.1,0,0,0,0.514151,0,1.03938,1,1,0,0,0.795034,0,0,0.131921,0.0730448
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DLiabilitySignal2",0.1209,0,0.120891,0.412588,1,1,1,1,0.409975,0.1,,,0.591071,,,,,0,0,0.408929,0.568394,9.88564,9.269,19.1546,0.845358,9.88564,9.269,0.845358,0.323065,0.77889,1.10195,0.270157,1.06307,0,0.845358,0,0.591071,0.1,0,0,0,0.729713,0,0.664825,1,1,0,0,0.591071,0,0,0.176496,0.232433
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DLiabilitySignal3",0.2031,0,0.203089,0.608792,1,0.0839425,1,1,0.609921,0.1,,,0.0286464,,,,,0,0.0552962,0,,10.6742,9.0006,19.6748,0.325183,10.6742,9.0006,0.325183,0.11327,0.290807,0.404078,0.102051,0.11221,0,0.325183,0,0.0286464,0.1,0,0.0552962,0,0.900002,0,0.426391,1,0.0839425,0,0.916057,0.0286464,0,0.0552962,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DLiabilitySignal4",0.3039,0,0.303889,0.754678,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,19.7,0.3,10.7,9,0.3,0.0322544,0.290324,0.322578,0.0322544,0.0870971,0,0.3,0,0,,0,0,0,0.967746,0,-0.0307131,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","DLiabilitySignal5",0.3036,0,0.303598,0.835647,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,19.7,0.3,10.7,9,0.3,0.0128959,0.296131,0.309027,0.0128959,0.0888394,0,0.3,0,0,,0,0,0,0.987104,0,-0.753799,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","MutOptLiability4",0.0013,0,0.00134495,0.567857,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.603244,10.0652,8.73481,18.8,1.2,10.0652,8.73481,1.2,0.598886,0.804161,1.40305,0.598154,1.25615,0,1.2,0,0,,0,0,0,0.9,0,4,1,1,0,0,0,0,0,0.396756,0.603244
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","MutOptLiability3",0.0146,0,0.0146475,0.598031,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.640309,10.1245,8.67551,18.8,1.2,10.1245,8.67551,1.2,0.629,0.737451,1.36645,0.615621,1.10939,0,1.2,0,0,,0,0,0,0.900003,0,3,1,1,0,0,0,0,0,0.359691,0.640309
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","0.0006636","0.9985","5","MutOptLiability2",0.0776,0,0.0776308,0.637947,1,0.496045,1,1,0.757151,0.1,,,0.0747777,,,,,0,0.0461797,0.375087,0.515183,10.3417,8.98439,19.3261,0.673866,10.3417,8.98439,0.673866,0.239567,0.530288,0.769855,0.223938,0.622841,0,0.673866,0,0.0747777,0.1,0,0.0461797,0,0.899999,0,2,1,0.496045,0,0.503955,0.0747777,0,0.0461797,0.181849,0.193239
