"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","All",1,0,1,0.673383,1,1,1,1,0.815762,0.759743,,,0.879009,,,,,0.0215407,0,0.09945,0.483155,10.7297,9.18788,19.9175,0.0824588,1000.13,999.112,0.0824588,0.0498551,0.204696,0.254551,0.0335298,0.109274,0,0.0824588,0,0.879009,0.822619,0.0215407,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.879009,0.0215407,0,0.0514003,0.0480498
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","DisputeArises",1,0,1,0.673383,1,1,1,1,0.815762,0.759743,,,0.879009,,,,,0.0215407,0,0.09945,0.483155,10.7297,9.18788,19.9175,0.0824588,1000.13,999.112,0.0824588,0.0498551,0.204696,0.254551,0.0335298,0.109274,0,0.0824588,0,0.879009,0.822619,0.0215407,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.879009,0.0215407,0,0.0514003,0.0480498
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","PFiles",1,0,1,0.673383,1,1,1,1,0.815762,0.759743,,,0.879009,,,,,0.0215407,0,0.09945,0.483155,10.7297,9.18788,19.9175,0.0824588,1000.13,999.112,0.0824588,0.0498551,0.204696,0.254551,0.0335298,0.109274,0,0.0824588,0,0.879009,0.822619,0.0215407,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.879009,0.0215407,0,0.0514003,0.0480498
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","DAnswers",1,0,1,0.673383,1,1,1,1,0.815762,0.759743,,,0.879009,,,,,0.0215407,0,0.09945,0.483155,10.7297,9.18788,19.9175,0.0824588,1000.13,999.112,0.0824588,0.0498551,0.204696,0.254551,0.0335298,0.109274,0,0.0824588,0,0.879009,0.822619,0.0215407,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.879009,0.0215407,0,0.0514003,0.0480498
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","Litigated",1,0,1,0.673383,1,1,1,1,0.815762,0.759743,,,0.879009,,,,,0.0215407,0,0.09945,0.483155,10.7297,9.18788,19.9175,0.0824588,1000.13,999.112,0.0824588,0.0498551,0.204696,0.254551,0.0335298,0.109274,0,0.0824588,0,0.879009,0.822619,0.0215407,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.879009,0.0215407,0,0.0514003,0.0480498
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","Settles",0.879,0,0.879009,0.703781,1,1,1,1,0.804167,0.84107,,,1,,,,,0,0,0,,10.7851,9.13988,19.925,0.075,1000.14,999.082,0.075,0.0435456,0.169588,0.213134,0.0309172,0.053252,0,0.075,0,1,0.822619,0,0,0,0.917359,0,-0.192028,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","Tried",0.0995,0,0.0994501,0.486432,1,1,1,1,0.9,0.18381,,,0,,,,,0,0,1,0.483155,10.4056,9.44437,19.85,0.15,1000.04,999.191,0.15,0.113159,0.42487,0.538029,0.0637625,0.4886,0,0.15,0,0,,0,0,0,0.811921,0,1.62338,1,1,0,0,0,0,0,0.516845,0.483155
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Truly Liable Probability 0.9","0","0.9959","0","PWins",0.048,0,0.0480498,0.600968,1,1,1,1,0.9,0.184678,,,0,,,,,0,0,1,1,11,8.85,19.85,0.15,1000.16,998.326,0.15,0.234209,0,0.234209,0.131971,0,0,0.15,0,0,,0,0,0,0.915791,0,1.75445,1,1,0,0,0,0,0,0,1
