"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","All",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","DisputeArises",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PFiles",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","DAnswers",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Litigated",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Settles",0.839,0,0.838993,0.700787,1,1,1,1,0.6725,0.800721,,,1,,,,,0,0,0,,10.6991,9.22589,19.925,0.075,1000.14,999.247,0.075,0.0364663,0.246887,0.283354,0.0215063,0.0930495,0,0.075,0,1,0.73661,0,0,0,0.915843,0,-0.319817,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Tried",0.1455,0,0.145476,0.55435,1,1,1,1,0.747757,0.376904,,,0,,,,,0,0,1,0.574126,10.5047,9.34531,19.85,0.15,1000.07,999.11,0.15,0.102548,0.356834,0.459382,0.0482725,0.375177,0,0.15,0,0,,0,0,0,0.843314,0,1.73811,1,1,0,0,0,0,0,0.425874,0.574126
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PWins",0.0835,0,0.0835215,0.678458,1,1,1,1,0.810571,0.464969,,,0,,,,,0,0,1,1,10.9625,8.8875,19.85,0.15,1000.16,998.46,0.15,0.170558,0.0353228,0.205881,0.0837778,0.00132461,0,0.15,0,0,,0,0,0,0.941942,0,1.8667,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","DWins",0.062,0,0.0619544,0.387038,1,1,1,1,0.663076,0.258182,,,0,,,,,0,0,1,0,9.8875,9.9625,19.85,0.15,999.953,999.985,0.15,0.0108617,0.790268,0.80113,0.000407315,0.879173,0,0.15,0,0,,0,0,0,0.710354,0,1.56474,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Abandoned",0.0155,0,0.0155314,0.307967,1,1,1,1,0.379315,0.179315,,,0,,,,,0.867809,0.132191,0,,10.0947,9.83031,19.925,0.075,1000.01,999.816,0.075,0.0242654,0.468155,0.492421,0.00455393,0.480886,0,0.075,0,0,,0.867809,0.132191,0,0.575262,0,0.997048,1,1,0,0,0,0.867809,0.132191,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Rounds1",1,0,1,0.673383,1,1,1,1,0.678895,0.729414,,,0.838993,,,,,0.0134783,0.00205312,0.145476,0.574126,10.6614,9.25265,19.9141,0.0859107,1000.12,999.236,0.0859107,0.04589,0.266319,0.312209,0.0251369,0.140116,0,0.0859107,0,0.838993,0.73661,0.0134783,0.00205312,0,0.900002,0,1.42533E-05,1,1,0,0,0.838993,0.0134783,0.00205312,0.0619544,0.0835215
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.002645","0.9952","1","Truly Liable",0.9,0,0.900002,0.716727,1,1,1,1,0.712125,0.767137,,,0.85376,,,,,0.00770673,0.00222062,0.136313,0.641271,10.7041,9.21069,19.9148,0.0852235,1000.13,999.185,0.0852235,0.0099173,0.295909,0.305826,0.00110945,0.155684,0,0.0852235,0,0.85376,0.767926,0.00770673,0.00222062,0,1,0,1.28595E-05,1,1,0,0,0.85376,0.00770673,0.00222062,0.0488993,0.0874135
