"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","All",1,0,1,0.499995,1,1,1,1,0.531542,0.418758,,,0.798724,,,,,0.0760719,0.0261765,0.085808,0.636126,10.3676,9.44381,19.8114,0.188613,1000.07,999.383,0.188613,0.167732,0.197073,0.364805,0.100588,0.141761,0,0.188613,0,0.798724,0.468888,0.082682,0.0327866,0.0132202,0.499994,0,7.5023E-06,1,1,0,0,0.798724,0.0760719,0.0261765,0.0312232,0.0545844
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","DisputeArises",1,0,1,0.499995,1,1,1,1,0.531542,0.418758,,,0.798724,,,,,0.0760719,0.0261765,0.085808,0.636126,10.3676,9.44381,19.8114,0.188613,1000.07,999.383,0.188613,0.167732,0.197073,0.364805,0.100588,0.141761,0,0.188613,0,0.798724,0.468888,0.082682,0.0327866,0.0132202,0.499994,0,7.5023E-06,1,1,0,0,0.798724,0.0760719,0.0261765,0.0312232,0.0545844
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","PFiles",1,0,1,0.499995,1,1,1,1,0.531542,0.418758,,,0.798724,,,,,0.0760719,0.0261765,0.085808,0.636126,10.3676,9.44381,19.8114,0.188613,1000.07,999.383,0.188613,0.167732,0.197073,0.364805,0.100588,0.141761,0,0.188613,0,0.798724,0.468888,0.082682,0.0327866,0.0132202,0.499994,0,7.5023E-06,1,1,0,0,0.798724,0.0760719,0.0261765,0.0312232,0.0545844
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","DAnswers",1,0,1,0.499995,1,1,1,1,0.531542,0.418758,,,0.798724,,,,,0.0760719,0.0261765,0.085808,0.636126,10.3676,9.44381,19.8114,0.188613,1000.07,999.383,0.188613,0.167732,0.197073,0.364805,0.100588,0.141761,0,0.188613,0,0.798724,0.468888,0.082682,0.0327866,0.0132202,0.499994,0,7.5023E-06,1,1,0,0,0.798724,0.0760719,0.0261765,0.0312232,0.0545844
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","Litigated",1,0,1,0.499995,1,1,1,1,0.531542,0.418758,,,0.798724,,,,,0.0760719,0.0261765,0.085808,0.636126,10.3676,9.44381,19.8114,0.188613,1000.07,999.383,0.188613,0.167732,0.197073,0.364805,0.100588,0.141761,0,0.188613,0,0.798724,0.468888,0.082682,0.0327866,0.0132202,0.499994,0,7.5023E-06,1,1,0,0,0.798724,0.0760719,0.0261765,0.0312232,0.0545844
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","Settles",0.7987,0,0.798724,0.495022,1,1,1,1,0.438691,0.499084,,,1,,,,,0,0,0,,10.3939,9.45611,19.85,0.15,1000.08,999.454,0.15,0.145037,0.168261,0.313298,0.0753669,0.102222,0,0.15,0,1,0.468888,0,0,0,0.49314,0,-0.333087,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","Tried",0.0858,0,0.0858076,0.598132,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.636126,10.3361,9.06387,19.4,0.6,1000.03,998.465,0.6,0.411328,0.348364,0.759692,0.329663,0.309635,0,0.6,0,0,,0,0,0,0.63525,0,1.85132,1,1,0,0,0,0,0,0.363874,0.636126
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.25","0.03518","0.9987","2","PWins",0.0546,0,0.0545844,0.680451,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.7,8.7,19.4,0.6,1000.14,997.675,0.6,0.549424,0.225173,0.774597,0.489078,0.0675519,0,0.6,0,0,,0,0,0,0.750576,0,1.77885,1,1,0,0,0,0,0,0,1
