Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.011292838466396761,0.06295526262026466
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,1.05,0.85,0.75,0.65,0.45000000000000007,0.35,0.25,0
Settles,False Negatives,Probabilities,0.005632870499879712,0.005592186170300564,0.0012270543840963628,0.14022802786173186,0.06696694869353638,0.02101577157967782,0.09018303765691996,0.2712087340592703
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.02956843497856927,0.13470965098075713
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.12535267631930738,0.028313317042126432
P Loses,False Negatives,Values,2.2,0
P Loses,False Negatives,Probabilities,0.0009648272668254966,0.001854019438454394
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.000965102808645356,0.001969239173237521
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.06295526262026466,0.011292838466396761
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,1.05,0.9500000000000001,0.85,0.65,0.5499999999999999,0.44999999999999996,0.25,0.050000000000000044,0
Settles,False Positives,Probabilities,0.007956548225645873,0.002929465906082233,0.021877876261048722,0.17045548377801853,0.0016615529026298532,0.019626802128243227,0.046701004857602195,0.09018303765691996,0.24066285918922273
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.13470965098075713,0.02956843497856927
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.028313317042126432,0.12535267631930738
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.001854019438454394,0.0009648272668254966
P Wins,False Positives,Values,2.2,1.2000000000000002
P Wins,False Positives,Probabilities,0.000965102808645356,0.001969239173237521
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.06295526262026466,0.011292838466396761
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.2032193741707955,0.3183937857918663,0.046701004857602195,0.005632870499879712,0.021288355030873073,0.0068192405543969275
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.13470965098075713,0.02956843497856927
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.028313317042126432,0.12535267631930738
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.001854019438454394,0.0009648272668254966
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.000965102808645356,0.001969239173237521
