"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","All",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","DisputeArises",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PFiles",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","DAnswers",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Litigated",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Settles",0.6352,0,0.635192,0.497719,1,1,1,1,0.435979,0.557395,,,1,,,,,0,0,0,,10.4404,9.44706,19.8875,0.1125,1000.09,999.498,0.1125,0.167856,0.16798,0.335836,0.0844206,0.0849458,0,0.1125,0,1,0.496687,0,0,0,0.497134,0,-0.551757,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Tried",0.3648,0,0.364808,0.503959,1,1,1,1,0.701715,0.299586,,,0,,,,,0,0,1,0.505027,10.43,9.41997,19.85,0.15,1000.06,999.27,0.15,0.195088,0.167639,0.362727,0.154188,0.152072,0,0.15,0,0,,0,0,0,0.504974,0,0.960722,1,1,0,0,0,0,0,0.494973,0.505027
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PWins",0.1842,0,0.184238,0.685728,1,1,1,1,0.798727,0.39689,,,0,,,,,0,0,1,1,10.925,8.925,19.85,0.15,1000.16,998.585,0.15,0.332055,0.0557208,0.387776,0.301239,0.00417906,0,0.15,0,0,,0,0,0,0.742945,0,0.955901,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","DWins",0.1806,0,0.18057,0.318497,1,1,1,1,0.602732,0.200306,,,0,,,,,0,0,1,0,9.925,9.925,19.85,0.15,999.97,999.97,0.15,0.0553374,0.281831,0.337168,0.0041503,0.302968,0,0.15,0,0,,0,0,0,0.262168,0,0.96564,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Rounds1",1,0,1,0.499995,1,1,1,1,0.532921,0.463345,,,0.635192,,,,,0,0,0.364808,0.505027,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,0.635192,0.496687,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.635192,0,0,0.18057,0.184238
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Truly Liable",0.5,0,0.499994,0.716723,1,1,1,1,0.709257,0.637972,,,0.631559,,,,,0,0,0.368441,0.743024,10.6643,9.2094,19.8737,0.126317,1000.12,999.12,0.126317,0.020532,0.335716,0.356248,0.0015399,0.21887,0,0.126317,0,0.631559,0.718353,0,0,0,1,0,1.15263E-05,1,1,0,0,0.631559,0,0,0.0946806,0.273761
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Truly Not Liable",0.5,0,0.500006,0.283273,1,1,1,1,0.35659,0.288722,,,0.638825,,,,,0,0,0.361175,0.262249,10.209,9.66496,19.874,0.126044,1000.04,999.711,0.126044,0.335044,0,0.335044,0.218202,0,0,0.126044,0,0.638825,0.277548,0,0,0,0,0,3.4784E-06,1,1,0,0,0.638825,0,0,0.266457,0.0947176
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","AllCount",1810,0,1810,0.499995,1810,1810,1810,1810,0.532921,0.463345,,,1149.7,,,,,0,0,660.302,606.033,10.4366,9.43718,19.8738,0.12618,1000.08,999.415,0.12618,0.17779,0.167856,0.345646,0.109872,0.109434,0,0.12618,0,1149.7,0.496687,0,0,0,904.989,0,7.5023E-06,1810,1810,0,0,1149.7,0,0,326.832,333.471
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Liability Strength1",0.2261,0,0.226114,0.1,1,1,1,1,0.212598,0.167384,,,0.735386,,,,,0,0,0.264614,0.0328966,10.0578,9.81981,19.8776,0.122423,1000.02,999.905,0.122423,0.173012,0.0376572,0.210669,0.0476288,0.0362353,0,0.122423,0,0.735386,0.14995,0,0,0,0.0399657,0,-6.39492E-06,1,1,0,0,0.735386,0,0,0.255909,0.0087049
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Liability Strength2",0.1902,0,0.190224,0.3,1,1,1,1,0.349291,0.269853,,,0.581886,,,,,0,0,0.418114,0.169806,10.1601,9.7117,19.8718,0.128179,1000.03,999.776,0.128179,0.240335,0.142351,0.382686,0.134745,0.133245,0,0.128179,0,0.581886,0.263295,0,0,0,0.169489,0,4.91077E-06,1,1,0,0,0.581886,0,0,0.347115,0.0709984
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Liability Strength3",0.1673,0,0.167339,0.5,1,1,1,1,0.549223,0.448978,,,0.511784,,,,,0,0,0.488216,0.5,10.4345,9.43469,19.8692,0.130808,1000.08,999.421,0.130808,0.291807,0.282752,0.574558,0.234959,0.234382,0,0.130808,0,0.511784,0.499807,0,0,0,0.5,0,2.11357E-05,1,1,0,0,0.511784,0,0,0.244108,0.244108
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Liability Strength4",0.1902,0,0.19022,0.7,1,1,1,1,0.729074,0.644474,,,0.573849,,,,,0,0,0.426151,0.830194,10.7106,9.16095,19.8715,0.128481,1000.13,999.055,0.128481,0.164246,0.240378,0.404624,0.134736,0.135544,0,0.128481,0,0.573849,0.733676,0,0,0,0.830511,0,1.64073E-05,1,1,0,0,0.573849,0,0,0.0723631,0.353788
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0.005178","0.9994","2","Liability Strength5",0.2261,0,0.226104,0.9,1,1,1,1,0.830662,0.780355,,,0.722782,,,,,0,0,0.277218,0.967103,10.8193,9.0578,19.8771,0.122896,1000.15,998.92,0.122896,0.0569596,0.173471,0.230431,0.0376991,0.0481627,0,0.122896,0,0.722782,0.847636,0,0,0,0.960034,0,5.99868E-06,1,1,0,0,0.722782,0,0,0.00911953,0.268098
