"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","All",1,0,1,0.499995,0.81393,0.42415,1,1,0.600399,0.127454,,,0.0930864,,,,,0,0,0.331063,0.408698,10.3288,9.34297,19.6718,0.328227,10.3288,9.34297,0.328227,0.221583,0.201246,0.422829,0.174002,0.146298,0,0.328227,0,0.0930864,0.125507,0,0,0,0.499994,0,7.5023E-06,0.81393,0.42415,0.18607,0.38978,0.0930864,0,0,0.195759,0.135305
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","DisputeArises",1,0,1,0.499995,0.81393,0.42415,1,1,0.600399,0.127454,,,0.0930864,,,,,0,0,0.331063,0.408698,10.3288,9.34297,19.6718,0.328227,10.3288,9.34297,0.328227,0.221583,0.201246,0.422829,0.174002,0.146298,0,0.328227,0,0.0930864,0.125507,0,0,0,0.499994,0,7.5023E-06,0.81393,0.42415,0.18607,0.38978,0.0930864,0,0,0.195759,0.135305
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","PFiles",0.8139,0,0.81393,0.573308,1,0.521113,1,1,0.600399,0.127454,,,0.114367,,,,,0,0,0.406747,0.408698,10.404,9.19277,19.5967,0.403263,10.404,9.19277,0.403263,0.272239,0.223201,0.49544,0.21378,0.155692,0,0.403263,0,0.114367,0.125507,0,0,0,0.590245,0,0.184351,1,0.521113,0,0.478887,0.114367,0,0,0.24051,0.166237
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","DAnswers",0.4241,0,0.42415,0.394038,1,1,1,1,0.600399,0.127454,,,0.219466,,,,,0,0,0.780534,0.408698,10.063,9.36991,19.4329,0.56708,10.063,9.36991,0.56708,0.374187,0.2549,0.629087,0.262006,0.25975,0,0.56708,0,0.219466,0.125507,0,0,0,0.361923,0,0.748766,1,1,0,0,0.219466,0,0,0.461532,0.319003
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","Litigated",0.4241,0,0.42415,0.394038,1,1,1,1,0.600399,0.127454,,,0.219466,,,,,0,0,0.780534,0.408698,10.063,9.36991,19.4329,0.56708,10.063,9.36991,0.56708,0.374187,0.2549,0.629087,0.262006,0.25975,0,0.56708,0,0.219466,0.125507,0,0,0,0.361923,0,0.748766,1,1,0,0,0.219466,0,0,0.461532,0.319003
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","Not Litigated",0.5759,0,0.57585,0.578039,0.676878,0,1,1,,,,,0,,,,,0,0,0,,10.5246,9.32312,19.8477,0.152297,10.5246,9.32312,0.152297,0.109181,0.161727,0.270908,0.109181,0.0627345,0,0.152297,0,0,,0,0,0,0.601692,0,-0.5515,0.676878,0,0.323122,0.676878,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","Settles",0.0931,0,0.0930864,0.265228,1,1,1,1,0.117847,0.133168,,,1,,,,,0,0,0,,9.90051,9.64949,19.55,0.45,9.90051,9.64949,0.45,0.279966,0.208702,0.488668,0.099678,0.227195,0,0.45,0,1,0.125507,0,0,0,0.192582,0,0.0109364,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","Tried",0.3311,0,0.331063,0.430256,1,1,1,1,0.736081,0.125847,,,0,,,,,0,0,1,0.408698,10.1087,9.2913,19.4,0.6,10.1087,9.2913,0.6,0.40068,0.267889,0.668569,0.307649,0.268903,0,0.6,0,0,,0,0,0,0.409538,0,0.956224,1,1,0,0,0,0,0,0.591302,0.408698
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Timing 0.75","0.001219","0.9977","2","PWins",0.1353,0,0.135305,0.606106,1,1,1,1,0.833496,0.140478,,,0,,,,,0,0,1,1,10.7,8.7,19.4,0.6,10.7,8.7,0.6,0.652799,0.19416,0.84696,0.654479,0.0582481,0,0.6,0,0,,0,0,0,0.647201,0,1.08536,1,1,0,0,0,0,0,0,1
