Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.040579849650268736,0.23651443606401656
D Doesn't Answer,False Negatives,Values,0.22499999999999998,0
D Doesn't Answer,False Negatives,Probabilities,0.26376624905541174,0.043535769492314955
Settles,False Negatives,Values,1.125,0.925,0.725,0.525,0
Settles,False Negatives,Probabilities,0.006722051262900863,0.01897567543247683,0.04175634024568239,0.04324650385235029,0.13093962980090437
P Abandons,False Negatives,Values,1.225,0
P Abandons,False Negatives,Probabilities,0.002850148529240611,0.024351986651890447
D Defaults,False Negatives,Values,0.22499999999999998,0
D Defaults,False Negatives,Probabilities,0.022992162205234538,0.0027760317676810814
P Loses,False Negatives,Values,1.3,0
P Loses,False Negatives,Probabilities,0.017844859286843616,0.044051831198455724
P Wins,False Negatives,Values,0.30000000000000004,0
P Wins,False Negatives,Probabilities,0.041260073530069795,0.017836401974255917
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.23651443606401656,0.040579849650268736
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.043535769492314955,0.26376624905541174
Settles,False Positives,Values,0.9249999999999999,0.725,0.5249999999999999,0.32499999999999996,0
Settles,False Positives,Probabilities,0.018959608137518322,0.038033018166403,0.04841222700926266,0.025534776487720297,0.11070057079341034
P Abandons,False Positives,Values,0.22499999999999998,0
P Abandons,False Positives,Probabilities,0.024351986651890447,0.002850148529240611
D Defaults,False Positives,Values,1.225,0.2250000000000001
D Defaults,False Positives,Probabilities,0.0027760317676810814,0.022992162205234538
P Loses,False Positives,Values,0.3,0
P Loses,False Positives,Probabilities,0.044051831198455724,0.017844859286843616
P Wins,False Positives,Values,1.3,0.30000000000000004
P Wins,False Positives,Probabilities,0.017836401974255917,0.041260073530069795
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.23651443606401656,0.040579849650268736
D Doesn't Answer,Total Expenditures,Values,0.22499999999999998,0.22499999999999998
D Doesn't Answer,Total Expenditures,Probabilities,0.043535769492314955,0.26376624905541174
Settles,Total Expenditures,Values,0.44999999999999996,0.44999999999999996,0.4499999999999999,0.4499999999999999
Settles,Total Expenditures,Probabilities,0.08252740279164159,0.09172489536093353,0.04841222700926266,0.01897567543247683
P Abandons,Total Expenditures,Values,0.44999999999999996,0.44999999999999996
P Abandons,Total Expenditures,Probabilities,0.024351986651890447,0.002850148529240611
D Defaults,Total Expenditures,Values,0.45000000000000007,0.45000000000000007
D Defaults,Total Expenditures,Probabilities,0.0027760317676810814,0.022992162205234538
P Loses,Total Expenditures,Values,0.6,0.6
P Loses,Total Expenditures,Probabilities,0.044051831198455724,0.017844859286843616
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.017836401974255917,0.041260073530069795
