"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","All",1,0,1,0.499995,1,1,1,1,0.648457,0.248845,,,0.494716,,,,,0.179968,0.158965,0.09014,0.641211,10.4044,9.4874,19.8918,0.108168,10.4044,9.4874,0.108168,0.154426,0.17188,0.326307,0.145268,0.167278,0,0.108168,0,0.494716,0.396206,0.218074,0.197071,0.076212,0.499994,0,7.5023E-06,1,1,0,0,0.494716,0.179968,0.158965,0.0323412,0.0577987
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","DisputeArises",1,0,1,0.499995,1,1,1,1,0.648457,0.248845,,,0.494716,,,,,0.179968,0.158965,0.09014,0.641211,10.4044,9.4874,19.8918,0.108168,10.4044,9.4874,0.108168,0.154426,0.17188,0.326307,0.145268,0.167278,0,0.108168,0,0.494716,0.396206,0.218074,0.197071,0.076212,0.499994,0,7.5023E-06,1,1,0,0,0.494716,0.179968,0.158965,0.0323412,0.0577987
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PFiles",1,0,1,0.499995,1,1,1,1,0.648457,0.248845,,,0.494716,,,,,0.179968,0.158965,0.09014,0.641211,10.4044,9.4874,19.8918,0.108168,10.4044,9.4874,0.108168,0.154426,0.17188,0.326307,0.145268,0.167278,0,0.108168,0,0.494716,0.396206,0.218074,0.197071,0.076212,0.499994,0,7.5023E-06,1,1,0,0,0.494716,0.179968,0.158965,0.0323412,0.0577987
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","DAnswers",1,0,1,0.499995,1,1,1,1,0.648457,0.248845,,,0.494716,,,,,0.179968,0.158965,0.09014,0.641211,10.4044,9.4874,19.8918,0.108168,10.4044,9.4874,0.108168,0.154426,0.17188,0.326307,0.145268,0.167278,0,0.108168,0,0.494716,0.396206,0.218074,0.197071,0.076212,0.499994,0,7.5023E-06,1,1,0,0,0.494716,0.179968,0.158965,0.0323412,0.0577987
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Litigated",1,0,1,0.499995,1,1,1,1,0.648457,0.248845,,,0.494716,,,,,0.179968,0.158965,0.09014,0.641211,10.4044,9.4874,19.8918,0.108168,10.4044,9.4874,0.108168,0.154426,0.17188,0.326307,0.145268,0.167278,0,0.108168,0,0.494716,0.396206,0.218074,0.197071,0.076212,0.499994,0,7.5023E-06,1,1,0,0,0.494716,0.179968,0.158965,0.0323412,0.0577987
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Settles",0.4947,0,0.494716,0.445088,1,1,1,1,0.391541,0.40087,,,1,,,,,0,0,0,,10.3962,9.60379,20,0,10.3962,9.60379,0,0.0871504,0.119391,0.206541,0.0350471,0.0796283,0,0,0,1,0.396206,0,0,0,0.428446,0,-0.623644,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Tried",0.0901,0,0.09014,0.601798,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.641211,10.1259,8.67406,18.8,1.2,10.1259,8.67406,1.2,0.795608,0.443456,1.23906,0.979966,0.610631,0,1.2,0,0,,0,0,0,0.640302,0,1.82851,1,1,0,0,0,0,0,0.358789,0.641211
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PWins",0.0578,0,0.0577987,0.68278,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.7,8.1,18.8,1.2,10.7,8.1,1.2,1.14643,0.226072,1.3725,1.5,0.0678215,0,1.2,0,0,,0,0,0,0.753572,0,1.75895,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","DWins",0.0323,0,0.0323412,0.457071,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.1,9.7,18.8,1.2,9.1,9.7,1.2,0.168639,0.831954,1.00059,0.0505916,1.58071,0,1.2,0,0,,0,0,0,0.437871,0,1.95281,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Abandoned",0.4151,0,0.415144,0.543322,1,1,1,1,0.9,0.1,,,0,,,,,0.433506,0.382914,0,,10.4747,9.5253,20,0,10.4747,9.5253,0,0.0953776,0.175464,0.270841,0.0953776,0.175464,0,0,0,0,,0.525296,0.474704,0.18358,0.55479,0,0.346175,1,1,0,0,0,0.433506,0.382914,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","Rounds1",0.9238,0,0.923788,0.49415,1,1,1,1,0.627705,0.261125,,,0.535529,,,,,0.194815,0.172079,0.097576,0.641211,10.3965,9.48636,19.8829,0.117092,10.3965,9.48636,0.117092,0.150721,0.161256,0.311977,0.140807,0.156274,0,0.117092,0,0.535529,0.396206,0.194815,0.172079,0,0.491634,0,0.0745266,1,1,0,0,0.535529,0.194815,0.172079,0.0350094,0.0625671
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Risk Neutral Timing 0","1.776E-15","4.923E-10","2","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
