"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","All",1,0,1,0.499995,1,1,1,1,0.496592,0.422165,,,0.561271,,,,,0,0,0.438729,0.520001,10.3988,9.45123,19.85,0.15,1000.08,999.466,0.15,0.193015,0.20509,0.398104,0.104147,0.135487,0,0.15,0,0.561271,0.437625,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.561271,0,0,0.21059,0.228139
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","DisputeArises",1,0,1,0.499995,1,1,1,1,0.496592,0.422165,,,0.561271,,,,,0,0,0.438729,0.520001,10.3988,9.45123,19.85,0.15,1000.08,999.466,0.15,0.193015,0.20509,0.398104,0.104147,0.135487,0,0.15,0,0.561271,0.437625,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.561271,0,0,0.21059,0.228139
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","PFiles",1,0,1,0.499995,1,1,1,1,0.496592,0.422165,,,0.561271,,,,,0,0,0.438729,0.520001,10.3988,9.45123,19.85,0.15,1000.08,999.466,0.15,0.193015,0.20509,0.398104,0.104147,0.135487,0,0.15,0,0.561271,0.437625,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.561271,0,0,0.21059,0.228139
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","DAnswers",1,0,1,0.499995,1,1,1,1,0.496592,0.422165,,,0.561271,,,,,0,0,0.438729,0.520001,10.3988,9.45123,19.85,0.15,1000.08,999.466,0.15,0.193015,0.20509,0.398104,0.104147,0.135487,0,0.15,0,0.561271,0.437625,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.561271,0,0,0.21059,0.228139
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","Litigated",1,0,1,0.499995,1,1,1,1,0.496592,0.422165,,,0.561271,,,,,0,0,0.438729,0.520001,10.3988,9.45123,19.85,0.15,1000.08,999.466,0.15,0.193015,0.20509,0.398104,0.104147,0.135487,0,0.15,0,0.561271,0.437625,0,0,0,0.499994,0,7.5023E-06,1,1,0,0,0.561271,0,0,0.21059,0.228139
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","Settles",0.5613,0,0.561271,0.489114,1,1,1,1,0.397722,0.477528,,,1,,,,,0,0,0,,10.3626,9.48738,19.85,0.15,1000.09,999.635,0.15,0.220262,0.264733,0.484996,0.10075,0.15839,0,0.15,0,1,0.437625,0,0,0,0.484431,0,-0.684478,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","Tried",0.4387,0,0.438729,0.513916,1,1,1,1,0.623077,0.35134,,,0,,,,,0,0,1,0.520001,10.445,9.405,19.85,0.15,1000.07,999.25,0.15,0.158156,0.128787,0.286943,0.108494,0.106188,0,0.15,0,0,,0,0,0,0.519904,0,0.875676,1,1,0,0,0,0,0,0.479999,0.520001
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 1","1.705E-13","1","0","PWins",0.2281,0,0.228139,0.764242,1,1,1,1,0.819083,0.526217,,,0,,,,,0,0,1,1,10.925,8.925,19.85,0.15,1000.16,998.585,0.15,0.247867,0.062035,0.309902,0.204422,0.00465263,0,0.15,0,0,,0,0,0,0.827133,0,0.880467,1,1,0,0,0,0,0,0,1
