"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","All",1,0,1,0.499995,1,0.686509,1,1,0.454472,0.256189,,,0.462963,,,,,0.0145516,0.0236598,0.185334,0.493943,10.4729,9.3074,19.7803,0.219677,1000.08,999.197,0.219677,0.257824,0.134914,0.392738,0.170139,0.096015,0,0.219677,0,0.462963,0.287562,0.0145516,0.0236598,0,0.499994,0,7.5023E-06,1,0.686509,0,0.313491,0.462963,0.0145516,0.0236598,0.0937897,0.0915445
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","DisputeArises",1,0,1,0.499995,1,0.686509,1,1,0.454472,0.256189,,,0.462963,,,,,0.0145516,0.0236598,0.185334,0.493943,10.4729,9.3074,19.7803,0.219677,1000.08,999.197,0.219677,0.257824,0.134914,0.392738,0.170139,0.096015,0,0.219677,0,0.462963,0.287562,0.0145516,0.0236598,0,0.499994,0,7.5023E-06,1,0.686509,0,0.313491,0.462963,0.0145516,0.0236598,0.0937897,0.0915445
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","PFiles",1,0,1,0.499995,1,0.686509,1,1,0.454472,0.256189,,,0.462963,,,,,0.0145516,0.0236598,0.185334,0.493943,10.4729,9.3074,19.7803,0.219677,1000.08,999.197,0.219677,0.257824,0.134914,0.392738,0.170139,0.096015,0,0.219677,0,0.462963,0.287562,0.0145516,0.0236598,0,0.499994,0,7.5023E-06,1,0.686509,0,0.313491,0.462963,0.0145516,0.0236598,0.0937897,0.0915445
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","DAnswers",0.6865,0,0.686509,0.374639,1,1,1,1,0.454472,0.256189,,,0.674373,,,,,0.0211965,0.034464,0.269966,0.493943,10.2665,9.44777,19.7143,0.285742,1000.05,999.374,0.285742,0.304212,0.167625,0.471836,0.176485,0.137692,0,0.285742,0,0.674373,0.287562,0.0211965,0.034464,0,0.343015,0,0.257754,1,1,0,0,0.674373,0.0211965,0.034464,0.136618,0.133348
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","Litigated",0.6865,0,0.686509,0.374639,1,1,1,1,0.454472,0.256189,,,0.674373,,,,,0.0211965,0.034464,0.269966,0.493943,10.2665,9.44777,19.7143,0.285742,1000.05,999.374,0.285742,0.304212,0.167625,0.471836,0.176485,0.137692,0,0.285742,0,0.674373,0.287562,0.0211965,0.034464,0,0.343015,0,0.257754,1,1,0,0,0.674373,0.0211965,0.034464,0.136618,0.133348
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","Not Litigated",0.3135,0,0.313491,0.77451,1,0,1,1,,,,,0,,,,,0,0,0,,10.925,9,19.925,0.075,1000.16,998.808,0.075,0.156241,0.0632819,0.219523,0.156241,0.00474614,0,0.075,0,0,,0,0,0,0.843759,0,-0.564427,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","Settles",0.463,0,0.462963,0.31833,1,1,1,1,0.267175,0.307949,,,1,,,,,0,0,0,,10.2126,9.56244,19.775,0.225,1000.05,999.65,0.225,0.259554,0.149364,0.408918,0.108533,0.113443,0,0.225,0,1,0.287562,0,0,0,0.27174,0,-0.24334,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","Tried",0.1853,0,0.185334,0.495492,1,1,1,1,0.877591,0.133563,,,0,,,,,0,0,1,0.493943,10.3439,9.20606,19.55,0.45,1000.04,998.774,0.45,0.410416,0.231904,0.64232,0.32821,0.216262,0,0.45,0,0,,0,0,0,0.493991,0,1.35045,1,1,0,0,0,0,0,0.506057,0.493943
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Relative Costs 0.5","5.684E-14","0.9968","4","PWins",0.0915,0,0.0915445,0.629428,1,1,1,1,0.888994,0.136704,,,0,,,,,0,0,1,1,10.85,8.7,19.55,0.45,1000.15,997.675,0.45,0.619384,0.102092,0.721477,0.601015,0.0153139,0,0.45,0,0,,0,0,0,0.680616,0,1.34261,1,1,0,0,0,0,0,0,1
