Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.019575934693515616,0.16649406530648456
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.32690831531536707,0.0628718578846332
Settles,False Negatives,Values,1.05,0
Settles,False Negatives,Probabilities,0.06130446537014567,0.20010540462282964
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.015777752705483122,0.029902296659049508
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.028718824426316465,0.011718943285601184
P Loses,False Negatives,Values,2.2,0
P Loses,False Negatives,Probabilities,0.012221135968071147,0.016631507951680603
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.012282011239241426,0.03548748457158145
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.16649406530648456,0.019575934693515616
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.0628718578846332,0.32690831531536707
Settles,False Positives,Values,0.4,0
Settles,False Positives,Probabilities,0.20010540462282964,0.06130446537014567
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.029902296659049508,0.015777752705483122
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.011718943285601184,0.028718824426316465
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.016631507951680603,0.012221135968071147
P Wins,False Positives,Values,2.05,1.0499999999999998
P Wins,False Positives,Probabilities,0.012282011239241426,0.03548748457158145
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.16649406530648456,0.019575934693515616
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.0628718578846332,0.32690831531536707
Settles,Total Expenditures,Values,0.45,0.45
Settles,Total Expenditures,Probabilities,0.20010540462282964,0.06130446537014567
P Abandons,Total Expenditures,Values,0.44999999999999996,0.44999999999999996
P Abandons,Total Expenditures,Probabilities,0.029902296659049508,0.015777752705483122
D Defaults,Total Expenditures,Values,0.45000000000000007,0.45000000000000007
D Defaults,Total Expenditures,Probabilities,0.011718943285601184,0.028718824426316465
P Loses,Total Expenditures,Values,0.9,0.9
P Loses,Total Expenditures,Probabilities,0.016631507951680603,0.012221135968071147
P Wins,Total Expenditures,Values,0.8999999999999999,0.8999999999999999
P Wins,Total Expenditures,Probabilities,0.012282011239241426,0.03548748457158145
